,Manufacturing
2014-12-28,53.0
2015-01-04,46.0
2015-01-11,57.0
2015-01-18,71.0
2015-01-25,57.0
2015-02-01,57.0
2015-02-08,65.0
2015-02-15,72.0
2015-02-22,74.0
2015-03-01,68.0
2015-03-08,75.0
2015-03-15,76.0
2015-03-22,71.0
2015-03-29,67.0
2015-04-05,63.0
2015-04-12,45.0
2015-04-19,66.0
2015-04-26,70.0
2015-05-03,66.0
2015-05-10,84.0
2015-05-17,68.0
2015-05-24,71.0
2015-05-31,73.0
2015-06-07,80.0
2015-06-14,88.0
2015-06-21,71.0
2015-06-28,74.0
2015-07-05,76.0
2015-07-12,62.0
2015-07-19,80.0
2015-07-26,75.0
2015-08-02,64.0
2015-08-09,74.0
2015-08-16,59.0
2015-08-23,70.0
2015-08-30,77.0
2015-09-06,80.0
2015-09-13,76.0
2015-09-20,76.0
2015-09-27,72.0
2015-10-04,81.0
2015-10-11,73.0
2015-10-18,74.0
2015-10-25,68.0
2015-11-01,71.0
2015-11-08,80.0
2015-11-15,69.0
2015-11-22,64.0
2015-11-29,71.0
2015-12-06,69.0
2015-12-13,77.0
2015-12-20,52.0
2015-12-27,62.0
2016-01-03,81.0
2016-01-10,73.0
2016-01-17,66.0
2016-01-24,79.0
2016-01-31,61.0
2016-02-07,93.0
2016-02-14,84.0
2016-02-21,79.0
2016-02-28,83.0
2016-03-06,91.0
2016-03-13,99.0
2016-03-20,79.0
2016-03-27,95.0
2016-04-03,90.0
2016-04-10,45.0
2016-04-17,72.0
2016-04-24,87.0
2016-05-01,88.0
2016-05-08,90.0
2016-05-15,79.0
2016-05-22,88.0
2016-05-29,92.0
2016-06-05,100.0
2016-06-12,92.0
2016-06-19,93.0
2016-06-26,95.0
2016-07-03,94.0
2016-07-10,83.0
2016-07-17,95.0
2016-07-24,88.0
2016-07-31,88.0
2016-08-07,89.0
2016-08-14,90.0
2016-08-21,83.0
2016-08-28,82.0
2016-09-04,93.0
2016-09-11,84.0
2016-09-18,90.0
2016-09-25,92.0
2016-10-02,93.0
2016-10-09,95.0
2016-10-16,90.0
2016-10-23,89.0
2016-10-30,90.0
2016-11-06,83.0
2016-11-13,81.0
2016-11-20,91.0
2016-11-27,82.0
2016-12-04,76.0
2016-12-11,71.0
2016-12-18,74.0
2016-12-25,73.0
2017-01-01,79.0
2017-01-08,76.0
2017-01-15,93.0
2017-01-22,90.0
2017-01-29,90.0
2017-02-05,87.0
2017-02-12,90.0
2017-02-19,95.0
2017-02-26,85.0
2017-03-05,86.0
2017-03-12,84.0
2017-03-19,95.0
2017-03-26,95.0
2017-04-02,79.0
2017-04-09,50.0
2017-04-16,79.0
2017-04-23,92.0
2017-04-30,83.0
2017-05-07,78.0
2017-05-14,88.0
2017-05-21,95.0
2017-05-28,84.0
2017-06-04,80.0
2017-06-11,94.0
2017-06-18,94.0
2017-06-25,87.0
2017-07-02,92.0
2017-07-09,90.0
2017-07-16,94.0
2017-07-23,83.0
2017-07-30,82.0
2017-08-06,82.0
2017-08-13,81.0
2017-08-20,80.0
2017-08-27,76.0
2017-09-03,85.0
2017-09-10,89.0
2017-09-17,92.0
2017-09-24,87.0
2017-10-01,78.0
2017-10-08,90.0
2017-10-15,81.0
2017-10-22,85.0
2017-10-29,82.0
2017-11-05,90.0
2017-11-12,87.0
2017-11-19,82.0
2017-11-26,78.0
2017-12-03,76.0
2017-12-10,80.0
2017-12-17,68.0
2017-12-24,68.0
2017-12-31,77.0
2018-01-07,64.0
2018-01-14,84.0
2018-01-21,81.0
2018-01-28,80.0
2018-02-04,74.0
2018-02-11,75.0
2018-02-18,85.0
2018-02-25,70.0
2018-03-04,73.0
2018-03-11,66.0
2018-03-18,78.0
2018-03-25,77.0
2018-04-01,69.0
2018-04-08,57.0
2018-04-15,60.0
2018-04-22,74.0
2018-04-29,82.0
2018-05-06,83.0
2018-05-13,89.0
2018-05-20,93.0
2018-05-27,71.0
2018-06-03,86.0
2018-06-10,82.0
2018-06-17,86.0
2018-06-24,76.0
2018-07-01,83.0
2018-07-08,84.0
2018-07-15,85.0
2018-07-22,82.0
2018-07-29,76.0
2018-08-05,90.0
2018-08-12,83.0
2018-08-19,86.0
2018-08-26,79.0
2018-09-02,78.0
2018-09-09,82.0
2018-09-16,89.0
2018-09-23,75.0
2018-09-30,84.0
2018-10-07,94.0
2018-10-14,91.0
2018-10-21,76.0
2018-10-28,87.0
2018-11-04,70.0
2018-11-11,72.0
2018-11-18,71.0
2018-11-25,81.0
2018-12-02,84.0
2018-12-09,71.0
2018-12-16,70.0
2018-12-23,67.0
2018-12-30,77.0
2019-01-06,79.0
2019-01-13,71.0
2019-01-20,85.0
2019-01-27,76.0
2019-02-03,71.0
2019-02-10,80.0
2019-02-17,82.0
2019-02-24,79.0
2019-03-03,79.0
2019-03-10,78.0
2019-03-17,84.0
2019-03-24,87.0
2019-03-31,81.0
2019-04-07,64.0
2019-04-14,60.0
2019-04-21,46.0
2019-04-28,66.0
2019-05-05,79.0
2019-05-12,74.0
2019-05-19,69.0
2019-05-26,84.0
2019-06-02,76.0
2019-06-09,84.0
2019-06-16,84.0
2019-06-23,84.0
2019-06-30,81.0
2019-07-07,77.0
2019-07-14,81.0
2019-07-21,91.0
2019-07-28,90.0
2019-08-04,82.0
2019-08-11,71.0
2019-08-18,88.0
2019-08-25,87.0
2019-09-01,82.0
2019-09-08,75.0
2019-09-15,77.0
2019-09-22,75.0
2019-09-29,84.0
2019-10-06,76.0
2019-10-13,78.0
2019-10-20,75.0
2019-10-27,74.0
2019-11-03,75.0
2019-11-10,60.0
2019-11-17,82.0
2019-11-24,84.0
2019-12-01,85.0
2019-12-08,76.0
2019-12-15,86.0
2019-12-22,67.0
2019-12-29,77.0
2020-01-05,75.37172359015092
2020-01-12,78.57903097696587
2020-01-19,81.7863383637808
2020-01-26,81.7863383637808
2020-02-02,78.57903097696587
2020-02-09,81.7863383637808
2020-02-16,80.18268467037333
2020-02-23,86.5972994440032
2020-03-01,84.99364575059573
2020-03-08,78.57903097696587
2020-03-15,78.57903097696587
2020-03-22,91.4082605242256
2020-03-29,107.44479745830026
2020-04-05,110.65210484511519
