,Mass Merchants & Department Stores
2014-12-28,87.0
2015-01-04,61.0
2015-01-11,59.0
2015-01-18,63.0
2015-01-25,61.0
2015-02-01,70.0
2015-02-08,68.0
2015-02-15,66.0
2015-02-22,63.0
2015-03-01,73.0
2015-03-08,67.0
2015-03-15,71.0
2015-03-22,66.0
2015-03-29,73.0
2015-04-05,69.0
2015-04-12,66.0
2015-04-19,76.0
2015-04-26,73.0
2015-05-03,65.0
2015-05-10,83.0
2015-05-17,68.0
2015-05-24,71.0
2015-05-31,71.0
2015-06-07,66.0
2015-06-14,72.0
2015-06-21,66.0
2015-06-28,72.0
2015-07-05,71.0
2015-07-12,78.0
2015-07-19,78.0
2015-07-26,79.0
2015-08-02,80.0
2015-08-09,85.0
2015-08-16,90.0
2015-08-23,85.0
2015-08-30,81.0
2015-09-06,80.0
2015-09-13,82.0
2015-09-20,74.0
2015-09-27,79.0
2015-10-04,81.0
2015-10-11,74.0
2015-10-18,79.0
2015-10-25,83.0
2015-11-01,75.0
2015-11-08,80.0
2015-11-15,76.0
2015-11-22,81.0
2015-11-29,81.0
2015-12-06,93.0
2015-12-13,83.0
2015-12-20,88.0
2015-12-27,89.0
2016-01-03,73.0
2016-01-10,71.0
2016-01-17,82.0
2016-01-24,76.0
2016-01-31,82.0
2016-02-07,84.0
2016-02-14,70.0
2016-02-21,78.0
2016-02-28,69.0
2016-03-06,76.0
2016-03-13,71.0
2016-03-20,77.0
2016-03-27,85.0
2016-04-03,70.0
2016-04-10,70.0
2016-04-17,80.0
2016-04-24,74.0
2016-05-01,79.0
2016-05-08,76.0
2016-05-15,82.0
2016-05-22,86.0
2016-05-29,77.0
2016-06-05,82.0
2016-06-12,79.0
2016-06-19,82.0
2016-06-26,81.0
2016-07-03,94.0
2016-07-10,79.0
2016-07-17,91.0
2016-07-24,82.0
2016-07-31,81.0
2016-08-07,100.0
2016-08-14,85.0
2016-08-21,83.0
2016-08-28,85.0
2016-09-04,74.0
2016-09-11,74.0
2016-09-18,79.0
2016-09-25,77.0
2016-10-02,74.0
2016-10-09,77.0
2016-10-16,72.0
2016-10-23,75.0
2016-10-30,79.0
2016-11-06,73.0
2016-11-13,85.0
2016-11-20,82.0
2016-11-27,75.0
2016-12-04,79.0
2016-12-11,84.0
2016-12-18,78.0
2016-12-25,87.0
2017-01-01,82.0
2017-01-08,72.0
2017-01-15,76.0
2017-01-22,76.0
2017-01-29,68.0
2017-02-05,73.0
2017-02-12,68.0
2017-02-19,75.0
2017-02-26,75.0
2017-03-05,74.0
2017-03-12,65.0
2017-03-19,69.0
2017-03-26,73.0
2017-04-02,75.0
2017-04-09,76.0
2017-04-16,81.0
2017-04-23,76.0
2017-04-30,80.0
2017-05-07,62.0
2017-05-14,71.0
2017-05-21,83.0
2017-05-28,81.0
2017-06-04,80.0
2017-06-11,78.0
2017-06-18,80.0
2017-06-25,78.0
2017-07-02,77.0
2017-07-09,70.0
2017-07-16,77.0
2017-07-23,73.0
2017-07-30,81.0
2017-08-06,72.0
2017-08-13,84.0
2017-08-20,77.0
2017-08-27,76.0
2017-09-03,78.0
2017-09-10,76.0
2017-09-17,70.0
2017-09-24,73.0
2017-10-01,81.0
2017-10-08,74.0
2017-10-15,74.0
2017-10-22,73.0
2017-10-29,69.0
2017-11-05,69.0
2017-11-12,70.0
2017-11-19,74.0
2017-11-26,69.0
2017-12-03,69.0
2017-12-10,74.0
2017-12-17,81.0
2017-12-24,85.0
2017-12-31,78.0
2018-01-07,69.0
2018-01-14,70.0
2018-01-21,74.0
2018-01-28,62.0
2018-02-04,62.0
2018-02-11,68.0
2018-02-18,60.0
2018-02-25,67.0
2018-03-04,69.0
2018-03-11,77.0
2018-03-18,67.0
2018-03-25,78.0
2018-04-01,65.0
2018-04-08,70.0
2018-04-15,61.0
2018-04-22,61.0
2018-04-29,61.0
2018-05-06,69.0
2018-05-13,55.0
2018-05-20,63.0
2018-05-27,62.0
2018-06-03,61.0
2018-06-10,61.0
2018-06-17,56.0
2018-06-24,72.0
2018-07-01,66.0
2018-07-08,71.0
2018-07-15,70.0
2018-07-22,69.0
2018-07-29,59.0
2018-08-05,78.0
2018-08-12,77.0
2018-08-19,80.0
2018-08-26,71.0
2018-09-02,70.0
2018-09-09,73.0
2018-09-16,66.0
2018-09-23,65.0
2018-09-30,65.0
2018-10-07,86.0
2018-10-14,64.0
2018-10-21,74.0
2018-10-28,70.0
2018-11-04,66.0
2018-11-11,69.0
2018-11-18,80.0
2018-11-25,70.0
2018-12-02,73.0
2018-12-09,83.0
2018-12-16,80.0
2018-12-23,85.0
2018-12-30,77.0
2019-01-06,67.0
2019-01-13,70.0
2019-01-20,69.0
2019-01-27,74.0
2019-02-03,71.0
2019-02-10,69.0
2019-02-17,69.0
2019-02-24,68.0
2019-03-03,74.0
2019-03-10,67.0
2019-03-17,69.0
2019-03-24,66.0
2019-03-31,72.0
2019-04-07,70.0
2019-04-14,70.0
2019-04-21,85.0
2019-04-28,81.0
2019-05-05,74.0
2019-05-12,60.0
2019-05-19,78.0
2019-05-26,75.0
2019-06-02,72.0
2019-06-09,73.0
2019-06-16,71.0
2019-06-23,68.0
2019-06-30,62.0
2019-07-07,66.0
2019-07-14,69.0
2019-07-21,75.0
2019-07-28,80.0
2019-08-04,79.0
2019-08-11,73.0
2019-08-18,74.0
2019-08-25,75.0
2019-09-01,68.0
2019-09-08,69.0
2019-09-15,72.0
2019-09-22,74.0
2019-09-29,63.0
2019-10-06,72.0
2019-10-13,70.0
2019-10-20,70.0
2019-10-27,68.0
2019-11-03,66.0
2019-11-10,74.0
2019-11-17,69.0
2019-11-24,71.0
2019-12-01,80.0
2019-12-08,73.0
2019-12-15,76.0
2019-12-22,81.0
2019-12-29,78.0
2020-01-05,62.050560000000004
2020-01-12,65.63040000000001
2020-01-19,71.5968
2020-01-26,59.66400000000001
2020-02-02,60.85728
2020-02-09,70.40352
2020-02-16,64.43712000000001
2020-02-23,65.63040000000001
2020-03-01,64.43712000000001
2020-03-08,64.43712000000001
2020-03-15,62.050560000000004
2020-03-22,64.43712000000001
2020-03-29,77.56320000000001
2020-04-05,82.33632000000001
2020-04-12,71.5968
2020-04-19,75.17664
2020-04-26,73.98336
2020-05-03,66.82368000000001
2020-05-10,82.33632000000001
2020-05-17,79.94976000000001
2020-05-24,73.98336
2020-05-31,78.75648000000001
2020-06-07,75.17664
2020-06-14,79.94976000000001
2020-06-21,84.72288
2020-06-28,77.56320000000001
2020-07-05,79.94976000000001
2020-07-12,85.91616
2020-07-19,91.88256000000001
2020-07-26,79.94976000000001
2020-08-02,73.98336
2020-08-09,75.17664
2020-08-16,60.85728
2020-08-23,66.82368000000001
2020-08-30,70.40352
2020-09-06,62.050560000000004
2020-09-13,62.050560000000004
2020-09-20,63.243840000000006
2020-09-27,63.243840000000006
2020-10-04,76.36992000000001
2020-10-11,93.07584000000001
2020-10-18,85.91616
2020-10-25,93.07584000000001
2020-11-01,87.10944
2020-11-08,95.4624
2020-11-15,88.30272000000001
2020-11-22,95.4624
2020-11-29,93.07584000000001
2020-12-06,107.39520000000002
2020-12-13,102.62208000000001
2020-12-20,102.62208000000001
2020-12-27,90.68928000000001
2021-01-03,84.72288
2021-01-10,88.30272000000001
2021-01-17,84.72288
2021-01-24,82.33632000000001
2021-01-31,84.72288
2021-02-07,81.14304000000001
2021-02-14,82.33632000000001
2021-02-21,84.72288
2021-02-28,85.91616
2021-03-07,82.33632000000001
2021-03-14,77.56320000000001
2021-03-21,81.14304000000001
2021-03-28,85.91616
2021-04-04,78.75648000000001
2021-04-11,76.36992000000001
2021-04-18,77.56320000000001
2021-04-25,100.23552000000001
2021-05-02,106.20192000000002
2021-05-09,107.39520000000002
2021-05-16,109.78176
2021-05-23,101.42880000000001
2021-05-30,108.58848
2021-06-06,119.32800000000002
2021-06-13,109.78176
2021-06-20,109.78176
2021-06-27,113.36160000000001
2021-07-04,107.39520000000002
2021-07-11,112.16832000000001
2021-07-18,105.00864000000001
2021-07-25,94.26912000000002
2021-08-01,100.23552000000001
2021-08-08,102.62208000000001
2021-08-15,95.4624
2021-08-22,91.88256000000001
2021-08-29,99.04224
2021-09-05,107.39520000000002
2021-09-12,113.36160000000001
2021-09-19,105.00864000000001
2021-09-26,101.42880000000001
2021-10-03,100.23552000000001
2021-10-10,105.00864000000001
2021-10-17,96.65568
2021-10-24,99.04224
2021-10-31,96.65568
2021-11-07,96.65568
2021-11-14,95.4624
2021-11-21,90.68928000000001
2021-11-28,91.88256000000001
2021-12-05,90.68928000000001
2021-12-12,93.07584000000001
2021-12-19,105.00864000000001
2021-12-26,97.84896
2022-01-02,102.62208000000001
2022-01-09,89.49600000000001
2022-01-16,85.91616
2022-01-23,88.30272000000001
2022-01-30,94.26912000000002
2022-02-06,91.88256000000001
2022-02-13,93.07584000000001
2022-02-20,85.91616
2022-02-27,95.4624
2022-03-06,85.91616
2022-03-13,89.49600000000001
2022-03-20,89.49600000000001
2022-03-27,77.56320000000001
2022-04-03,103.81536000000001
2022-04-10,90.68928000000001
2022-04-17,101.42880000000001
2022-04-24,85.91616
2022-05-01,99.04224
2022-05-08,83.5296
2022-05-15,87.10944
2022-05-22,95.4624
2022-05-29,93.07584000000001
2022-06-05,91.88256000000001
2022-06-12,99.04224
2022-06-19,103.81536000000001
2022-06-26,90.68928000000001
2022-07-03,95.4624
2022-07-10,96.65568
2022-07-17,105.00864000000001
2022-07-24,89.49600000000001
2022-07-31,96.65568
2022-08-07,94.26912000000002
2022-08-14,95.4624
2022-08-21,95.4624
2022-08-28,95.4624
2022-09-04,94.26912000000002
2022-09-11,88.30272000000001
2022-09-18,94.26912000000002
2022-09-25,87.10944
2022-10-02,88.30272000000001
2022-10-09,88.30272000000001
2022-10-16,90.68928000000001
2022-10-23,89.49600000000001
2022-10-30,83.5296
2022-11-06,91.88256000000001
2022-11-13,84.72288
2022-11-20,91.88256000000001
2022-11-27,88.30272000000001
2022-12-04,90.68928000000001
2022-12-11,88.30272000000001
2022-12-18,100.23552000000001
2022-12-25,101.42880000000001
2023-01-01,89.49600000000001
2023-01-08,84.72288
2023-01-15,85.91616
2023-01-22,91.88256000000001
2023-01-29,95.4624
2023-02-05,89.49600000000001
2023-02-12,99.04224
2023-02-19,84.72288
2023-02-26,95.4624
2023-03-05,88.30272000000001
2023-03-12,89.49600000000001
2023-03-19,85.91616
2023-03-26,91.88256000000001
2023-04-02,99.04224
2023-04-09,90.68928000000001
2023-04-16,93.07584000000001
2023-04-23,84.72288
2023-04-30,84.72288
2023-05-07,88.30272000000001
2023-05-14,90.68928000000001
2023-05-21,89.49600000000001
2023-05-28,96.65568
2023-06-04,109.78176
2023-06-11,91.88256000000001
2023-06-18,94.26912000000002
2023-06-25,97.84896
2023-07-02,96.65568
2023-07-09,97.84896
2023-07-16,102.62208000000001
2023-07-23,100.23552000000001
2023-07-30,90.68928000000001
2023-08-06,102.62208000000001
2023-08-13,105.00864000000001
2023-08-20,96.65568
2023-08-27,103.81536000000001
2023-09-03,96.65568
2023-09-10,85.91616
2023-09-17,91.88256000000001
2023-09-24,102.62208000000001
2023-10-01,87.10944
2023-10-08,88.30272000000001
2023-10-15,96.65568
2023-10-22,99.04224
2023-10-29,95.4624
2023-11-05,95.4624
2023-11-12,96.65568
2023-11-19,100.23552000000001
2023-11-26,89.49600000000001
2023-12-03,94.26912000000002
2023-12-10,96.65568
2023-12-17,105.00864000000001
2023-12-24,107.39520000000002
2023-12-31,102.62208000000001
2024-01-07,101.39681194218133
2024-01-14,88.22839480683311
2024-01-21,93.49576166097239
2024-01-28,102.71365365571616
2024-02-04,97.44628680157686
2024-02-11,100.07997022864652
2024-02-18,97.44628680157686
2024-02-25,93.49576166097239
2024-03-03,92.17891994743758
2024-03-10,93.49576166097239
2024-03-17,93.49576166097239
2024-03-24,113.24838736399474
2024-03-31,94.81260337450722
2024-04-07,104.03049536925097
2024-04-14,100.07997022864652
2024-04-21,89.54523652036792
2024-04-28,92.17891994743758
2024-05-05,100.07997022864652
2024-05-12,102.71365365571616
2024-05-19,90.86207823390275
2024-05-26,100.07997022864652
2024-06-02,102.71365365571616
2024-06-09,92.17891994743758
2024-06-16,90.86207823390275
2024-06-23,96.12944508804205
2024-06-30,94.81260337450722
2024-07-07,96.12944508804205
2024-07-14,96.12944508804205
2024-07-21,96.12944508804205
2024-07-28,93.49576166097239
2024-08-04,100.07997022864652
2024-08-11,110.61470393692508
2024-08-18,104.03049536925097
2024-08-25,98.76312851511169
2024-09-01,93.49576166097239
2024-09-08,96.12944508804205
2024-09-15,98.76312851511169
2024-09-22,89.54523652036792
2024-09-29,93.49576166097239
2024-10-06,96.12944508804205
2024-10-13,98.76312851511169
2024-10-20,101.39681194218133
2024-10-27,96.12944508804205
2024-11-03,100.07997022864652
2024-11-10,101.39681194218133
2024-11-17,106.66417879632063
2024-11-24,113.24838736399474
2024-12-01,105.3473370827858
2024-12-08,106.66417879632063
2024-12-15,109.29786222339027
2024-12-22,126.41680449934296
2024-12-29,109.29786222339027
2025-01-05,96.12944508804205
2025-01-12,102.71365365571616
2025-01-19,115.88207079106438
2025-01-26,102.71365365571616
2025-02-02,109.29786222339027
2025-02-09,101.39681194218133
2025-02-16,101.39681194218133
2025-02-23,102.71365365571616
2025-03-02,105.3473370827858
2025-03-09,109.29786222339027
2025-03-16,107.98102050985544
2025-03-23,104.03049536925097
2025-03-30,109.29786222339027
2025-04-06,97.44628680157686
2025-04-13,96.12944508804205
2025-04-20,92.17891994743758
2025-04-27,93.49576166097239
2025-05-04,94.81260337450722
2025-05-11,89.54523652036792
2025-05-18,104.03049536925097
2025-05-25,109.29786222339027
2025-06-01,105.3473370827858
2025-06-08,102.71365365571616
2025-06-15,105.3473370827858
2025-06-22,101.39681194218133
2025-06-29,107.98102050985544
2025-07-06,102.71365365571616
2025-07-13,101.39681194218133
2025-07-20,94.81260337450722
2025-07-27,105.3473370827858
2025-08-03,104.03049536925097
2025-08-10,114.56522907752955
2025-08-17,105.3473370827858
2025-08-24,102.71365365571616
2025-08-31,105.3473370827858
2025-09-07,94.81260337450722
2025-09-14,90.86207823390275
2025-09-21,89.54523652036792
2025-09-28,89.54523652036792
2025-10-05,96.12944508804205
2025-10-12,101.39681194218133
2025-10-19,100.07997022864652
2025-10-26,100.07997022864652
2025-11-02,94.81260337450722
2025-11-09,105.3473370827858
2025-11-16,101.39681194218133
2025-11-23,107.98102050985544
2025-11-30,96.12944508804205
2025-12-07,117.1989125045992
2025-12-14,118.51575421813402
2025-12-21,131.68417135348224
2025-12-28,118.51575421813402
