,Lawyer
2014-12-28,18.0
2015-01-04,32.0
2015-01-11,27.0
2015-01-18,28.0
2015-01-25,27.0
2015-02-01,27.0
2015-02-08,35.0
2015-02-15,27.0
2015-02-22,28.0
2015-03-01,18.0
2015-03-08,22.0
2015-03-15,28.0
2015-03-22,19.0
2015-03-29,21.0
2015-04-05,32.0
2015-04-12,17.0
2015-04-19,33.0
2015-04-26,24.0
2015-05-03,28.0
2015-05-10,32.0
2015-05-17,26.0
2015-05-24,21.0
2015-05-31,27.0
2015-06-07,19.0
2015-06-14,9.0
2015-06-21,14.0
2015-06-28,26.0
2015-07-05,27.0
2015-07-12,30.0
2015-07-19,33.0
2015-07-26,28.0
2015-08-02,26.0
2015-08-09,27.0
2015-08-16,31.0
2015-08-23,30.0
2015-08-30,30.0
2015-09-06,28.0
2015-09-13,26.0
2015-09-20,24.0
2015-09-27,30.0
2015-10-04,27.0
2015-10-11,24.0
2015-10-18,24.0
2015-10-25,22.0
2015-11-01,32.0
2015-11-08,33.0
2015-11-15,25.0
2015-11-22,28.0
2015-11-29,28.0
2015-12-06,28.0
2015-12-13,20.0
2015-12-20,23.0
2015-12-27,19.0
2016-01-03,34.0
2016-01-10,27.0
2016-01-17,30.0
2016-01-24,28.0
2016-01-31,25.0
2016-02-07,36.0
2016-02-14,20.0
2016-02-21,23.0
2016-02-28,28.0
2016-03-06,19.0
2016-03-13,30.0
2016-03-20,32.0
2016-03-27,27.0
2016-04-03,19.0
2016-04-10,23.0
2016-04-17,19.0
2016-04-24,31.0
2016-05-01,27.0
2016-05-08,28.0
2016-05-15,24.0
2016-05-22,23.0
2016-05-29,26.0
2016-06-05,22.0
2016-06-12,34.0
2016-06-19,32.0
2016-06-26,17.0
2016-07-03,26.0
2016-07-10,21.0
2016-07-17,23.0
2016-07-24,24.0
2016-07-31,28.0
2016-08-07,24.0
2016-08-14,18.0
2016-08-21,25.0
2016-08-28,27.0
2016-09-04,25.0
2016-09-11,24.0
2016-09-18,17.0
2016-09-25,25.0
2016-10-02,15.0
2016-10-09,20.0
2016-10-16,22.0
2016-10-23,24.0
2016-10-30,20.0
2016-11-06,30.0
2016-11-13,25.0
2016-11-20,23.0
2016-11-27,28.0
2016-12-04,37.0
2016-12-11,21.0
2016-12-18,25.0
2016-12-25,23.0
2017-01-01,27.0
2017-01-08,25.0
2017-01-15,41.0
2017-01-22,37.0
2017-01-29,23.0
2017-02-05,33.0
2017-02-12,28.0
2017-02-19,30.0
2017-02-26,39.0
2017-03-05,33.0
2017-03-12,37.0
2017-03-19,28.0
2017-03-26,31.0
2017-04-02,25.0
2017-04-09,17.0
2017-04-16,24.0
2017-04-23,32.0
2017-04-30,33.0
2017-05-07,30.0
2017-05-14,42.0
2017-05-21,29.0
2017-05-28,20.0
2017-06-04,28.0
2017-06-11,24.0
2017-06-18,23.0
2017-06-25,19.0
2017-07-02,28.0
2017-07-09,34.0
2017-07-16,33.0
2017-07-23,32.0
2017-07-30,25.0
2017-08-06,28.0
2017-08-13,36.0
2017-08-20,26.0
2017-08-27,25.0
2017-09-03,38.0
2017-09-10,36.0
2017-09-17,39.0
2017-09-24,29.0
2017-10-01,29.0
2017-10-08,30.0
2017-10-15,21.0
2017-10-22,27.0
2017-10-29,32.0
2017-11-05,32.0
2017-11-12,32.0
2017-11-19,28.0
2017-11-26,25.0
2017-12-03,31.0
2017-12-10,27.0
2017-12-17,25.0
2017-12-24,20.0
2017-12-31,39.0
2018-01-07,38.0
2018-01-14,36.0
2018-01-21,27.0
2018-01-28,27.0
2018-02-04,27.0
2018-02-11,31.0
2018-02-18,30.0
2018-02-25,22.0
2018-03-04,31.0
2018-03-11,36.0
2018-03-18,27.0
2018-03-25,32.0
2018-04-01,34.0
2018-04-08,26.0
2018-04-15,32.0
2018-04-22,46.0
2018-04-29,35.0
2018-05-06,35.0
2018-05-13,34.0
2018-05-20,29.0
2018-05-27,27.0
2018-06-03,30.0
2018-06-10,36.0
2018-06-17,42.0
2018-06-24,35.0
2018-07-01,36.0
2018-07-08,44.0
2018-07-15,42.0
2018-07-22,35.0
2018-07-29,34.0
2018-08-05,34.0
2018-08-12,39.0
2018-08-19,38.0
2018-08-26,50.0
2018-09-02,41.0
2018-09-09,55.0
2018-09-16,57.0
2018-09-23,60.0
2018-09-30,48.0
2018-10-07,77.0
2018-10-14,65.0
2018-10-21,56.0
2018-10-28,62.0
2018-11-04,54.0
2018-11-11,70.0
2018-11-18,73.0
2018-11-25,92.0
2018-12-02,97.0
2018-12-09,80.0
2018-12-16,67.0
2018-12-23,68.0
2018-12-30,59.0
2019-01-06,58.0
2019-01-13,60.0
2019-01-20,52.0
2019-01-27,57.0
2019-02-03,53.0
2019-02-10,64.0
2019-02-17,52.0
2019-02-24,71.0
2019-03-03,47.0
2019-03-10,51.0
2019-03-17,58.0
2019-03-24,52.0
2019-03-31,59.0
2019-04-07,65.0
2019-04-14,53.0
2019-04-21,48.0
2019-04-28,60.0
2019-05-05,71.0
2019-05-12,57.0
2019-05-19,75.0
2019-05-26,61.0
2019-06-02,60.0
2019-06-09,60.0
2019-06-16,65.0
2019-06-23,76.0
2019-06-30,76.0
2019-07-07,66.0
2019-07-14,69.0
2019-07-21,68.0
2019-07-28,80.0
2019-08-04,69.0
2019-08-11,60.0
2019-08-18,73.0
2019-08-25,69.0
2019-09-01,79.0
2019-09-08,69.0
2019-09-15,78.0
2019-09-22,87.0
2019-09-29,73.0
2019-10-06,73.0
2019-10-13,100.0
2019-10-20,77.0
2019-10-27,79.0
2019-11-03,88.0
2019-11-10,93.0
2019-11-17,74.0
2019-11-24,75.0
2019-12-01,82.0
2019-12-08,67.0
2019-12-15,74.0
2019-12-22,63.0
2019-12-29,68.0
2020-01-05,62.449760765550245
2020-01-12,70.85645933014355
2020-01-19,87.66985645933015
2020-01-26,69.6555023923445
2020-02-02,70.85645933014355
2020-02-09,81.66507177033493
2020-02-16,69.6555023923445
2020-02-23,74.45933014354068
2020-03-01,70.85645933014355
2020-03-08,55.24401913875599
2020-03-15,50.440191387559814
2020-03-22,48.03827751196173
2020-03-29,46.83732057416269
2020-04-05,52.842105263157904
2020-04-12,48.03827751196173
2020-04-19,40.83253588516747
2020-04-26,43.23444976076556
2020-05-03,46.83732057416269
2020-05-10,61.2488038277512
2020-05-17,69.6555023923445
2020-05-24,54.043062200956946
2020-05-31,58.84688995215312
2020-06-07,72.0574162679426
2020-06-14,67.25358851674642
2020-06-21,73.25837320574163
2020-06-28,61.2488038277512
2020-07-05,74.45933014354068
2020-07-12,67.25358851674642
2020-07-19,61.2488038277512
2020-07-26,61.2488038277512
2020-08-02,63.650717703349294
2020-08-09,70.85645933014355
2020-08-16,75.66028708133972
2020-08-23,72.0574162679426
2020-08-30,85.26794258373207
2020-09-06,69.6555023923445
2020-09-13,75.66028708133972
2020-09-20,64.85167464114834
2020-09-27,68.45454545454547
2020-10-04,58.84688995215312
2020-10-11,60.04784688995216
2020-10-18,60.04784688995216
2020-10-25,69.6555023923445
2020-11-01,61.2488038277512
2020-11-08,64.85167464114834
2020-11-15,56.44497607655503
2020-11-22,60.04784688995216
2020-11-29,55.24401913875599
2020-12-06,78.06220095693782
2020-12-13,73.25837320574163
2020-12-20,54.043062200956946
2020-12-27,68.45454545454547
2021-01-03,72.0574162679426
2021-01-10,66.05263157894738
2021-01-17,52.842105263157904
2021-01-24,63.650717703349294
2021-01-31,64.85167464114834
2021-02-07,79.26315789473685
2021-02-14,91.27272727272728
2021-02-21,87.66985645933015
2021-02-28,91.27272727272728
2021-03-07,110.48803827751198
2021-03-14,112.88995215311006
2021-03-21,103.28229665071771
2021-03-28,106.88516746411484
2021-04-04,111.68899521531102
2021-04-11,91.27272727272728
2021-04-18,120.09569377990432
2021-04-25,108.08612440191389
2021-05-02,105.68421052631581
2021-05-09,99.6794258373206
2021-05-16,105.68421052631581
2021-05-23,88.8708133971292
2021-05-30,100.88038277511963
2021-06-06,102.08133971291868
2021-06-13,96.07655502392346
2021-06-20,98.47846889952154
2021-06-27,110.48803827751198
2021-07-04,102.08133971291868
2021-07-11,102.08133971291868
2021-07-18,78.06220095693782
2021-07-25,82.86602870813398
2021-08-01,88.8708133971292
2021-08-08,81.66507177033493
2021-08-15,92.47368421052633
2021-08-22,81.66507177033493
2021-08-29,72.0574162679426
2021-09-05,76.86124401913877
2021-09-12,86.46889952153111
2021-09-19,91.27272727272728
2021-09-26,106.88516746411484
2021-10-03,109.28708133971293
2021-10-10,79.26315789473685
2021-10-17,75.66028708133972
2021-10-24,96.07655502392346
2021-10-31,93.67464114832538
2021-11-07,109.28708133971293
2021-11-14,100.88038277511963
2021-11-21,115.29186602870814
2021-11-28,96.07655502392346
2021-12-05,92.47368421052633
2021-12-12,76.86124401913877
2021-12-19,78.06220095693782
2021-12-26,82.86602870813398
2022-01-02,66.05263157894738
2022-01-09,68.45454545454547
2022-01-16,56.44497607655503
2022-01-23,64.85167464114834
2022-01-30,81.66507177033493
2022-02-06,66.05263157894738
2022-02-13,62.449760765550245
2022-02-20,66.05263157894738
2022-02-27,69.6555023923445
2022-03-06,58.84688995215312
2022-03-13,57.64593301435407
2022-03-20,64.85167464114834
2022-03-27,51.641148325358856
2022-04-03,50.440191387559814
2022-04-10,45.63636363636364
2022-04-17,63.650717703349294
2022-04-24,68.45454545454547
2022-05-01,69.6555023923445
2022-05-08,61.2488038277512
2022-05-15,67.25358851674642
2022-05-22,66.05263157894738
2022-05-29,74.45933014354068
2022-06-05,75.66028708133972
2022-06-12,58.84688995215312
2022-06-19,54.043062200956946
2022-06-26,61.2488038277512
2022-07-03,64.85167464114834
2022-07-10,60.04784688995216
2022-07-17,56.44497607655503
2022-07-24,70.85645933014355
2022-07-31,68.45454545454547
2022-08-07,67.25358851674642
2022-08-14,78.06220095693782
2022-08-21,74.45933014354068
2022-08-28,60.04784688995216
2022-09-04,61.2488038277512
2022-09-11,57.64593301435407
2022-09-18,56.44497607655503
2022-09-25,64.85167464114834
2022-10-02,69.6555023923445
2022-10-09,54.043062200956946
2022-10-16,60.04784688995216
2022-10-23,55.24401913875599
2022-10-30,62.449760765550245
2022-11-06,70.85645933014355
2022-11-13,79.26315789473685
2022-11-20,56.44497607655503
2022-11-27,64.85167464114834
2022-12-04,50.440191387559814
2022-12-11,58.84688995215312
2022-12-18,50.440191387559814
2022-12-25,50.440191387559814
2023-01-01,55.24401913875599
2023-01-08,62.449760765550245
2023-01-15,67.25358851674642
2023-01-22,61.2488038277512
2023-01-29,60.04784688995216
2023-02-05,91.27272727272728
2023-02-12,84.06698564593303
2023-02-19,85.26794258373207
2023-02-26,79.26315789473685
2023-03-05,87.66985645933015
2023-03-12,75.66028708133972
2023-03-19,79.26315789473685
2023-03-26,75.66028708133972
2023-04-02,64.85167464114834
2023-04-09,56.44497607655503
2023-04-16,54.043062200956946
2023-04-23,51.641148325358856
2023-04-30,52.842105263157904
2023-05-07,68.45454545454547
2023-05-14,57.64593301435407
2023-05-21,75.66028708133972
2023-05-28,54.043062200956946
2023-06-04,56.44497607655503
2023-06-11,67.25358851674642
2023-06-18,66.05263157894738
2023-06-25,44.4354066985646
2023-07-02,56.44497607655503
2023-07-09,66.05263157894738
2023-07-16,62.449760765550245
2023-07-23,75.66028708133972
2023-07-30,48.03827751196173
2023-08-06,60.04784688995216
2023-08-13,63.650717703349294
2023-08-20,58.84688995215312
2023-08-27,64.85167464114834
2023-09-03,49.23923444976077
2023-09-10,55.24401913875599
2023-09-17,72.0574162679426
2023-09-24,60.04784688995216
2023-10-01,56.44497607655503
2023-10-08,57.64593301435407
2023-10-15,52.842105263157904
2023-10-22,40.83253588516747
2023-10-29,54.043062200956946
2023-11-05,58.84688995215312
2023-11-12,54.043062200956946
2023-11-19,68.45454545454547
2023-11-26,56.44497607655503
2023-12-03,75.66028708133972
2023-12-10,56.44497607655503
2023-12-17,69.6555023923445
2023-12-24,50.440191387559814
2023-12-31,62.449760765550245
2024-01-07,69.60546251993622
2024-01-14,74.18476926466887
2024-01-21,64.11029442625704
