,Luggage
2014-12-28,31.0
2015-01-04,35.0
2015-01-11,33.0
2015-01-18,34.0
2015-01-25,38.0
2015-02-01,34.0
2015-02-08,66.0
2015-02-15,44.0
2015-02-22,41.0
2015-03-01,46.0
2015-03-08,36.0
2015-03-15,24.0
2015-03-22,40.0
2015-03-29,52.0
2015-04-05,38.0
2015-04-12,28.0
2015-04-19,40.0
2015-04-26,39.0
2015-05-03,0.0
2015-05-10,34.0
2015-05-17,28.0
2015-05-24,35.0
2015-05-31,23.0
2015-06-07,26.0
2015-06-14,47.0
2015-06-21,40.0
2015-06-28,31.0
2015-07-05,32.0
2015-07-12,51.0
2015-07-19,44.0
2015-07-26,72.0
2015-08-02,44.0
2015-08-09,60.0
2015-08-16,43.0
2015-08-23,52.0
2015-08-30,56.0
2015-09-06,40.0
2015-09-13,59.0
2015-09-20,53.0
2015-09-27,31.0
2015-10-04,37.0
2015-10-11,33.0
2015-10-18,33.0
2015-10-25,36.0
2015-11-01,42.0
2015-11-08,35.0
2015-11-15,39.0
2015-11-22,41.0
2015-11-29,39.0
2015-12-06,21.0
2015-12-13,61.0
2015-12-20,44.0
2015-12-27,64.0
2016-01-03,44.0
2016-01-10,45.0
2016-01-17,31.0
2016-01-24,40.0
2016-01-31,29.0
2016-02-07,55.0
2016-02-14,48.0
2016-02-21,31.0
2016-02-28,41.0
2016-03-06,24.0
2016-03-13,33.0
2016-03-20,29.0
2016-03-27,50.0
2016-04-03,54.0
2016-04-10,47.0
2016-04-17,30.0
2016-04-24,32.0
2016-05-01,40.0
2016-05-08,45.0
2016-05-15,31.0
2016-05-22,19.0
2016-05-29,49.0
2016-06-05,30.0
2016-06-12,48.0
2016-06-19,47.0
2016-06-26,44.0
2016-07-03,60.0
2016-07-10,37.0
2016-07-17,58.0
2016-07-24,37.0
2016-07-31,46.0
2016-08-07,58.0
2016-08-14,39.0
2016-08-21,40.0
2016-08-28,48.0
2016-09-04,37.0
2016-09-11,38.0
2016-09-18,53.0
2016-09-25,46.0
2016-10-02,48.0
2016-10-09,44.0
2016-10-16,31.0
2016-10-23,42.0
2016-10-30,29.0
2016-11-06,36.0
2016-11-13,54.0
2016-11-20,65.0
2016-11-27,50.0
2016-12-04,50.0
2016-12-11,35.0
2016-12-18,49.0
2016-12-25,62.0
2017-01-01,60.0
2017-01-08,62.0
2017-01-15,43.0
2017-01-22,37.0
2017-01-29,55.0
2017-02-05,67.0
2017-02-12,64.0
2017-02-19,76.0
2017-02-26,53.0
2017-03-05,43.0
2017-03-12,49.0
2017-03-19,61.0
2017-03-26,50.0
2017-04-02,52.0
2017-04-09,67.0
2017-04-16,40.0
2017-04-23,39.0
2017-04-30,42.0
2017-05-07,53.0
2017-05-14,45.0
2017-05-21,35.0
2017-05-28,38.0
2017-06-04,48.0
2017-06-11,54.0
2017-06-18,62.0
2017-06-25,79.0
2017-07-02,57.0
2017-07-09,47.0
2017-07-16,55.0
2017-07-23,60.0
2017-07-30,68.0
2017-08-06,59.0
2017-08-13,60.0
2017-08-20,62.0
2017-08-27,54.0
2017-09-03,69.0
2017-09-10,54.0
2017-09-17,66.0
2017-09-24,50.0
2017-10-01,43.0
2017-10-08,34.0
2017-10-15,47.0
2017-10-22,46.0
2017-10-29,64.0
2017-11-05,38.0
2017-11-12,31.0
2017-11-19,66.0
2017-11-26,47.0
2017-12-03,62.0
2017-12-10,71.0
2017-12-17,40.0
2017-12-24,60.0
2017-12-31,67.0
2018-01-07,74.0
2018-01-14,59.0
2018-01-21,56.0
2018-01-28,56.0
2018-02-04,50.0
2018-02-11,57.0
2018-02-18,53.0
2018-02-25,53.0
2018-03-04,51.0
2018-03-11,65.0
2018-03-18,47.0
2018-03-25,58.0
2018-04-01,32.0
2018-04-08,49.0
2018-04-15,62.0
2018-04-22,46.0
2018-04-29,44.0
2018-05-06,40.0
2018-05-13,51.0
2018-05-20,37.0
2018-05-27,55.0
2018-06-03,53.0
2018-06-10,51.0
2018-06-17,37.0
2018-06-24,70.0
2018-07-01,45.0
2018-07-08,44.0
2018-07-15,65.0
2018-07-22,68.0
2018-07-29,81.0
2018-08-05,52.0
2018-08-12,67.0
2018-08-19,74.0
2018-08-26,78.0
2018-09-02,64.0
2018-09-09,67.0
2018-09-16,68.0
2018-09-23,63.0
2018-09-30,58.0
2018-10-07,51.0
2018-10-14,48.0
2018-10-21,42.0
2018-10-28,89.0
2018-11-04,47.0
2018-11-11,59.0
2018-11-18,74.0
2018-11-25,77.0
2018-12-02,53.0
2018-12-09,68.0
2018-12-16,73.0
2018-12-23,83.0
2018-12-30,87.0
2019-01-06,90.0
2019-01-13,94.0
2019-01-20,71.0
2019-01-27,75.0
2019-02-03,63.0
2019-02-10,73.0
2019-02-17,93.0
2019-02-24,77.0
2019-03-03,72.0
2019-03-10,64.0
2019-03-17,76.0
2019-03-24,73.0
2019-03-31,68.0
2019-04-07,79.0
2019-04-14,85.0
2019-04-21,32.0
2019-04-28,70.0
2019-05-05,43.0
2019-05-12,55.0
2019-05-19,52.0
2019-05-26,47.0
2019-06-02,48.0
2019-06-09,52.0
2019-06-16,48.0
2019-06-23,44.0
2019-06-30,54.0
2019-07-07,70.0
2019-07-14,79.0
2019-07-21,72.0
2019-07-28,79.0
2019-08-04,72.0
2019-08-11,70.0
2019-08-18,73.0
2019-08-25,59.0
2019-09-01,70.0
2019-09-08,66.0
2019-09-15,81.0
2019-09-22,71.0
2019-09-29,77.0
2019-10-06,64.0
2019-10-13,68.0
2019-10-20,66.0
2019-10-27,61.0
2019-11-03,64.0
2019-11-10,65.0
2019-11-17,65.0
2019-11-24,80.0
2019-12-01,68.0
2019-12-08,76.0
2019-12-15,66.0
2019-12-22,76.0
2019-12-29,100.0
2020-01-05,79.7588115351005
2020-01-12,91.15292746868629
2020-01-19,59.04223711039907
2020-01-26,62.14972327410428
2020-02-02,54.89892222545878
2020-02-09,60.07806583163414
2020-02-16,71.47218176521993
2020-02-23,58.006408389164
2020-03-01,56.97057966792893
2020-03-08,55.93475094669385
2020-03-15,31.07486163705214
2020-03-22,18.644916982231287
2020-03-29,0.0
2020-04-05,15.53743081852607
2020-04-12,0.0
2020-04-19,0.0
2020-04-26,0.0
2020-05-03,0.0
2020-05-10,0.0
2020-05-17,0.0
2020-05-24,0.0
2020-05-31,21.7524031459365
2020-06-07,24.859889309641716
2020-06-14,20.716574424701427
2020-06-21,23.824060588406642
2020-06-28,14.501602097291
2020-07-05,14.501602097291
2020-07-12,30.03903291581707
2020-07-19,17.609088260996213
2020-07-26,30.03903291581707
2020-08-02,16.573259539761143
2020-08-09,30.03903291581707
2020-08-16,32.110690358287215
2020-08-23,18.644916982231287
2020-08-30,0.0
2020-09-06,31.07486163705214
2020-09-13,32.110690358287215
2020-09-20,23.824060588406642
2020-09-27,23.824060588406642
2020-10-04,23.824060588406642
2020-10-11,13.465773376055928
2020-10-18,17.609088260996213
2020-10-25,24.859889309641716
2020-11-01,21.7524031459365
2020-11-08,22.78823186717157
2020-11-15,19.680745703466357
2020-11-22,20.716574424701427
2020-11-29,17.609088260996213
2020-12-06,25.895718030876786
2020-12-13,25.895718030876786
2020-12-20,26.931546752111856
2020-12-27,24.859889309641716
2021-01-03,24.859889309641716
2021-01-10,17.609088260996213
2021-01-17,25.895718030876786
2021-01-24,17.609088260996213
2021-01-31,22.78823186717157
2021-02-07,24.859889309641716
2021-02-14,20.716574424701427
2021-02-21,29.003204194582
2021-02-28,30.03903291581707
2021-03-07,33.146519079522285
2021-03-14,18.644916982231287
2021-03-21,24.859889309641716
2021-03-28,30.03903291581707
2021-04-04,23.824060588406642
2021-04-11,30.03903291581707
2021-04-18,29.003204194582
2021-04-25,0.0
2021-05-02,22.78823186717157
2021-05-09,15.53743081852607
2021-05-16,22.78823186717157
2021-05-23,23.824060588406642
2021-05-30,17.609088260996213
2021-06-06,23.824060588406642
2021-06-13,17.609088260996213
2021-06-20,18.644916982231287
2021-06-27,36.254005243227496
2021-07-04,22.78823186717157
2021-07-11,32.110690358287215
2021-07-18,16.573259539761143
2021-07-25,29.003204194582
2021-08-01,23.824060588406642
2021-08-08,24.859889309641716
2021-08-15,34.182347800757356
2021-08-22,26.931546752111856
2021-08-29,35.218176521992426
2021-09-05,30.03903291581707
2021-09-12,38.325662685697644
2021-09-19,36.254005243227496
2021-09-26,33.146519079522285
2021-10-03,32.110690358287215
2021-10-10,41.433148849402855
2021-10-17,33.146519079522285
2021-10-24,31.07486163705214
2021-10-31,26.931546752111856
