,Mail & Package Delivery
2014-12-28,67.0
2015-01-04,85.0
2015-01-11,68.0
2015-01-18,59.0
2015-01-25,92.0
2015-02-01,73.0
2015-02-08,85.0
2015-02-15,70.0
2015-02-22,62.0
2015-03-01,66.0
2015-03-08,77.0
2015-03-15,71.0
2015-03-22,83.0
2015-03-29,80.0
2015-04-05,90.0
2015-04-12,74.0
2015-04-19,69.0
2015-04-26,74.0
2015-05-03,62.0
2015-05-10,69.0
2015-05-17,51.0
2015-05-24,63.0
2015-05-31,65.0
2015-06-07,63.0
2015-06-14,68.0
2015-06-21,64.0
2015-06-28,67.0
2015-07-05,85.0
2015-07-12,80.0
2015-07-19,99.0
2015-07-26,61.0
2015-08-02,99.0
2015-08-09,85.0
2015-08-16,85.0
2015-08-23,64.0
2015-08-30,73.0
2015-09-06,80.0
2015-09-13,74.0
2015-09-20,55.0
2015-09-27,87.0
2015-10-04,81.0
2015-10-11,82.0
2015-10-18,89.0
2015-10-25,70.0
2015-11-01,87.0
2015-11-08,69.0
2015-11-15,86.0
2015-11-22,81.0
2015-11-29,41.0
2015-12-06,66.0
2015-12-13,76.0
2015-12-20,67.0
2015-12-27,62.0
2016-01-03,74.0
2016-01-10,51.0
2016-01-17,65.0
2016-01-24,63.0
2016-01-31,59.0
2016-02-07,48.0
2016-02-14,57.0
2016-02-21,68.0
2016-02-28,78.0
2016-03-06,71.0
2016-03-13,59.0
2016-03-20,62.0
2016-03-27,66.0
2016-04-03,63.0
2016-04-10,57.0
2016-04-17,49.0
2016-04-24,55.0
2016-05-01,53.0
2016-05-08,45.0
2016-05-15,66.0
2016-05-22,58.0
2016-05-29,42.0
2016-06-05,64.0
2016-06-12,67.0
2016-06-19,61.0
2016-06-26,71.0
2016-07-03,51.0
2016-07-10,81.0
2016-07-17,63.0
2016-07-24,59.0
2016-07-31,74.0
2016-08-07,44.0
2016-08-14,60.0
2016-08-21,57.0
2016-08-28,45.0
2016-09-04,32.0
2016-09-11,52.0
2016-09-18,33.0
2016-09-25,42.0
2016-10-02,0.0
2016-10-09,0.0
2016-10-16,30.0
2016-10-23,24.0
2016-10-30,30.0
2016-11-06,28.0
2016-11-13,23.0
2016-11-20,22.0
2016-11-27,44.0
2016-12-04,22.0
2016-12-11,0.0
2016-12-18,35.0
2016-12-25,23.0
2017-01-01,32.0
2017-01-08,31.0
2017-01-15,29.0
2017-01-22,28.0
2017-01-29,24.0
2017-02-05,58.0
2017-02-12,50.0
2017-02-19,78.0
2017-02-26,55.0
2017-03-05,61.0
