,Manufacturing
2014-12-28,50.0
2015-01-04,49.0
2015-01-11,47.0
2015-01-18,49.0
2015-01-25,44.0
2015-02-01,49.0
2015-02-08,50.0
2015-02-15,52.0
2015-02-22,50.0
2015-03-01,47.0
2015-03-08,50.0
2015-03-15,50.0
2015-03-22,51.0
2015-03-29,51.0
2015-04-05,56.0
2015-04-12,50.0
2015-04-19,51.0
2015-04-26,53.0
2015-05-03,52.0
2015-05-10,53.0
2015-05-17,52.0
2015-05-24,51.0
2015-05-31,50.0
2015-06-07,50.0
2015-06-14,50.0
2015-06-21,57.0
2015-06-28,66.0
2015-07-05,66.0
2015-07-12,67.0
2015-07-19,66.0
2015-07-26,64.0
2015-08-02,67.0
2015-08-09,61.0
2015-08-16,67.0
2015-08-23,57.0
2015-08-30,58.0
2015-09-06,64.0
2015-09-13,59.0
2015-09-20,61.0
2015-09-27,57.0
2015-10-04,60.0
2015-10-11,58.0
2015-10-18,50.0
2015-10-25,58.0
2015-11-01,56.0
2015-11-08,37.0
2015-11-15,53.0
2015-11-22,56.0
2015-11-29,55.0
2015-12-06,57.0
2015-12-13,58.0
2015-12-20,55.0
2015-12-27,51.0
2016-01-03,58.0
2016-01-10,52.0
2016-01-17,58.0
2016-01-24,52.0
2016-01-31,60.0
2016-02-07,59.0
2016-02-14,59.0
2016-02-21,72.0
2016-02-28,63.0
2016-03-06,66.0
2016-03-13,67.0
2016-03-20,62.0
2016-03-27,65.0
2016-04-03,65.0
2016-04-10,62.0
2016-04-17,63.0
2016-04-24,60.0
2016-05-01,62.0
2016-05-08,61.0
2016-05-15,58.0
2016-05-22,62.0
2016-05-29,61.0
2016-06-05,61.0
2016-06-12,64.0
2016-06-19,68.0
2016-06-26,68.0
2016-07-03,63.0
2016-07-10,67.0
2016-07-17,71.0
2016-07-24,69.0
2016-07-31,68.0
2016-08-07,68.0
2016-08-14,60.0
2016-08-21,71.0
2016-08-28,68.0
2016-09-04,68.0
2016-09-11,69.0
2016-09-18,73.0
2016-09-25,67.0
2016-10-02,65.0
2016-10-09,62.0
2016-10-16,74.0
2016-10-23,63.0
2016-10-30,58.0
2016-11-06,60.0
2016-11-13,58.0
2016-11-20,64.0
2016-11-27,59.0
2016-12-04,58.0
2016-12-11,63.0
2016-12-18,66.0
2016-12-25,68.0
2017-01-01,67.0
2017-01-08,66.0
2017-01-15,68.0
2017-01-22,69.0
2017-01-29,68.0
2017-02-05,68.0
2017-02-12,67.0
2017-02-19,68.0
2017-02-26,69.0
2017-03-05,67.0
2017-03-12,65.0
2017-03-19,70.0
2017-03-26,71.0
2017-04-02,70.0
2017-04-09,71.0
2017-04-16,71.0
2017-04-23,70.0
2017-04-30,72.0
2017-05-07,73.0
2017-05-14,70.0
2017-05-21,70.0
2017-05-28,70.0
2017-06-04,68.0
2017-06-11,69.0
2017-06-18,70.0
2017-06-25,66.0
2017-07-02,74.0
2017-07-09,73.0
2017-07-16,78.0
2017-07-23,79.0
2017-07-30,80.0
2017-08-06,76.0
2017-08-13,78.0
2017-08-20,73.0
2017-08-27,72.0
2017-09-03,73.0
2017-09-10,81.0
2017-09-17,83.0
2017-09-24,71.0
2017-10-01,77.0
2017-10-08,92.0
2017-10-15,72.0
2017-10-22,89.0
2017-10-29,89.0
2017-11-05,83.0
2017-11-12,81.0
2017-11-19,79.0
2017-11-26,76.0
2017-12-03,81.0
2017-12-10,77.0
2017-12-17,79.0
2017-12-24,78.0
2017-12-31,75.0
