,Medical Facilities & Services
2014-12-28,49.0
2015-01-04,44.0
2015-01-11,42.0
2015-01-18,43.0
2015-01-25,48.0
2015-02-01,42.0
2015-02-08,49.0
2015-02-15,51.0
2015-02-22,51.0
2015-03-01,49.0
2015-03-08,54.0
2015-03-15,55.0
2015-03-22,52.0
2015-03-29,61.0
2015-04-05,50.0
2015-04-12,39.0
2015-04-19,55.0
2015-04-26,53.0
2015-05-03,52.0
2015-05-10,60.0
2015-05-17,56.0
2015-05-24,58.0
2015-05-31,56.0
2015-06-07,55.0
2015-06-14,50.0
2015-06-21,54.0
2015-06-28,57.0
2015-07-05,58.0
2015-07-12,58.0
2015-07-19,58.0
2015-07-26,55.0
2015-08-02,58.0
2015-08-09,55.0
2015-08-16,51.0
2015-08-23,55.0
2015-08-30,58.0
2015-09-06,57.0
2015-09-13,55.0
2015-09-20,54.0
2015-09-27,58.0
2015-10-04,66.0
2015-10-11,56.0
2015-10-18,55.0
2015-10-25,56.0
2015-11-01,57.0
2015-11-08,56.0
2015-11-15,55.0
2015-11-22,56.0
2015-11-29,59.0
2015-12-06,56.0
2015-12-13,57.0
2015-12-20,54.0
2015-12-27,60.0
2016-01-03,65.0
2016-01-10,59.0
2016-01-17,60.0
2016-01-24,59.0
2016-01-31,54.0
2016-02-07,59.0
2016-02-14,59.0
2016-02-21,61.0
2016-02-28,63.0
2016-03-06,59.0
2016-03-13,70.0
2016-03-20,60.0
2016-03-27,59.0
2016-04-03,56.0
2016-04-10,39.0
2016-04-17,57.0
2016-04-24,68.0
2016-05-01,68.0
2016-05-08,61.0
2016-05-15,53.0
2016-05-22,61.0
2016-05-29,68.0
2016-06-05,60.0
2016-06-12,65.0
2016-06-19,60.0
2016-06-26,70.0
2016-07-03,70.0
2016-07-10,74.0
2016-07-17,71.0
2016-07-24,63.0
2016-07-31,70.0
2016-08-07,68.0
2016-08-14,67.0
2016-08-21,70.0
2016-08-28,68.0
2016-09-04,63.0
2016-09-11,68.0
2016-09-18,69.0
2016-09-25,74.0
2016-10-02,83.0
2016-10-09,73.0
2016-10-16,72.0
2016-10-23,63.0
2016-10-30,73.0
2016-11-06,65.0
2016-11-13,65.0
2016-11-20,66.0
2016-11-27,70.0
2016-12-04,73.0
2016-12-11,64.0
2016-12-18,74.0
2016-12-25,73.0
2017-01-01,73.0
2017-01-08,67.0
2017-01-15,65.0
2017-01-22,70.0
2017-01-29,67.0
2017-02-05,64.0
2017-02-12,70.0
2017-02-19,69.0
2017-02-26,69.0
2017-03-05,70.0
2017-03-12,71.0
2017-03-19,72.0
2017-03-26,82.0
2017-04-02,68.0
2017-04-09,49.0
2017-04-16,71.0
2017-04-23,73.0
2017-04-30,72.0
2017-05-07,64.0
2017-05-14,69.0
2017-05-21,71.0
2017-05-28,66.0
2017-06-04,65.0
2017-06-11,70.0
2017-06-18,72.0
2017-06-25,74.0
2017-07-02,79.0
2017-07-09,76.0
2017-07-16,78.0
2017-07-23,71.0
2017-07-30,66.0
2017-08-06,68.0
2017-08-13,68.0
2017-08-20,69.0
2017-08-27,61.0
2017-09-03,63.0
2017-09-10,66.0
2017-09-17,71.0
2017-09-24,69.0
2017-10-01,74.0
2017-10-08,72.0
2017-10-15,71.0
2017-10-22,71.0
2017-10-29,70.0
2017-11-05,74.0
2017-11-12,74.0
2017-11-19,75.0
2017-11-26,71.0
2017-12-03,73.0
2017-12-10,74.0
2017-12-17,74.0
2017-12-24,80.0
2017-12-31,76.0
2018-01-07,79.0
2018-01-14,80.0
2018-01-21,76.0
2018-01-28,77.0
2018-02-04,79.0
2018-02-11,79.0
2018-02-18,81.0
2018-02-25,77.0
2018-03-04,71.0
2018-03-11,71.0
2018-03-18,77.0
2018-03-25,100.0
2018-04-01,71.0
2018-04-08,52.0
2018-04-15,66.0
2018-04-22,81.0
2018-04-29,76.0
2018-05-06,78.0
2018-05-13,79.0
2018-05-20,78.0
2018-05-27,74.0
2018-06-03,76.0
2018-06-10,80.0
2018-06-17,77.0
2018-06-24,77.0
2018-07-01,85.0
2018-07-08,81.0
2018-07-15,89.0
2018-07-22,78.0
2018-07-29,83.0
2018-08-05,81.0
2018-08-12,78.0
2018-08-19,75.0
2018-08-26,83.0
2018-09-02,79.0
2018-09-09,82.0
2018-09-16,76.0
2018-09-23,79.0
2018-09-30,83.0
2018-10-07,80.0
2018-10-14,79.0
2018-10-21,76.0
2018-10-28,81.0
2018-11-04,74.0
2018-11-11,77.0
2018-11-18,76.0
2018-11-25,79.0
2018-12-02,78.0
2018-12-09,85.0
2018-12-16,82.0
2018-12-23,87.0
2018-12-30,81.0
2019-01-06,85.0
2019-01-13,82.0
2019-01-20,84.0
2019-01-27,86.0
2019-02-03,85.0
2019-02-10,87.0
2019-02-17,84.0
2019-02-24,84.0
2019-03-03,87.0
2019-03-10,90.0
2019-03-17,87.0
2019-03-24,94.0
2019-03-31,81.0
2019-04-07,72.0
2019-04-14,69.0
2019-04-21,61.0
2019-04-28,68.0
2019-05-05,68.0
2019-05-12,65.0
2019-05-19,78.0
2019-05-26,82.0
2019-06-02,81.0
2019-06-09,86.0
2019-06-16,90.0
2019-06-23,86.0
2019-06-30,90.0
2019-07-07,89.0
2019-07-14,93.0
2019-07-21,94.0
2019-07-28,89.0
2019-08-04,94.0
2019-08-11,79.0
2019-08-18,92.0
2019-08-25,90.0
2019-09-01,84.0
2019-09-08,85.0
2019-09-15,89.0
2019-09-22,81.0
2019-09-29,89.0
2019-10-06,92.0
2019-10-13,91.0
2019-10-20,92.0
2019-10-27,89.0
2019-11-03,89.0
2019-11-10,76.0
2019-11-17,87.0
2019-11-24,91.0
2019-12-01,87.0
2019-12-08,85.0
2019-12-15,92.0
2019-12-22,94.0
2019-12-29,93.0
2020-01-05,86.94710947109472
2020-01-12,88.75850758507586
2020-01-19,94.19270192701927
2020-01-26,92.38130381303813
2020-02-02,86.94710947109472
2020-02-09,94.19270192701927
2020-02-16,94.19270192701927
2020-02-23,92.38130381303813
2020-03-01,88.75850758507586
2020-03-08,79.70151701517015
2020-03-15,77.89011890118901
2020-03-22,70.64452644526446
2020-03-29,83.32431324313244
2020-04-05,70.64452644526446
2020-04-12,65.21033210332104
2020-04-19,67.02173021730218
2020-04-26,77.89011890118901
2020-05-03,67.02173021730218
2020-05-10,76.07872078720787
2020-05-17,79.70151701517015
2020-05-24,85.13571135711358
2020-05-31,79.70151701517015
2020-06-07,86.94710947109472
2020-06-14,85.13571135711358
2020-06-21,90.569905699057
2020-06-28,86.94710947109472
2020-07-05,90.569905699057
2020-07-12,96.00410004100041
2020-07-19,90.569905699057
2020-07-26,88.75850758507586
2020-08-02,81.5129151291513
2020-08-09,94.19270192701927
2020-08-16,92.38130381303813
2020-08-23,101.43829438294384
2020-08-30,90.569905699057
2020-09-06,106.87248872488726
2020-09-13,99.6268962689627
2020-09-20,99.6268962689627
2020-09-27,88.75850758507586
2020-10-04,92.38130381303813
2020-10-11,92.38130381303813
2020-10-18,90.569905699057
2020-10-25,86.94710947109472
2020-11-01,81.5129151291513
2020-11-08,85.13571135711358
2020-11-15,90.569905699057
2020-11-22,86.94710947109472
2020-11-29,88.75850758507586
2020-12-06,90.569905699057
2020-12-13,92.38130381303813
2020-12-20,88.75850758507586
2020-12-27,86.94710947109472
2021-01-03,90.569905699057
2021-01-10,83.32431324313244
2021-01-17,94.19270192701927
2021-01-24,90.569905699057
2021-01-31,90.569905699057
2021-02-07,90.569905699057
2021-02-14,94.19270192701927
2021-02-21,90.569905699057
2021-02-28,92.38130381303813
2021-03-07,88.75850758507586
2021-03-14,96.00410004100041
2021-03-21,92.38130381303813
2021-03-28,94.19270192701927
2021-04-04,92.38130381303813
2021-04-11,67.02173021730218
2021-04-18,96.00410004100041
2021-04-25,105.06109061090612
2021-05-02,99.6268962689627
2021-05-09,96.00410004100041
2021-05-16,103.24969249692498
2021-05-23,86.94710947109472
2021-05-30,99.6268962689627
2021-06-06,103.24969249692498
2021-06-13,101.43829438294384
2021-06-20,99.6268962689627
2021-06-27,106.87248872488726
2021-07-04,114.11808118081181
2021-07-11,126.79786797867979
2021-07-18,112.30668306683067
2021-07-25,119.55227552275524
2021-08-01,119.55227552275524
2021-08-08,126.79786797867979
2021-08-15,123.17507175071752
2021-08-22,112.30668306683067
2021-08-29,117.7408774087741
2021-09-05,106.87248872488726
2021-09-12,105.06109061090612
2021-09-19,106.87248872488726
2021-09-26,96.00410004100041
2021-10-03,101.43829438294384
2021-10-10,105.06109061090612
2021-10-17,96.00410004100041
2021-10-24,108.68388683886839
2021-10-31,108.68388683886839
2021-11-07,99.6268962689627
2021-11-14,112.30668306683067
2021-11-21,112.30668306683067
2021-11-28,101.43829438294384
2021-12-05,101.43829438294384
2021-12-12,101.43829438294384
2021-12-19,103.24969249692498
2021-12-26,101.43829438294384
2022-01-02,134.04346043460436
2022-01-09,146.72324723247235
2022-01-16,119.55227552275524
2022-01-23,134.04346043460436
2022-01-30,134.04346043460436
2022-02-06,135.8548585485855
2022-02-13,135.8548585485855
2022-02-20,117.7408774087741
2022-02-27,130.42066420664207
2022-03-06,126.79786797867979
2022-03-13,121.36367363673638
2022-03-20,121.36367363673638
2022-03-27,108.68388683886839
2022-04-03,99.6268962689627
2022-04-10,85.13571135711358
2022-04-17,115.92947929479296
2022-04-24,123.17507175071752
2022-05-01,121.36367363673638
2022-05-08,101.43829438294384
2022-05-15,121.36367363673638
2022-05-22,119.55227552275524
2022-05-29,119.55227552275524
2022-06-05,121.36367363673638
2022-06-12,115.92947929479296
2022-06-19,135.8548585485855
2022-06-26,121.36367363673638
2022-07-03,117.7408774087741
2022-07-10,117.7408774087741
2022-07-17,181.139811398114
2022-07-24,124.98646986469865
2022-07-31,121.36367363673638
2022-08-07,114.11808118081181
2022-08-14,128.60926609266093
2022-08-21,134.04346043460436
2022-08-28,119.55227552275524
2022-09-04,119.55227552275524
2022-09-11,123.17507175071752
2022-09-18,123.17507175071752
2022-09-25,121.36367363673638
2022-10-02,128.60926609266093
2022-10-09,123.17507175071752
2022-10-16,114.11808118081181
2022-10-23,115.92947929479296
2022-10-30,121.36367363673638
2022-11-06,121.36367363673638
2022-11-13,130.42066420664207
2022-11-20,121.36367363673638
2022-11-27,114.11808118081181
2022-12-04,119.55227552275524
2022-12-11,119.55227552275524
2022-12-18,119.55227552275524
2022-12-25,128.60926609266093
2023-01-01,121.36367363673638
2023-01-08,117.7408774087741
2023-01-15,115.92947929479296
2023-01-22,123.17507175071752
2023-01-29,123.17507175071752
2023-02-05,130.42066420664207
2023-02-12,128.60926609266093
2023-02-19,134.04346043460436
2023-02-26,132.2320623206232
2023-03-05,115.92947929479296
2023-03-12,121.36367363673638
2023-03-19,128.60926609266093
2023-03-26,115.92947929479296
2023-04-02,110.49528495284953
2023-04-09,97.81549815498155
2023-04-16,119.55227552275524
2023-04-23,124.98646986469865
2023-04-30,103.24969249692498
2023-05-07,124.98646986469865
2023-05-14,124.98646986469865
2023-05-21,124.98646986469865
2023-05-28,121.36367363673638
2023-06-04,134.04346043460436
2023-06-11,132.2320623206232
2023-06-18,139.47765477654778
2023-06-25,130.42066420664207
2023-07-02,130.42066420664207
2023-07-09,143.10045100451006
2023-07-16,134.04346043460436
2023-07-23,134.04346043460436
2023-07-30,132.2320623206232
2023-08-06,124.98646986469865
2023-08-13,137.66625666256664
2023-08-20,135.8548585485855
2023-08-27,124.98646986469865
2023-09-03,150.3460434604346
2023-09-10,126.79786797867979
2023-09-17,128.60926609266093
2023-09-24,117.7408774087741
2023-10-01,121.36367363673638
2023-10-08,130.42066420664207
2023-10-15,134.04346043460436
2023-10-22,117.7408774087741
2023-10-29,117.7408774087741
2023-11-05,124.98646986469865
2023-11-12,128.60926609266093
2023-11-19,132.2320623206232
2023-11-26,126.79786797867979
2023-12-03,124.98646986469865
2023-12-10,126.79786797867979
2023-12-17,132.2320623206232
2023-12-24,128.60926609266093
2023-12-31,126.79786797867979
2024-01-07,127.89765995253838
2024-01-14,124.88830324777277
2024-01-21,118.86958983824155
2024-01-28,136.9257300668352
2024-02-04,127.89765995253838
2024-02-11,144.44912182874924
2024-02-18,133.9163733620696
2024-02-25,132.41169500968678
2024-03-03,124.88830324777277
2024-03-10,132.41169500968678
2024-03-17,133.9163733620696
2024-03-24,138.430408419218
2024-03-31,127.89765995253838
2024-04-07,111.34619807632752
2024-04-14,117.36491148585874
2024-04-21,129.4023383049212
2024-04-28,135.4210517144524
2024-05-05,132.41169500968678
2024-05-12,135.4210517144524
2024-05-19,114.35555478109313
2024-05-26,141.43976512398362
2024-06-02,135.4210517144524
2024-06-09,139.93508677160082
2024-06-16,135.4210517144524
2024-06-23,133.9163733620696
2024-06-30,136.9257300668352
2024-07-07,142.94444347636642
2024-07-14,142.94444347636642
2024-07-21,145.95380018113204
2024-07-28,129.4023383049212
2024-08-04,132.41169500968678
2024-08-11,138.430408419218
2024-08-18,142.94444347636642
2024-08-25,129.4023383049212
2024-09-01,132.41169500968678
2024-09-08,130.90701665730398
2024-09-15,114.35555478109313
2024-09-22,129.4023383049212
2024-09-29,130.90701665730398
2024-10-06,142.94444347636642
2024-10-13,121.87894654300716
2024-10-20,127.89765995253838
2024-10-27,138.430408419218
2024-11-03,124.88830324777277
2024-11-10,118.86958983824155
2024-11-17,124.88830324777277
2024-11-24,127.89765995253838
2024-12-01,118.86958983824155
2024-12-08,133.9163733620696
2024-12-15,126.39298160015558
2024-12-22,123.38362489538997
2024-12-29,126.39298160015558
2025-01-05,124.88830324777277
2025-01-12,121.87894654300716
2025-01-19,132.41169500968678
2025-01-26,129.4023383049212
2025-02-02,133.9163733620696
2025-02-09,132.41169500968678
2025-02-16,132.41169500968678
2025-02-23,127.89765995253838
2025-03-02,127.89765995253838
2025-03-09,126.39298160015558
2025-03-16,132.41169500968678
2025-03-23,124.88830324777277
2025-03-30,121.87894654300716
2025-04-06,109.84151972394473
2025-04-13,102.3181279620307
2025-04-20,132.41169500968678
2025-04-27,124.88830324777277
2025-05-04,126.39298160015558
2025-05-11,124.88830324777277
2025-05-18,130.90701665730398
2025-05-25,132.41169500968678
2025-06-01,135.4210517144524
2025-06-08,135.4210517144524
2025-06-15,144.44912182874924
2025-06-22,127.89765995253838
2025-06-29,126.39298160015558
2025-07-06,126.39298160015558
2025-07-13,135.4210517144524
2025-07-20,127.89765995253838
2025-07-27,129.4023383049212
2025-08-03,129.4023383049212
2025-08-10,124.88830324777277
2025-08-17,132.41169500968678
2025-08-24,129.4023383049212
2025-08-31,126.39298160015558
2025-09-07,127.89765995253838
2025-09-14,129.4023383049212
2025-09-21,121.87894654300716
2025-09-28,127.89765995253838
2025-10-05,121.87894654300716
2025-10-12,136.9257300668352
2025-10-19,120.37426819062435
2025-10-26,124.88830324777277
2025-11-02,124.88830324777277
2025-11-09,126.39298160015558
2025-11-16,121.87894654300716
2025-11-23,111.34619807632752
2025-11-30,111.34619807632752
2025-12-07,123.38362489538997
2025-12-14,130.90701665730398
2025-12-21,133.9163733620696
2025-12-28,136.9257300668352
