,Mental Health
2014-12-28,34.0
2015-01-04,20.0
2015-01-11,32.0
2015-01-18,32.0
2015-01-25,32.0
2015-02-01,42.0
2015-02-08,34.0
2015-02-15,39.0
2015-02-22,38.0
2015-03-01,33.0
2015-03-08,43.0
2015-03-15,24.0
2015-03-22,48.0
2015-03-29,75.0
2015-04-05,48.0
2015-04-12,42.0
2015-04-19,45.0
2015-04-26,45.0
2015-05-03,35.0
2015-05-10,31.0
2015-05-17,45.0
2015-05-24,44.0
2015-05-31,31.0
2015-06-07,28.0
2015-06-14,29.0
2015-06-21,36.0
2015-06-28,34.0
2015-07-05,46.0
2015-07-12,34.0
2015-07-19,32.0
2015-07-26,37.0
2015-08-02,35.0
2015-08-09,33.0
2015-08-16,47.0
2015-08-23,37.0
2015-08-30,46.0
2015-09-06,34.0
2015-09-13,38.0
2015-09-20,35.0
2015-09-27,39.0
2015-10-04,44.0
2015-10-11,44.0
2015-10-18,35.0
2015-10-25,34.0
2015-11-01,36.0
2015-11-08,57.0
2015-11-15,40.0
2015-11-22,37.0
2015-11-29,38.0
2015-12-06,26.0
2015-12-13,32.0
2015-12-20,37.0
2015-12-27,46.0
2016-01-03,37.0
2016-01-10,41.0
2016-01-17,37.0
2016-01-24,25.0
2016-01-31,35.0
2016-02-07,45.0
2016-02-14,48.0
2016-02-21,43.0
2016-02-28,40.0
2016-03-06,40.0
2016-03-13,42.0
2016-03-20,43.0
2016-03-27,68.0
2016-04-03,56.0
2016-04-10,54.0
2016-04-17,45.0
2016-04-24,64.0
2016-05-01,48.0
2016-05-08,37.0
2016-05-15,46.0
2016-05-22,54.0
2016-05-29,36.0
2016-06-05,37.0
2016-06-12,41.0
2016-06-19,37.0
2016-06-26,41.0
2016-07-03,35.0
2016-07-10,50.0
2016-07-17,41.0
2016-07-24,53.0
2016-07-31,49.0
2016-08-07,27.0
2016-08-14,36.0
2016-08-21,45.0
2016-08-28,33.0
2016-09-04,46.0
2016-09-11,33.0
2016-09-18,22.0
2016-09-25,15.0
2016-10-02,19.0
2016-10-09,21.0
2016-10-16,27.0
2016-10-23,0.0
2016-10-30,0.0
2016-11-06,10.0
2016-11-13,0.0
2016-11-20,15.0
2016-11-27,14.0
2016-12-04,15.0
2016-12-11,0.0
2016-12-18,0.0
2016-12-25,0.0
2017-01-01,0.0
2017-01-08,16.0
2017-01-15,20.0
2017-01-22,17.0
2017-01-29,20.0
2017-02-05,36.0
2017-02-12,42.0
2017-02-19,35.0
2017-02-26,35.0
2017-03-05,43.0
2017-03-12,37.0
2017-03-19,39.0
2017-03-26,68.0
2017-04-02,77.0
2017-04-09,56.0
2017-04-16,56.0
2017-04-23,52.0
2017-04-30,48.0
2017-05-07,41.0
2017-05-14,36.0
2017-05-21,33.0
2017-05-28,48.0
