,Performing Arts
2014-12-28,54.0
2015-01-04,52.0
2015-01-11,60.0
2015-01-18,52.0
2015-01-25,47.0
2015-02-01,70.0
2015-02-08,43.0
2015-02-15,70.0
2015-02-22,37.0
2015-03-01,57.0
2015-03-08,48.0
2015-03-15,78.0
2015-03-22,58.0
2015-03-29,56.0
2015-04-05,65.0
2015-04-12,55.0
2015-04-19,92.0
2015-04-26,68.0
2015-05-03,71.0
2015-05-10,66.0
2015-05-17,52.0
2015-05-24,63.0
2015-05-31,58.0
2015-06-07,55.0
2015-06-14,50.0
2015-06-21,54.0
2015-06-28,73.0
2015-07-05,66.0
2015-07-12,87.0
2015-07-19,75.0
2015-07-26,79.0
2015-08-02,71.0
2015-08-09,90.0
2015-08-16,92.0
2015-08-23,61.0
2015-08-30,72.0
2015-09-06,66.0
2015-09-13,58.0
2015-09-20,65.0
2015-09-27,55.0
2015-10-04,65.0
2015-10-11,75.0
2015-10-18,87.0
2015-10-25,76.0
2015-11-01,66.0
2015-11-08,58.0
2015-11-15,32.0
2015-11-22,57.0
2015-11-29,50.0
2015-12-06,28.0
2015-12-13,55.0
2015-12-20,79.0
2015-12-27,73.0
2016-01-03,70.0
2016-01-10,58.0
2016-01-17,72.0
2016-01-24,72.0
2016-01-31,65.0
2016-02-07,67.0
2016-02-14,59.0
2016-02-21,52.0
2016-02-28,87.0
2016-03-06,58.0
2016-03-13,34.0
2016-03-20,62.0
2016-03-27,83.0
2016-04-03,49.0
2016-04-10,89.0
2016-04-17,73.0
2016-04-24,53.0
2016-05-01,51.0
2016-05-08,73.0
2016-05-15,71.0
2016-05-22,54.0
2016-05-29,48.0
2016-06-05,55.0
2016-06-12,64.0
2016-06-19,76.0
2016-06-26,61.0
2016-07-03,80.0
2016-07-10,64.0
2016-07-17,61.0
2016-07-24,85.0
2016-07-31,78.0
2016-08-07,63.0
2016-08-14,76.0
2016-08-21,80.0
2016-08-28,37.0
2016-09-04,84.0
2016-09-11,92.0
2016-09-18,27.0
2016-09-25,27.0
2016-10-02,0.0
2016-10-09,0.0
2016-10-16,25.0
2016-10-23,0.0
2016-10-30,0.0
2016-11-06,27.0
2016-11-13,0.0
2016-11-20,33.0
2016-11-27,0.0
2016-12-04,28.0
2016-12-11,0.0
2016-12-18,0.0
2016-12-25,28.0
2017-01-01,34.0
2017-01-08,0.0
2017-01-15,28.0
2017-01-22,42.0
2017-01-29,30.0
2017-02-05,67.0
2017-02-12,61.0
2017-02-19,64.0
2017-02-26,72.0
2017-03-05,69.0
2017-03-12,77.0
2017-03-19,88.0
2017-03-26,64.0
2017-04-02,56.0
2017-04-09,75.0
2017-04-16,83.0
2017-04-23,68.0
2017-04-30,70.0
2017-05-07,54.0
2017-05-14,70.0
2017-05-21,49.0
2017-05-28,47.0
2017-06-04,59.0
2017-06-11,44.0
2017-06-18,58.0
2017-06-25,50.0
2017-07-02,64.0
2017-07-09,62.0
2017-07-16,76.0
2017-07-23,66.0
2017-07-30,65.0
2017-08-06,70.0
2017-08-13,54.0
2017-08-20,65.0
2017-08-27,51.0
2017-09-03,42.0
2017-09-10,61.0
2017-09-17,74.0
2017-09-24,64.0
2017-10-01,63.0
2017-10-08,55.0
2017-10-15,50.0
2017-10-22,60.0
2017-10-29,50.0
2017-11-05,87.0
2017-11-12,68.0
2017-11-19,58.0
2017-11-26,69.0
2017-12-03,54.0
2017-12-10,63.0
2017-12-17,85.0
2017-12-24,80.0
2017-12-31,84.0
2018-01-07,73.0
2018-01-14,52.0
2018-01-21,58.0
2018-01-28,69.0
2018-02-04,61.0
2018-02-11,80.0
2018-02-18,66.0
2018-02-25,55.0
2018-03-04,85.0
2018-03-11,53.0
2018-03-18,69.0
2018-03-25,67.0
2018-04-01,53.0
2018-04-08,71.0
2018-04-15,67.0
2018-04-22,63.0
2018-04-29,77.0
2018-05-06,78.0
2018-05-13,57.0
