,Photo & Video Services
2014-12-28,45.0
2015-01-04,62.0
2015-01-11,74.0
2015-01-18,79.0
2015-01-25,72.0
2015-02-01,76.0
2015-02-08,67.0
2015-02-15,73.0
2015-02-22,72.0
2015-03-01,71.0
2015-03-08,84.0
2015-03-15,71.0
2015-03-22,60.0
2015-03-29,66.0
2015-04-05,69.0
2015-04-12,42.0
2015-04-19,69.0
2015-04-26,64.0
2015-05-03,88.0
2015-05-10,63.0
2015-05-17,78.0
2015-05-24,66.0
2015-05-31,70.0
2015-06-07,86.0
2015-06-14,85.0
2015-06-21,69.0
2015-06-28,66.0
2015-07-05,75.0
2015-07-12,77.0
2015-07-19,90.0
2015-07-26,73.0
2015-08-02,72.0
2015-08-09,71.0
2015-08-16,71.0
2015-08-23,75.0
2015-08-30,70.0
2015-09-06,76.0
2015-09-13,71.0
2015-09-20,61.0
2015-09-27,66.0
2015-10-04,79.0
2015-10-11,72.0
2015-10-18,70.0
2015-10-25,69.0
2015-11-01,72.0
2015-11-08,75.0
2015-11-15,75.0
2015-11-22,66.0
2015-11-29,78.0
2015-12-06,69.0
2015-12-13,73.0
2015-12-20,55.0
2015-12-27,59.0
2016-01-03,70.0
2016-01-10,72.0
2016-01-17,63.0
2016-01-24,86.0
2016-01-31,66.0
2016-02-07,89.0
2016-02-14,72.0
2016-02-21,70.0
2016-02-28,78.0
2016-03-06,75.0
2016-03-13,58.0
2016-03-20,60.0
2016-03-27,65.0
2016-04-03,53.0
2016-04-10,46.0
2016-04-17,70.0
2016-04-24,60.0
2016-05-01,78.0
2016-05-08,77.0
2016-05-15,70.0
2016-05-22,61.0
2016-05-29,71.0
2016-06-05,62.0
2016-06-12,59.0
2016-06-19,68.0
2016-06-26,82.0
2016-07-03,73.0
2016-07-10,87.0
2016-07-17,75.0
2016-07-24,85.0
2016-07-31,71.0
2016-08-07,83.0
2016-08-14,83.0
2016-08-21,74.0
2016-08-28,71.0
2016-09-04,75.0
2016-09-11,76.0
2016-09-18,67.0
2016-09-25,72.0
2016-10-02,83.0
2016-10-09,72.0
2016-10-16,96.0
2016-10-23,68.0
2016-10-30,86.0
2016-11-06,68.0
2016-11-13,77.0
