,Printing & Publishing
2014-12-28,35.0
2015-01-04,33.0
2015-01-11,31.0
2015-01-18,33.0
2015-01-25,33.0
2015-02-01,34.0
2015-02-08,34.0
2015-02-15,36.0
2015-02-22,36.0
2015-03-01,38.0
2015-03-08,43.0
2015-03-15,43.0
2015-03-22,42.0
2015-03-29,42.0
2015-04-05,41.0
2015-04-12,40.0
2015-04-19,39.0
2015-04-26,40.0
2015-05-03,43.0
2015-05-10,40.0
2015-05-17,38.0
2015-05-24,38.0
2015-05-31,40.0
2015-06-07,39.0
2015-06-14,40.0
2015-06-21,45.0
2015-06-28,52.0
2015-07-05,55.0
2015-07-12,51.0
2015-07-19,54.0
2015-07-26,50.0
2015-08-02,51.0
2015-08-09,51.0
2015-08-16,50.0
2015-08-23,51.0
2015-08-30,53.0
2015-09-06,52.0
2015-09-13,49.0
2015-09-20,50.0
2015-09-27,48.0
2015-10-04,49.0
2015-10-11,49.0
2015-10-18,43.0
2015-10-25,46.0
2015-11-01,42.0
2015-11-08,36.0
2015-11-15,43.0
2015-11-22,46.0
2015-11-29,42.0
2015-12-06,44.0
2015-12-13,46.0
2015-12-20,44.0
2015-12-27,42.0
2016-01-03,43.0
2016-01-10,44.0
2016-01-17,41.0
2016-01-24,40.0
2016-01-31,40.0
2016-02-07,41.0
2016-02-14,40.0
2016-02-21,42.0
2016-02-28,46.0
2016-03-06,46.0
2016-03-13,44.0
2016-03-20,38.0
2016-03-27,42.0
2016-04-03,43.0
2016-04-10,41.0
2016-04-17,42.0
2016-04-24,41.0
2016-05-01,45.0
2016-05-08,42.0
2016-05-15,40.0
2016-05-22,45.0
2016-05-29,45.0
2016-06-05,48.0
2016-06-12,48.0
2016-06-19,48.0
2016-06-26,48.0
2016-07-03,45.0
2016-07-10,47.0
2016-07-17,54.0
2016-07-24,52.0
2016-07-31,52.0
2016-08-07,53.0
2016-08-14,51.0
2016-08-21,75.0
2016-08-28,100.0
2016-09-04,97.0
2016-09-11,77.0
2016-09-18,71.0
2016-09-25,76.0
