,Recruitment
2014-12-28,51.0
2015-01-04,45.0
2015-01-11,61.0
2015-01-18,72.0
2015-01-25,65.0
2015-02-01,40.0
2015-02-08,69.0
2015-02-15,72.0
2015-02-22,66.0
2015-03-01,69.0
2015-03-08,57.0
2015-03-15,100.0
2015-03-22,83.0
2015-03-29,92.0
2015-04-05,54.0
2015-04-12,71.0
2015-04-19,70.0
2015-04-26,70.0
2015-05-03,59.0
2015-05-10,66.0
2015-05-17,62.0
2015-05-24,78.0
2015-05-31,48.0
2015-06-07,73.0
2015-06-14,67.0
2015-06-21,60.0
2015-06-28,60.0
2015-07-05,80.0
2015-07-12,99.0
2015-07-19,70.0
2015-07-26,41.0
2015-08-02,58.0
2015-08-09,38.0
2015-08-16,53.0
2015-08-23,63.0
2015-08-30,57.0
2015-09-06,67.0
2015-09-13,64.0
2015-09-20,64.0
2015-09-27,61.0
2015-10-04,69.0
2015-10-11,65.0
2015-10-18,48.0
2015-10-25,59.0
2015-11-01,70.0
2015-11-08,53.0
2015-11-15,66.0
2015-11-22,73.0
2015-11-29,62.0
2015-12-06,52.0
2015-12-13,67.0
2015-12-20,49.0
2015-12-27,49.0
2016-01-03,71.0
2016-01-10,60.0
2016-01-17,61.0
2016-01-24,58.0
2016-01-31,66.0
2016-02-07,74.0
2016-02-14,69.0
2016-02-21,67.0
2016-02-28,62.0
2016-03-06,63.0
2016-03-13,63.0
2016-03-20,55.0
2016-03-27,45.0
2016-04-03,40.0
2016-04-10,34.0
2016-04-17,58.0
2016-04-24,60.0
2016-05-01,62.0
2016-05-08,61.0
2016-05-15,56.0
2016-05-22,54.0
2016-05-29,79.0
2016-06-05,61.0
2016-06-12,78.0
2016-06-19,75.0
2016-06-26,58.0
2016-07-03,50.0
2016-07-10,46.0
2016-07-17,48.0
2016-07-24,62.0
2016-07-31,72.0
2016-08-07,56.0
2016-08-14,58.0
2016-08-21,48.0
2016-08-28,61.0
2016-09-04,52.0
2016-09-11,65.0
2016-09-18,50.0
2016-09-25,51.0
2016-10-02,53.0
2016-10-09,56.0
2016-10-16,53.0
2016-10-23,43.0
2016-10-30,64.0
2016-11-06,49.0
2016-11-13,57.0
2016-11-20,63.0
2016-11-27,64.0
2016-12-04,55.0
2016-12-11,48.0
2016-12-18,53.0
2016-12-25,45.0
2017-01-01,62.0
2017-01-08,46.0
2017-01-15,71.0
2017-01-22,56.0
2017-01-29,69.0
2017-02-05,59.0
2017-02-12,73.0
2017-02-19,61.0
2017-02-26,68.0
2017-03-05,70.0
2017-03-12,69.0
2017-03-19,64.0
2017-03-26,69.0
2017-04-02,56.0
2017-04-09,34.0
2017-04-16,49.0
2017-04-23,62.0
2017-04-30,50.0
2017-05-07,54.0
2017-05-14,72.0
2017-05-21,55.0
2017-05-28,56.0
2017-06-04,61.0
2017-06-11,63.0
2017-06-18,61.0
2017-06-25,74.0
2017-07-02,70.0
2017-07-09,75.0
2017-07-16,85.0
2017-07-23,64.0
2017-07-30,72.0
2017-08-06,62.0
2017-08-13,65.0
2017-08-20,67.0
2017-08-27,54.0
2017-09-03,46.0
2017-09-10,71.0
2017-09-17,79.0
2017-09-24,47.0
2017-10-01,45.0
2017-10-08,61.0
2017-10-15,66.0
2017-10-22,71.0
2017-10-29,66.0
2017-11-05,91.0
2017-11-12,67.0
2017-11-19,79.0
2017-11-26,69.0
2017-12-03,72.0
2017-12-10,56.0
2017-12-17,56.0
2017-12-24,50.0
2017-12-31,79.0
2018-01-07,71.0
2018-01-14,54.0
2018-01-21,53.0
2018-01-28,50.0
2018-02-04,47.0
2018-02-11,86.0
2018-02-18,67.0
2018-02-25,74.0
2018-03-04,72.0
2018-03-11,56.0
2018-03-18,57.0
2018-03-25,46.0
2018-04-01,50.0
2018-04-08,33.0
2018-04-15,42.0
2018-04-22,55.0
2018-04-29,54.0
2018-05-06,64.0
2018-05-13,54.0
2018-05-20,69.0
2018-05-27,39.0
2018-06-03,46.0
2018-06-10,54.0
2018-06-17,66.0
2018-06-24,44.0
2018-07-01,66.0
2018-07-08,74.0
2018-07-15,70.0
2018-07-22,78.0
2018-07-29,74.0
2018-08-05,76.0
2018-08-12,78.0
2018-08-19,59.0
2018-08-26,76.0
2018-09-02,75.0
2018-09-09,63.0
2018-09-16,51.0
2018-09-23,52.0
2018-09-30,56.0
2018-10-07,66.0
2018-10-14,60.0
2018-10-21,60.0
2018-10-28,46.0
2018-11-04,68.0
2018-11-11,59.0
2018-11-18,51.0
2018-11-25,60.0
2018-12-02,47.0
2018-12-09,54.0
2018-12-16,45.0
2018-12-23,45.0
2018-12-30,46.0
2019-01-06,74.0
2019-01-13,64.0
2019-01-20,64.0
2019-01-27,57.0
2019-02-03,71.0
2019-02-10,58.0
2019-02-17,68.0
2019-02-24,55.0
2019-03-03,74.0
2019-03-10,61.0
2019-03-17,60.0
2019-03-24,49.0
2019-03-31,52.0
2019-04-07,53.0
2019-04-14,45.0
2019-04-21,35.0
2019-04-28,43.0
2019-05-05,53.0
2019-05-12,58.0
2019-05-19,79.0
2019-05-26,79.0
2019-06-02,70.0
2019-06-09,63.0
2019-06-16,60.0
2019-06-23,65.0
2019-06-30,76.0
2019-07-07,92.0
2019-07-14,60.0
2019-07-21,78.0
2019-07-28,73.0
2019-08-04,78.0
2019-08-11,54.0
2019-08-18,56.0
2019-08-25,64.0
2019-09-01,67.0
2019-09-08,55.0
2019-09-15,69.0
2019-09-22,61.0
2019-09-29,67.0
2019-10-06,60.0
2019-10-13,66.0
2019-10-20,60.0
2019-10-27,77.0
2019-11-03,63.0
2019-11-10,57.0
2019-11-17,67.0
2019-11-24,68.0
2019-12-01,78.0
2019-12-08,63.0
2019-12-15,70.0
2019-12-22,52.0
2019-12-29,53.0
2020-01-05,81.10446711220541
2020-01-12,63.724938445304254
2020-01-19,83.42173760112557
2020-01-26,56.77312697854379
2020-02-02,72.99402040098488
2020-02-09,74.15265564544495
2020-02-16,78.78719662328527
2020-02-23,79.94583186774534
2020-03-01,76.46992613436511
2020-03-08,61.4076679563841
2020-03-15,28.965881111501936
2020-03-22,26.648610622581778
2020-03-29,30.12451635596201
2020-04-05,32.44178684488217
2020-04-12,38.234963067182555
2020-04-19,34.75905733380232
2020-04-26,31.283151600422087
2020-05-03,48.66268026732325
2020-05-10,53.297221245163556
2020-05-17,45.186774533943016
2020-05-24,37.076327822722476
2020-05-31,39.393598311642634
2020-06-07,49.821315511783325
2020-06-14,38.234963067182555
2020-06-21,44.02813928948294
2020-06-28,48.66268026732325
2020-07-05,44.02813928948294
2020-07-12,47.504045022863174
2020-07-19,61.4076679563841
2020-07-26,40.552233556102706
2020-08-02,50.979950756243404
2020-08-09,59.090397467463944
2020-08-16,85.73900809004573
2020-08-23,64.88357368976433
2020-08-30,49.821315511783325
2020-09-06,69.51811466760464
2020-09-13,54.455856489623635
2020-09-20,62.566303200844175
2020-09-27,54.455856489623635
2020-10-04,35.9176925782624
2020-10-11,54.455856489623635
2020-10-18,44.02813928948294
2020-10-25,47.504045022863174
2020-11-01,35.9176925782624
2020-11-08,47.504045022863174
2020-11-15,48.66268026732325
2020-11-22,54.455856489623635
2020-11-29,38.234963067182555
2020-12-06,48.66268026732325
2020-12-13,53.297221245163556
2020-12-20,44.02813928948294
2020-12-27,44.02813928948294
2021-01-03,50.979950756243404
2021-01-10,54.455856489623635
2021-01-17,45.186774533943016
2021-01-24,55.614491734083714
2021-01-31,49.821315511783325
2021-02-07,54.455856489623635
2021-02-14,57.93176222300387
2021-02-21,46.345409778403095
2021-02-28,50.979950756243404
2021-03-07,55.614491734083714
2021-03-14,53.297221245163556
2021-03-21,49.821315511783325
2021-03-28,54.455856489623635
2021-04-04,52.138586000703484
2021-04-11,35.9176925782624
2021-04-18,55.614491734083714
2021-04-25,47.504045022863174
2021-05-02,55.614491734083714
2021-05-09,52.138586000703484
2021-05-16,53.297221245163556
2021-05-23,47.504045022863174
2021-05-30,52.138586000703484
2021-06-06,57.93176222300387
2021-06-13,60.24903271192402
2021-06-20,54.455856489623635
2021-06-27,49.821315511783325
2021-07-04,57.93176222300387
2021-07-11,44.02813928948294
2021-07-18,53.297221245163556
2021-07-25,62.566303200844175
2021-08-01,59.090397467463944
2021-08-08,47.504045022863174
2021-08-15,48.66268026732325
2021-08-22,55.614491734083714
2021-08-29,50.979950756243404
2021-09-05,48.66268026732325
2021-09-12,54.455856489623635
2021-09-19,57.93176222300387
2021-09-26,66.0422089342244
2021-10-03,57.93176222300387
