,Restaurants
2014-12-28,34.0
2015-01-04,17.0
2015-01-11,33.0
2015-01-18,22.0
2015-01-25,40.0
2015-02-01,29.0
2015-02-08,31.0
2015-02-15,39.0
2015-02-22,35.0
2015-03-01,31.0
2015-03-08,28.0
2015-03-15,34.0
2015-03-22,23.0
2015-03-29,31.0
2015-04-05,28.0
2015-04-12,37.0
2015-04-19,31.0
2015-04-26,34.0
2015-05-03,36.0
2015-05-10,33.0
2015-05-17,34.0
2015-05-24,36.0
2015-05-31,51.0
2015-06-07,28.0
2015-06-14,41.0
2015-06-21,45.0
2015-06-28,41.0
2015-07-05,55.0
2015-07-12,49.0
2015-07-19,47.0
2015-07-26,32.0
2015-08-02,42.0
2015-08-09,49.0
2015-08-16,38.0
2015-08-23,32.0
2015-08-30,36.0
2015-09-06,40.0
2015-09-13,41.0
2015-09-20,37.0
2015-09-27,42.0
2015-10-04,32.0
2015-10-11,38.0
2015-10-18,43.0
2015-10-25,39.0
2015-11-01,28.0
2015-11-08,43.0
2015-11-15,40.0
2015-11-22,32.0
2015-11-29,48.0
2015-12-06,34.0
2015-12-13,42.0
2015-12-20,29.0
2015-12-27,50.0
2016-01-03,34.0
2016-01-10,38.0
2016-01-17,50.0
2016-01-24,46.0
2016-01-31,34.0
2016-02-07,37.0
2016-02-14,40.0
2016-02-21,45.0
2016-02-28,46.0
2016-03-06,46.0
2016-03-13,37.0
2016-03-20,44.0
2016-03-27,40.0
2016-04-03,42.0
2016-04-10,31.0
2016-04-17,56.0
2016-04-24,43.0
2016-05-01,43.0
2016-05-08,46.0
2016-05-15,44.0
2016-05-22,53.0
2016-05-29,45.0
2016-06-05,40.0
2016-06-12,51.0
2016-06-19,57.0
2016-06-26,49.0
2016-07-03,54.0
2016-07-10,51.0
2016-07-17,49.0
2016-07-24,54.0
2016-07-31,54.0
2016-08-07,30.0
2016-08-14,50.0
2016-08-21,46.0
2016-08-28,39.0
2016-09-04,43.0
2016-09-11,31.0
2016-09-18,19.0
2016-09-25,16.0
2016-10-02,21.0
2016-10-09,20.0
2016-10-16,23.0
2016-10-23,18.0
2016-10-30,15.0
2016-11-06,18.0
2016-11-13,18.0
2016-11-20,20.0
2016-11-27,15.0
2016-12-04,12.0
2016-12-11,18.0
2016-12-18,22.0
2016-12-25,24.0
2017-01-01,19.0
2017-01-08,36.0
2017-01-15,18.0
2017-01-22,20.0
2017-01-29,30.0
2017-02-05,48.0
2017-02-12,49.0
2017-02-19,42.0
2017-02-26,37.0
2017-03-05,55.0
2017-03-12,45.0
2017-03-19,41.0
2017-03-26,43.0
2017-04-02,45.0
2017-04-09,48.0
2017-04-16,46.0
2017-04-23,46.0
2017-04-30,50.0
2017-05-07,44.0
2017-05-14,47.0
2017-05-21,41.0
2017-05-28,47.0
2017-06-04,67.0
2017-06-11,51.0
2017-06-18,47.0
2017-06-25,56.0
2017-07-02,43.0
2017-07-09,51.0
2017-07-16,57.0
2017-07-23,35.0
2017-07-30,44.0
