,Resumes & Portfolios
2014-12-28,46.0
2015-01-04,52.0
2015-01-11,48.0
2015-01-18,52.0
2015-01-25,51.0
2015-02-01,56.0
2015-02-08,54.0
2015-02-15,55.0
2015-02-22,53.0
2015-03-01,48.0
2015-03-08,55.0
2015-03-15,54.0
2015-03-22,55.0
2015-03-29,53.0
2015-04-05,56.0
2015-04-12,53.0
2015-04-19,51.0
2015-04-26,51.0
2015-05-03,53.0
2015-05-10,56.0
2015-05-17,60.0
2015-05-24,63.0
2015-05-31,63.0
2015-06-07,62.0
2015-06-14,63.0
2015-06-21,68.0
2015-06-28,75.0
2015-07-05,75.0
2015-07-12,71.0
2015-07-19,74.0
2015-07-26,71.0
2015-08-02,77.0
2015-08-09,70.0
2015-08-16,70.0
2015-08-23,63.0
2015-08-30,69.0
2015-09-06,70.0
2015-09-13,64.0
2015-09-20,65.0
2015-09-27,63.0
2015-10-04,66.0
2015-10-11,61.0
2015-10-18,46.0
2015-10-25,58.0
2015-11-01,53.0
2015-11-08,41.0
2015-11-15,56.0
2015-11-22,55.0
2015-11-29,55.0
2015-12-06,57.0
2015-12-13,57.0
2015-12-20,54.0
2015-12-27,53.0
2016-01-03,57.0
2016-01-10,52.0
2016-01-17,57.0
2016-01-24,53.0
2016-01-31,62.0
2016-02-07,59.0
2016-02-14,59.0
2016-02-21,60.0
2016-02-28,56.0
2016-03-06,57.0
2016-03-13,59.0
2016-03-20,49.0
2016-03-27,58.0
2016-04-03,57.0
2016-04-10,56.0
2016-04-17,58.0
2016-04-24,63.0
2016-05-01,63.0
2016-05-08,60.0
2016-05-15,64.0
2016-05-22,71.0
2016-05-29,69.0
2016-06-05,67.0
2016-06-12,69.0
2016-06-19,78.0
2016-06-26,72.0
2016-07-03,69.0
2016-07-10,73.0
2016-07-17,74.0
2016-07-24,75.0
2016-07-31,73.0
2016-08-07,69.0
2016-08-14,60.0
2016-08-21,67.0
2016-08-28,69.0
2016-09-04,67.0
2016-09-11,65.0
2016-09-18,68.0
2016-09-25,63.0
2016-10-02,58.0
2016-10-09,52.0
2016-10-16,57.0
2016-10-23,48.0
2016-10-30,51.0
2016-11-06,56.0
2016-11-13,57.0
2016-11-20,58.0
2016-11-27,55.0
2016-12-04,55.0
2016-12-11,57.0
2016-12-18,59.0
2016-12-25,58.0
2017-01-01,65.0
2017-01-08,63.0
2017-01-15,64.0
2017-01-22,64.0
2017-01-29,66.0
2017-02-05,68.0
2017-02-12,65.0
2017-02-19,69.0
2017-02-26,70.0
2017-03-05,63.0
2017-03-12,64.0
2017-03-19,72.0
2017-03-26,67.0
2017-04-02,69.0
2017-04-09,64.0
2017-04-16,68.0
2017-04-23,68.0
2017-04-30,66.0
2017-05-07,68.0
2017-05-14,71.0
2017-05-21,73.0
2017-05-28,82.0
2017-06-04,78.0
2017-06-11,78.0
2017-06-18,83.0
2017-06-25,76.0
2017-07-02,87.0
2017-07-09,83.0
2017-07-16,82.0
2017-07-23,82.0
2017-07-30,78.0
2017-08-06,73.0
2017-08-13,67.0
2017-08-20,68.0
2017-08-27,65.0
2017-09-03,70.0
2017-09-10,74.0
2017-09-17,69.0
2017-09-24,59.0
2017-10-01,61.0
2017-10-08,66.0
2017-10-15,47.0
2017-10-22,67.0
2017-10-29,72.0
2017-11-05,71.0
2017-11-12,70.0
2017-11-19,64.0
2017-11-26,65.0
2017-12-03,72.0
2017-12-10,73.0
2017-12-17,73.0
2017-12-24,66.0
2017-12-31,68.0
2018-01-07,73.0
2018-01-14,73.0
