,Spas & Beauty Services
2014-12-28,44.0
2015-01-04,39.0
2015-01-11,41.0
2015-01-18,38.0
2015-01-25,40.0
2015-02-01,42.0
2015-02-08,43.0
2015-02-15,40.0
2015-02-22,44.0
2015-03-01,40.0
2015-03-08,38.0
2015-03-15,47.0
2015-03-22,37.0
2015-03-29,40.0
2015-04-05,43.0
2015-04-12,40.0
2015-04-19,45.0
2015-04-26,43.0
2015-05-03,44.0
2015-05-10,49.0
2015-05-17,42.0
2015-05-24,43.0
2015-05-31,44.0
2015-06-07,47.0
2015-06-14,50.0
2015-06-21,42.0
2015-06-28,47.0
2015-07-05,49.0
2015-07-12,49.0
2015-07-19,50.0
2015-07-26,57.0
2015-08-02,43.0
2015-08-09,52.0
2015-08-16,47.0
2015-08-23,48.0
2015-08-30,48.0
2015-09-06,52.0
2015-09-13,49.0
2015-09-20,46.0
2015-09-27,49.0
2015-10-04,49.0
2015-10-11,50.0
2015-10-18,46.0
2015-10-25,46.0
2015-11-01,47.0
2015-11-08,47.0
2015-11-15,47.0
2015-11-22,42.0
2015-11-29,51.0
2015-12-06,45.0
2015-12-13,54.0
2015-12-20,54.0
2015-12-27,54.0
2016-01-03,49.0
2016-01-10,52.0
2016-01-17,49.0
2016-01-24,51.0
2016-01-31,53.0
2016-02-07,57.0
2016-02-14,58.0
2016-02-21,54.0
2016-02-28,55.0
2016-03-06,53.0
2016-03-13,59.0
2016-03-20,61.0
2016-03-27,65.0
2016-04-03,63.0
2016-04-10,55.0
2016-04-17,57.0
2016-04-24,55.0
2016-05-01,64.0
2016-05-08,59.0
2016-05-15,55.0
2016-05-22,56.0
2016-05-29,67.0
2016-06-05,52.0
2016-06-12,50.0
2016-06-19,52.0
2016-06-26,56.0
2016-07-03,68.0
2016-07-10,63.0
2016-07-17,72.0
2016-07-24,70.0
2016-07-31,83.0
2016-08-07,69.0
2016-08-14,68.0
2016-08-21,72.0
2016-08-28,64.0
2016-09-04,72.0
2016-09-11,64.0
2016-09-18,72.0
2016-09-25,59.0
2016-10-02,60.0
2016-10-09,72.0
2016-10-16,61.0
2016-10-23,64.0
2016-10-30,66.0
2016-11-06,65.0
2016-11-13,69.0
2016-11-20,57.0
2016-11-27,67.0
2016-12-04,66.0
2016-12-11,74.0
2016-12-18,63.0
2016-12-25,79.0
2017-01-01,68.0
2017-01-08,65.0
2017-01-15,65.0
2017-01-22,66.0
2017-01-29,62.0
2017-02-05,71.0
2017-02-12,65.0
2017-02-19,62.0
2017-02-26,67.0
2017-03-05,60.0
2017-03-12,65.0
2017-03-19,71.0
2017-03-26,60.0
2017-04-02,69.0
2017-04-09,68.0
2017-04-16,74.0
2017-04-23,70.0
2017-04-30,68.0
2017-05-07,58.0
2017-05-14,69.0
2017-05-21,65.0
2017-05-28,64.0
2017-06-04,58.0
2017-06-11,54.0
2017-06-18,64.0
2017-06-25,73.0
2017-07-02,70.0
2017-07-09,69.0
2017-07-16,75.0
2017-07-23,72.0
2017-07-30,79.0
2017-08-06,68.0
2017-08-13,71.0
2017-08-20,71.0
2017-08-27,65.0
2017-09-03,66.0
2017-09-10,65.0
2017-09-17,74.0
2017-09-24,68.0
2017-10-01,65.0
2017-10-08,66.0
