,Sports
2014-12-28,19.0
2015-01-04,18.0
2015-01-11,17.0
2015-01-18,18.0
2015-01-25,18.0
2015-02-01,14.0
2015-02-08,24.0
2015-02-15,26.0
2015-02-22,37.0
2015-03-01,33.0
2015-03-08,43.0
2015-03-15,38.0
2015-03-22,28.0
2015-03-29,23.0
2015-04-05,16.0
2015-04-12,15.0
2015-04-19,16.0
2015-04-26,16.0
2015-05-03,17.0
2015-05-10,17.0
2015-05-17,17.0
2015-05-24,15.0
2015-05-31,13.0
2015-06-07,13.0
2015-06-14,18.0
2015-06-21,19.0
2015-06-28,18.0
2015-07-05,22.0
2015-07-12,22.0
2015-07-19,21.0
2015-07-26,21.0
2015-08-02,15.0
2015-08-09,21.0
2015-08-16,20.0
2015-08-23,20.0
2015-08-30,19.0
2015-09-06,13.0
2015-09-13,13.0
2015-09-20,14.0
2015-09-27,14.0
2015-10-04,15.0
2015-10-11,19.0
2015-10-18,19.0
2015-10-25,21.0
2015-11-01,24.0
2015-11-08,20.0
2015-11-15,15.0
2015-11-22,15.0
2015-11-29,14.0
2015-12-06,17.0
2015-12-13,18.0
2015-12-20,17.0
2015-12-27,21.0
2016-01-03,22.0
2016-01-10,19.0
2016-01-17,19.0
2016-01-24,20.0
2016-01-31,18.0
2016-02-07,33.0
2016-02-14,18.0
2016-02-21,23.0
2016-02-28,26.0
2016-03-06,29.0
2016-03-13,39.0
2016-03-20,41.0
2016-03-27,32.0
2016-04-03,24.0
2016-04-10,16.0
2016-04-17,18.0
2016-04-24,17.0
2016-05-01,18.0
2016-05-08,18.0
2016-05-15,21.0
2016-05-22,20.0
2016-05-29,20.0
2016-06-05,21.0
2016-06-12,27.0
2016-06-19,25.0
2016-06-26,30.0
2016-07-03,23.0
2016-07-10,17.0
2016-07-17,17.0
2016-07-24,30.0
2016-07-31,32.0
2016-08-07,32.0
2016-08-14,45.0
2016-08-21,35.0
2016-08-28,31.0
2016-09-04,26.0
2016-09-11,15.0
2016-09-18,16.0
2016-09-25,17.0
2016-10-02,19.0
2016-10-09,20.0
2016-10-16,18.0
2016-10-23,19.0
2016-10-30,23.0
2016-11-06,23.0
2016-11-13,22.0
2016-11-20,25.0
2016-11-27,19.0
2016-12-04,17.0
2016-12-11,16.0
2016-12-18,18.0
2016-12-25,27.0
2017-01-01,24.0
2017-01-08,18.0
2017-01-15,24.0
2017-01-22,28.0
2017-01-29,26.0
2017-02-05,25.0
2017-02-12,23.0
2017-02-19,32.0
2017-02-26,19.0
2017-03-05,36.0
2017-03-12,31.0
2017-03-19,26.0
2017-03-26,33.0
2017-04-02,30.0
2017-04-09,21.0
2017-04-16,21.0
2017-04-23,21.0
2017-04-30,21.0
2017-05-07,20.0
2017-05-14,19.0
2017-05-21,28.0
2017-05-28,32.0
2017-06-04,43.0
2017-06-11,47.0
2017-06-18,25.0
2017-06-25,20.0
2017-07-02,30.0
2017-07-09,27.0
2017-07-16,27.0
2017-07-23,29.0
2017-07-30,24.0
2017-08-06,20.0
2017-08-13,21.0
2017-08-20,28.0
2017-08-27,30.0
2017-09-03,26.0
2017-09-10,16.0
2017-09-17,18.0
2017-09-24,29.0
2017-10-01,31.0
2017-10-08,40.0
2017-10-15,34.0
2017-10-22,31.0
2017-10-29,22.0
2017-11-05,16.0
2017-11-12,26.0
2017-11-19,29.0
2017-11-26,21.0
2017-12-03,31.0
2017-12-10,34.0
2017-12-17,33.0
2017-12-24,22.0
2017-12-31,19.0
2018-01-07,22.0
2018-01-14,36.0
2018-01-21,45.0
2018-01-28,43.0
2018-02-04,41.0
2018-02-11,29.0
2018-02-18,27.0
2018-02-25,19.0
2018-03-04,32.0
2018-03-11,32.0
2018-03-18,22.0
2018-03-25,20.0
2018-04-01,20.0
2018-04-08,24.0
2018-04-15,23.0
2018-04-22,24.0
2018-04-29,26.0
2018-05-06,27.0
2018-05-13,28.0
2018-05-20,25.0
2018-05-27,21.0
2018-06-03,26.0
2018-06-10,35.0
2018-06-17,49.0
2018-06-24,52.0
2018-07-01,49.0
2018-07-08,48.0
2018-07-15,38.0
2018-07-22,28.0
2018-07-29,34.0
2018-08-05,35.0
2018-08-12,33.0
2018-08-19,24.0
2018-08-26,22.0
2018-09-02,21.0
2018-09-09,30.0
2018-09-16,44.0
2018-09-23,36.0
2018-09-30,24.0
2018-10-07,39.0
2018-10-14,39.0
2018-10-21,43.0
2018-10-28,24.0
2018-11-04,36.0
2018-11-11,36.0
2018-11-18,26.0
2018-11-25,24.0
2018-12-02,20.0
2018-12-09,25.0
2018-12-16,33.0
2018-12-23,46.0
2018-12-30,42.0
2019-01-06,33.0
2019-01-13,24.0
2019-01-20,31.0
2019-01-27,29.0
2019-02-03,25.0
2019-02-10,44.0
2019-02-17,43.0
2019-02-24,29.0
2019-03-03,44.0
2019-03-10,44.0
2019-03-17,34.0
2019-03-24,46.0
2019-03-31,31.0
2019-04-07,29.0
2019-04-14,30.0
2019-04-21,27.0
2019-04-28,28.0
2019-05-05,30.0
2019-05-12,27.0
2019-05-19,32.0
2019-05-26,49.0
2019-06-02,93.0
2019-06-09,82.0
2019-06-16,94.0
2019-06-23,97.0
2019-06-30,100.0
2019-07-07,59.0
2019-07-14,36.0
2019-07-21,32.0
2019-07-28,36.0
2019-08-04,24.0
2019-08-11,37.0
2019-08-18,33.0
2019-08-25,27.0
2019-09-01,35.0
2019-09-08,19.0
2019-09-15,19.0
2019-09-22,21.0
2019-09-29,38.0
2019-10-06,33.0
2019-10-13,17.0
2019-10-20,20.0
2019-10-27,34.0
2019-11-03,19.0
2019-11-10,18.0
2019-11-17,15.0
2019-11-24,15.0
2019-12-01,19.0
2019-12-08,30.0
2019-12-15,36.0
2019-12-22,28.0
2019-12-29,18.0
2020-01-05,36.30410958904109
2020-01-12,24.634931506849313
2020-01-19,37.60068493150685
2020-01-26,40.193835616438356
2020-02-02,24.634931506849313
2020-02-09,22.041780821917808
2020-02-16,28.524657534246572
2020-02-23,36.30410958904109
2020-03-01,44.083561643835615
2020-03-08,20.745205479452054
2020-03-15,9.076027397260273
2020-03-22,7.77945205479452
2020-03-29,7.77945205479452
2020-04-05,9.076027397260273
2020-04-12,7.77945205479452
2020-04-19,7.77945205479452
2020-04-26,7.77945205479452
2020-05-03,7.77945205479452
2020-05-10,9.076027397260273
2020-05-17,9.076027397260273
2020-05-24,9.076027397260273
2020-05-31,9.076027397260273
2020-06-07,9.076027397260273
2020-06-14,10.372602739726027
2020-06-21,10.372602739726027
2020-06-28,10.372602739726027
2020-07-05,12.965753424657533
2020-07-12,14.262328767123286
2020-07-19,12.965753424657533
2020-07-26,12.965753424657533
2020-08-02,12.965753424657533
2020-08-09,12.965753424657533
2020-08-16,12.965753424657533
2020-08-23,12.965753424657533
2020-08-30,14.262328767123286
2020-09-06,12.965753424657533
2020-09-13,16.855479452054794
2020-09-20,27.22808219178082
