,Swimming Pools & Spas
2014-12-28,53.0
2015-01-04,48.0
2015-01-11,57.0
2015-01-18,56.0
2015-01-25,41.0
2015-02-01,59.0
2015-02-08,59.0
2015-02-15,63.0
2015-02-22,53.0
2015-03-01,51.0
2015-03-08,56.0
2015-03-15,68.0
2015-03-22,65.0
2015-03-29,75.0
2015-04-05,83.0
2015-04-12,61.0
2015-04-19,60.0
2015-04-26,49.0
2015-05-03,64.0
2015-05-10,55.0
2015-05-17,61.0
2015-05-24,47.0
2015-05-31,49.0
2015-06-07,71.0
2015-06-14,65.0
2015-06-21,66.0
2015-06-28,50.0
2015-07-05,62.0
2015-07-12,61.0
2015-07-19,63.0
2015-07-26,49.0
2015-08-02,60.0
2015-08-09,60.0
2015-08-16,56.0
2015-08-23,66.0
2015-08-30,51.0
2015-09-06,60.0
2015-09-13,60.0
2015-09-20,54.0
2015-09-27,58.0
2015-10-04,53.0
2015-10-11,53.0
2015-10-18,51.0
2015-10-25,48.0
2015-11-01,58.0
2015-11-08,51.0
2015-11-15,55.0
2015-11-22,58.0
2015-11-29,47.0
2015-12-06,51.0
2015-12-13,54.0
2015-12-20,49.0
2015-12-27,49.0
2016-01-03,50.0
2016-01-10,56.0
2016-01-17,40.0
2016-01-24,66.0
2016-01-31,57.0
2016-02-07,62.0
2016-02-14,55.0
2016-02-21,49.0
2016-02-28,59.0
2016-03-06,64.0
2016-03-13,66.0
2016-03-20,66.0
2016-03-27,62.0
2016-04-03,67.0
2016-04-10,58.0
2016-04-17,50.0
2016-04-24,55.0
2016-05-01,69.0
2016-05-08,46.0
2016-05-15,55.0
2016-05-22,52.0
2016-05-29,47.0
2016-06-05,53.0
2016-06-12,49.0
2016-06-19,48.0
2016-06-26,67.0
2016-07-03,56.0
2016-07-10,53.0
2016-07-17,72.0
2016-07-24,58.0
2016-07-31,71.0
2016-08-07,69.0
2016-08-14,71.0
2016-08-21,74.0
2016-08-28,60.0
2016-09-04,66.0
2016-09-11,57.0
2016-09-18,50.0
2016-09-25,53.0
2016-10-02,63.0
2016-10-09,85.0
2016-10-16,76.0
2016-10-23,67.0
2016-10-30,83.0
2016-11-06,60.0
2016-11-13,58.0
2016-11-20,63.0
2016-11-27,54.0
2016-12-04,61.0
2016-12-11,59.0
2016-12-18,79.0
2016-12-25,57.0
2017-01-01,73.0
2017-01-08,68.0
2017-01-15,75.0
2017-01-22,70.0
2017-01-29,64.0
