,Ticket Sales
2014-12-28,25.0
2015-01-04,13.0
2015-01-11,14.0
2015-01-18,16.0
2015-01-25,17.0
2015-02-01,12.0
2015-02-08,12.0
2015-02-15,29.0
2015-02-22,16.0
2015-03-01,0.0
2015-03-08,21.0
2015-03-15,14.0
2015-03-22,0.0
2015-03-29,21.0
2015-04-05,18.0
2015-04-12,22.0
2015-04-19,22.0
2015-04-26,18.0
2015-05-03,15.0
2015-05-10,14.0
2015-05-17,21.0
2015-05-24,12.0
2015-05-31,23.0
2015-06-07,20.0
2015-06-14,25.0
2015-06-21,28.0
2015-06-28,36.0
2015-07-05,15.0
2015-07-12,24.0
2015-07-19,22.0
2015-07-26,16.0
2015-08-02,23.0
2015-08-09,21.0
2015-08-16,24.0
2015-08-23,21.0
2015-08-30,22.0
2015-09-06,13.0
2015-09-13,19.0
2015-09-20,24.0
2015-09-27,15.0
2015-10-04,18.0
2015-10-11,17.0
2015-10-18,22.0
2015-10-25,22.0
2015-11-01,20.0
2015-11-08,23.0
2015-11-15,13.0
2015-11-22,21.0
2015-11-29,18.0
2015-12-06,18.0
2015-12-13,25.0
2015-12-20,26.0
2015-12-27,25.0
2016-01-03,23.0
2016-01-10,19.0
2016-01-17,16.0
2016-01-24,19.0
2016-01-31,14.0
2016-02-07,11.0
2016-02-14,18.0
2016-02-21,20.0
2016-02-28,16.0
2016-03-06,10.0
2016-03-13,14.0
2016-03-20,19.0
2016-03-27,20.0
2016-04-03,24.0
2016-04-10,31.0
2016-04-17,18.0
2016-04-24,13.0
2016-05-01,20.0
2016-05-08,20.0
2016-05-15,12.0
2016-05-22,18.0
2016-05-29,19.0
2016-06-05,17.0
2016-06-12,16.0
2016-06-19,17.0
2016-06-26,20.0
2016-07-03,24.0
2016-07-10,20.0
2016-07-17,35.0
2016-07-24,26.0
2016-07-31,17.0
2016-08-07,24.0
2016-08-14,22.0
2016-08-21,34.0
2016-08-28,28.0
2016-09-04,19.0
2016-09-11,24.0
2016-09-18,20.0
2016-09-25,20.0
2016-10-02,18.0
2016-10-09,14.0
2016-10-16,13.0
2016-10-23,26.0
2016-10-30,17.0
2016-11-06,26.0
2016-11-13,29.0
2016-11-20,22.0
2016-11-27,19.0
2016-12-04,20.0
2016-12-11,25.0
2016-12-18,22.0
2016-12-25,26.0
2017-01-01,19.0
2017-01-08,20.0
2017-01-15,22.0
2017-01-22,26.0
2017-01-29,24.0
2017-02-05,21.0
2017-02-12,17.0
2017-02-19,23.0
2017-02-26,19.0
2017-03-05,17.0
2017-03-12,28.0
2017-03-19,21.0
2017-03-26,28.0
2017-04-02,30.0
2017-04-09,23.0
2017-04-16,36.0
2017-04-23,30.0
2017-04-30,29.0
2017-05-07,23.0
2017-05-14,26.0
2017-05-21,25.0
2017-05-28,18.0
2017-06-04,20.0
2017-06-11,17.0
2017-06-18,20.0
2017-06-25,21.0
2017-07-02,23.0
2017-07-09,25.0
2017-07-16,28.0
2017-07-23,26.0
2017-07-30,26.0
2017-08-06,21.0
2017-08-13,41.0
2017-08-20,26.0
2017-08-27,39.0
2017-09-03,18.0
2017-09-10,14.0
2017-09-17,17.0
2017-09-24,22.0
2017-10-01,17.0
2017-10-08,29.0
2017-10-15,26.0
2017-10-22,27.0
2017-10-29,20.0
2017-11-05,25.0
2017-11-12,19.0
2017-11-19,26.0
2017-11-26,26.0
2017-12-03,24.0
2017-12-10,23.0
2017-12-17,29.0
2017-12-24,30.0
2017-12-31,26.0
2018-01-07,22.0
2018-01-14,15.0
2018-01-21,23.0
2018-01-28,20.0
2018-02-04,20.0
2018-02-11,24.0
2018-02-18,31.0
2018-02-25,27.0
2018-03-04,50.0
2018-03-11,37.0
2018-03-18,23.0
2018-03-25,22.0
2018-04-01,20.0
2018-04-08,24.0
2018-04-15,27.0
2018-04-22,33.0
2018-04-29,29.0
2018-05-06,25.0
2018-05-13,27.0
2018-05-20,21.0
2018-05-27,26.0
2018-06-03,34.0
2018-06-10,37.0
2018-06-17,26.0
2018-06-24,25.0
2018-07-01,22.0
2018-07-08,31.0
2018-07-15,34.0
2018-07-22,28.0
2018-07-29,28.0
2018-08-05,39.0
2018-08-12,39.0
2018-08-19,28.0
2018-08-26,26.0
2018-09-02,25.0
2018-09-09,28.0
2018-09-16,37.0
2018-09-23,32.0
2018-09-30,28.0
2018-10-07,33.0
2018-10-14,35.0
2018-10-21,28.0
2018-10-28,44.0
2018-11-04,66.0
2018-11-11,36.0
2018-11-18,47.0
2018-11-25,88.0
2018-12-02,56.0
2018-12-09,39.0
2018-12-16,48.0
2018-12-23,51.0
2018-12-30,54.0
2019-01-06,68.0
2019-01-13,43.0
2019-01-20,25.0
2019-01-27,33.0
2019-02-03,30.0
2019-02-10,38.0
2019-02-17,35.0
2019-02-24,29.0
2019-03-03,31.0
2019-03-10,39.0
2019-03-17,38.0
2019-03-24,35.0
2019-03-31,39.0
2019-04-07,34.0
2019-04-14,44.0
2019-04-21,27.0
2019-04-28,24.0
2019-05-05,20.0
2019-05-12,21.0
2019-05-19,20.0
2019-05-26,31.0
2019-06-02,29.0
2019-06-09,29.0
2019-06-16,20.0
2019-06-23,26.0
2019-06-30,32.0
2019-07-07,32.0
2019-07-14,47.0
2019-07-21,89.0
