,Timeshares & Vacation Properties
2014-12-28,27.0
2015-01-04,23.0
2015-01-11,23.0
2015-01-18,25.0
2015-01-25,21.0
2015-02-01,23.0
2015-02-08,22.0
2015-02-15,24.0
2015-02-22,23.0
2015-03-01,22.0
2015-03-08,26.0
2015-03-15,22.0
2015-03-22,23.0
2015-03-29,24.0
2015-04-05,24.0
2015-04-12,24.0
2015-04-19,24.0
2015-04-26,25.0
2015-05-03,26.0
2015-05-10,25.0
2015-05-17,27.0
2015-05-24,25.0
2015-05-31,25.0
2015-06-07,26.0
2015-06-14,25.0
2015-06-21,28.0
2015-06-28,33.0
2015-07-05,34.0
2015-07-12,34.0
2015-07-19,34.0
2015-07-26,32.0
2015-08-02,33.0
2015-08-09,32.0
2015-08-16,32.0
2015-08-23,30.0
2015-08-30,33.0
2015-09-06,30.0
2015-09-13,28.0
2015-09-20,31.0
2015-09-27,31.0
2015-10-04,31.0
2015-10-11,32.0
2015-10-18,30.0
2015-10-25,31.0
2015-11-01,29.0
2015-11-08,24.0
2015-11-15,30.0
2015-11-22,29.0
2015-11-29,30.0
2015-12-06,30.0
2015-12-13,33.0
2015-12-20,32.0
2015-12-27,34.0
2016-01-03,29.0
2016-01-10,26.0
2016-01-17,30.0
2016-01-24,30.0
2016-01-31,29.0
2016-02-07,29.0
2016-02-14,30.0
2016-02-21,30.0
2016-02-28,28.0
2016-03-06,31.0
2016-03-13,30.0
2016-03-20,29.0
2016-03-27,30.0
2016-04-03,30.0
2016-04-10,31.0
2016-04-17,31.0
2016-04-24,32.0
2016-05-01,34.0
2016-05-08,36.0
2016-05-15,36.0
2016-05-22,38.0
2016-05-29,37.0
2016-06-05,37.0
2016-06-12,48.0
2016-06-19,40.0
2016-06-26,39.0
2016-07-03,39.0
2016-07-10,37.0
2016-07-17,41.0
2016-07-24,40.0
2016-07-31,38.0
2016-08-07,40.0
2016-08-14,37.0
2016-08-21,41.0
2016-08-28,41.0
2016-09-04,42.0
2016-09-11,40.0
2016-09-18,40.0
2016-09-25,38.0
2016-10-02,40.0
2016-10-09,40.0
2016-10-16,39.0
2016-10-23,35.0
2016-10-30,40.0
2016-11-06,38.0
2016-11-13,36.0
2016-11-20,41.0
2016-11-27,40.0
2016-12-04,41.0
2016-12-11,42.0
2016-12-18,47.0
2016-12-25,48.0
2017-01-01,44.0
2017-01-08,42.0
2017-01-15,43.0
2017-01-22,41.0
2017-01-29,40.0
2017-02-05,44.0
2017-02-12,43.0
2017-02-19,45.0
2017-02-26,43.0
2017-03-05,42.0
2017-03-12,41.0
2017-03-19,44.0
2017-03-26,44.0
2017-04-02,47.0
2017-04-09,46.0
2017-04-16,48.0
2017-04-23,48.0
2017-04-30,48.0
2017-05-07,48.0
2017-05-14,52.0
2017-05-21,55.0
2017-05-28,51.0
2017-06-04,54.0
2017-06-11,58.0
2017-06-18,57.0
2017-06-25,56.0
2017-07-02,56.0
2017-07-09,55.0
2017-07-16,56.0
2017-07-23,54.0
2017-07-30,53.0
2017-08-06,54.0
2017-08-13,53.0
2017-08-20,51.0
2017-08-27,47.0
2017-09-03,50.0
2017-09-10,51.0
2017-09-17,52.0
2017-09-24,49.0
2017-10-01,51.0
2017-10-08,50.0
2017-10-15,50.0
2017-10-22,58.0
2017-10-29,56.0
2017-11-05,53.0
2017-11-12,56.0
2017-11-19,52.0
2017-11-26,55.0
2017-12-03,57.0
2017-12-10,73.0
2017-12-17,66.0
2017-12-24,67.0
2017-12-31,61.0
2018-01-07,57.0
2018-01-14,59.0
2018-01-21,64.0
2018-01-28,57.0
2018-02-04,57.0
2018-02-11,61.0
2018-02-18,58.0
2018-02-25,54.0
2018-03-04,54.0
2018-03-11,57.0
2018-03-18,60.0
2018-03-25,63.0
2018-04-01,59.0
2018-04-08,57.0
2018-04-15,62.0
2018-04-22,63.0
2018-04-29,67.0
2018-05-06,64.0
2018-05-13,71.0
