,Tobacco Products
2014-12-28,46.0
2015-01-04,28.0
2015-01-11,30.0
2015-01-18,42.0
2015-01-25,47.0
2015-02-01,41.0
2015-02-08,43.0
2015-02-15,37.0
2015-02-22,45.0
2015-03-01,43.0
2015-03-08,38.0
2015-03-15,37.0
2015-03-22,38.0
2015-03-29,27.0
2015-04-05,41.0
2015-04-12,40.0
2015-04-19,44.0
2015-04-26,46.0
2015-05-03,50.0
2015-05-10,42.0
2015-05-17,39.0
2015-05-24,35.0
2015-05-31,48.0
2015-06-07,60.0
2015-06-14,36.0
2015-06-21,59.0
2015-06-28,40.0
2015-07-05,63.0
2015-07-12,44.0
2015-07-19,51.0
2015-07-26,37.0
2015-08-02,53.0
2015-08-09,56.0
2015-08-16,39.0
2015-08-23,50.0
2015-08-30,47.0
2015-09-06,54.0
2015-09-13,57.0
2015-09-20,53.0
2015-09-27,49.0
2015-10-04,69.0
2015-10-11,35.0
2015-10-18,55.0
2015-10-25,51.0
2015-11-01,46.0
2015-11-08,36.0
2015-11-15,45.0
2015-11-22,68.0
2015-11-29,52.0
2015-12-06,56.0
2015-12-13,49.0
2015-12-20,51.0
2015-12-27,62.0
2016-01-03,43.0
2016-01-10,49.0
2016-01-17,51.0
2016-01-24,46.0
2016-01-31,50.0
2016-02-07,48.0
2016-02-14,46.0
2016-02-21,42.0
2016-02-28,48.0
2016-03-06,42.0
2016-03-13,56.0
2016-03-20,40.0
2016-03-27,55.0
2016-04-03,51.0
2016-04-10,44.0
2016-04-17,40.0
2016-04-24,57.0
2016-05-01,35.0
2016-05-08,45.0
2016-05-15,43.0
2016-05-22,49.0
2016-05-29,61.0
2016-06-05,73.0
2016-06-12,47.0
2016-06-19,70.0
2016-06-26,37.0
2016-07-03,71.0
2016-07-10,62.0
2016-07-17,61.0
2016-07-24,74.0
2016-07-31,77.0
2016-08-07,74.0
2016-08-14,71.0
2016-08-21,77.0
2016-08-28,76.0
2016-09-04,69.0
2016-09-11,76.0
2016-09-18,78.0
2016-09-25,92.0
2016-10-02,93.0
2016-10-09,65.0
2016-10-16,49.0
2016-10-23,73.0
2016-10-30,95.0
2016-11-06,77.0
2016-11-13,70.0
2016-11-20,87.0
2016-11-27,62.0
2016-12-04,84.0
2016-12-11,71.0
2016-12-18,72.0
2016-12-25,77.0
2017-01-01,70.0
2017-01-08,47.0
2017-01-15,81.0
2017-01-22,64.0
2017-01-29,66.0
2017-02-05,51.0
2017-02-12,72.0
2017-02-19,61.0
2017-02-26,71.0
2017-03-05,69.0
2017-03-12,77.0
2017-03-19,65.0
2017-03-26,59.0
2017-04-02,72.0
2017-04-09,71.0
2017-04-16,63.0
2017-04-23,61.0
2017-04-30,61.0
2017-05-07,48.0
2017-05-14,55.0
2017-05-21,66.0
2017-05-28,68.0
2017-06-04,55.0
2017-06-11,50.0
2017-06-18,65.0
2017-06-25,67.0
2017-07-02,64.0
2017-07-09,74.0
2017-07-16,64.0
2017-07-23,67.0
2017-07-30,64.0
2017-08-06,74.0
2017-08-13,63.0
2017-08-20,70.0
2017-08-27,60.0
2017-09-03,72.0
2017-09-10,71.0
2017-09-17,61.0
2017-09-24,76.0
2017-10-01,50.0
2017-10-08,64.0
2017-10-15,80.0
2017-10-22,71.0
2017-10-29,74.0
2017-11-05,70.0
2017-11-12,83.0
2017-11-19,58.0
2017-11-26,61.0
2017-12-03,63.0
2017-12-10,65.0
2017-12-17,79.0
2017-12-24,55.0
2017-12-31,62.0
2018-01-07,86.0
2018-01-14,64.0
2018-01-21,64.0
2018-01-28,71.0
2018-02-04,67.0
2018-02-11,63.0
2018-02-18,47.0
2018-02-25,57.0
2018-03-04,54.0
2018-03-11,60.0
2018-03-18,65.0
2018-03-25,70.0
2018-04-01,61.0
2018-04-08,70.0
2018-04-15,56.0
2018-04-22,70.0
2018-04-29,69.0
2018-05-06,58.0
2018-05-13,71.0
2018-05-20,49.0
2018-05-27,62.0
2018-06-03,58.0
2018-06-10,53.0
2018-06-17,65.0
2018-06-24,75.0
2018-07-01,53.0
2018-07-08,75.0
2018-07-15,82.0
2018-07-22,62.0
2018-07-29,73.0
2018-08-05,90.0
2018-08-12,69.0
2018-08-19,61.0
2018-08-26,61.0
2018-09-02,65.0
2018-09-09,57.0
2018-09-16,66.0
2018-09-23,61.0
2018-09-30,84.0
2018-10-07,75.0
2018-10-14,69.0
2018-10-21,70.0
2018-10-28,68.0
2018-11-04,73.0
2018-11-11,59.0
2018-11-18,75.0
2018-11-25,47.0
2018-12-02,66.0
2018-12-09,66.0
2018-12-16,63.0
2018-12-23,78.0
2018-12-30,79.0
2019-01-06,75.0
2019-01-13,71.0
2019-01-20,74.0
2019-01-27,77.0
2019-02-03,86.0
2019-02-10,87.0
2019-02-17,77.0
2019-02-24,62.0
2019-03-03,91.0
2019-03-10,94.0
2019-03-17,87.0
2019-03-24,89.0
2019-03-31,63.0
2019-04-07,68.0
2019-04-14,71.0
2019-04-21,37.0
2019-04-28,59.0
2019-05-05,67.0
2019-05-12,46.0
2019-05-19,61.0
2019-05-26,49.0
2019-06-02,72.0
