,Travel
2014-12-28,47.0
2015-01-04,38.0
2015-01-11,39.0
2015-01-18,38.0
2015-01-25,37.0
2015-02-01,38.0
2015-02-08,41.0
2015-02-15,38.0
2015-02-22,37.0
2015-03-01,36.0
2015-03-08,37.0
2015-03-15,39.0
2015-03-22,40.0
2015-03-29,42.0
2015-04-05,43.0
2015-04-12,41.0
2015-04-19,41.0
2015-04-26,44.0
2015-05-03,44.0
2015-05-10,47.0
2015-05-17,48.0
2015-05-24,45.0
2015-05-31,50.0
2015-06-07,47.0
2015-06-14,45.0
2015-06-21,48.0
2015-06-28,52.0
2015-07-05,53.0
2015-07-12,54.0
2015-07-19,52.0
2015-07-26,51.0
2015-08-02,49.0
2015-08-09,51.0
2015-08-16,48.0
2015-08-23,49.0
2015-08-30,47.0
2015-09-06,47.0
2015-09-13,46.0
2015-09-20,50.0
2015-09-27,50.0
2015-10-04,47.0
2015-10-11,48.0
2015-10-18,50.0
2015-10-25,46.0
2015-11-01,47.0
2015-11-08,46.0
2015-11-15,47.0
2015-11-22,46.0
2015-11-29,48.0
2015-12-06,49.0
2015-12-13,48.0
2015-12-20,56.0
2015-12-27,54.0
2016-01-03,46.0
2016-01-10,45.0
2016-01-17,45.0
2016-01-24,44.0
2016-01-31,43.0
2016-02-07,44.0
2016-02-14,51.0
2016-02-21,45.0
2016-02-28,39.0
2016-03-06,45.0
2016-03-13,46.0
2016-03-20,46.0
2016-03-27,45.0
2016-04-03,47.0
2016-04-10,47.0
2016-04-17,49.0
2016-04-24,49.0
2016-05-01,52.0
2016-05-08,55.0
2016-05-15,55.0
2016-05-22,57.0
2016-05-29,53.0
2016-06-05,51.0
2016-06-12,51.0
2016-06-19,53.0
2016-06-26,53.0
2016-07-03,55.0
2016-07-10,53.0
2016-07-17,54.0
2016-07-24,52.0
2016-07-31,52.0
2016-08-07,56.0
2016-08-14,53.0
2016-08-21,50.0
2016-08-28,53.0
2016-09-04,53.0
2016-09-11,49.0
2016-09-18,51.0
2016-09-25,50.0
2016-10-02,58.0
2016-10-09,53.0
2016-10-16,52.0
2016-10-23,55.0
2016-10-30,56.0
2016-11-06,51.0
2016-11-13,50.0
2016-11-20,54.0
2016-11-27,57.0
2016-12-04,58.0
2016-12-11,64.0
2016-12-18,63.0
2016-12-25,70.0
2017-01-01,67.0
2017-01-08,59.0
2017-01-15,58.0
2017-01-22,59.0
2017-01-29,58.0
2017-02-05,61.0
2017-02-12,60.0
2017-02-19,59.0
2017-02-26,55.0
2017-03-05,55.0
2017-03-12,53.0
2017-03-19,56.0
2017-03-26,58.0
2017-04-02,59.0
2017-04-09,63.0
2017-04-16,64.0
2017-04-23,66.0
2017-04-30,65.0
2017-05-07,69.0
2017-05-14,71.0
2017-05-21,76.0
2017-05-28,72.0
2017-06-04,71.0
2017-06-11,75.0
2017-06-18,76.0
2017-06-25,71.0
2017-07-02,70.0
2017-07-09,68.0
2017-07-16,68.0
2017-07-23,65.0
2017-07-30,65.0
2017-08-06,71.0
2017-08-13,70.0
2017-08-20,67.0
2017-08-27,61.0
2017-09-03,61.0
2017-09-10,63.0
2017-09-17,66.0
2017-09-24,68.0
2017-10-01,67.0
2017-10-08,71.0
2017-10-15,67.0
2017-10-22,72.0
2017-10-29,73.0
2017-11-05,70.0
2017-11-12,70.0
2017-11-19,66.0
2017-11-26,71.0
2017-12-03,67.0
2017-12-10,70.0
2017-12-17,81.0
2017-12-24,87.0
2017-12-31,77.0
2018-01-07,75.0
2018-01-14,71.0
2018-01-21,70.0
2018-01-28,68.0
2018-02-04,69.0
2018-02-11,69.0
2018-02-18,67.0
2018-02-25,67.0
2018-03-04,69.0
2018-03-11,70.0
2018-03-18,69.0
2018-03-25,76.0
2018-04-01,70.0
2018-04-08,77.0
2018-04-15,75.0
2018-04-22,81.0
2018-04-29,83.0
2018-05-06,86.0
2018-05-13,80.0
2018-05-20,89.0
2018-05-27,83.0
2018-06-03,85.0
2018-06-10,89.0
