,Trucks & SUVs
2014-12-28,55.0
2015-01-04,50.0
2015-01-11,52.0
2015-01-18,54.0
2015-01-25,51.0
2015-02-01,52.0
2015-02-08,49.0
2015-02-15,52.0
2015-02-22,47.0
2015-03-01,47.0
2015-03-08,48.0
2015-03-15,52.0
2015-03-22,48.0
2015-03-29,50.0
2015-04-05,49.0
2015-04-12,48.0
2015-04-19,47.0
2015-04-26,46.0
2015-05-03,47.0
2015-05-10,48.0
2015-05-17,47.0
2015-05-24,48.0
2015-05-31,53.0
2015-06-07,48.0
2015-06-14,47.0
2015-06-21,53.0
2015-06-28,59.0
2015-07-05,56.0
2015-07-12,60.0
2015-07-19,63.0
2015-07-26,62.0
2015-08-02,61.0
2015-08-09,56.0
2015-08-16,59.0
2015-08-23,56.0
2015-08-30,57.0
2015-09-06,58.0
2015-09-13,54.0
2015-09-20,57.0
2015-09-27,55.0
2015-10-04,54.0
2015-10-11,56.0
2015-10-18,51.0
2015-10-25,54.0
2015-11-01,53.0
2015-11-08,46.0
2015-11-15,51.0
2015-11-22,59.0
2015-11-29,59.0
2015-12-06,58.0
2015-12-13,60.0
2015-12-20,59.0
2015-12-27,59.0
2016-01-03,52.0
2016-01-10,48.0
2016-01-17,48.0
2016-01-24,49.0
2016-01-31,54.0
2016-02-07,52.0
2016-02-14,50.0
2016-02-21,50.0
2016-02-28,44.0
2016-03-06,48.0
2016-03-13,47.0
2016-03-20,47.0
2016-03-27,53.0
2016-04-03,71.0
2016-04-10,65.0
2016-04-17,56.0
2016-04-24,55.0
2016-05-01,60.0
2016-05-08,56.0
2016-05-15,56.0
2016-05-22,60.0
2016-05-29,61.0
2016-06-05,58.0
2016-06-12,56.0
2016-06-19,54.0
2016-06-26,58.0
2016-07-03,57.0
2016-07-10,58.0
2016-07-17,60.0
2016-07-24,60.0
2016-07-31,59.0
2016-08-07,58.0
2016-08-14,58.0
2016-08-21,61.0
2016-08-28,60.0
2016-09-04,58.0
2016-09-11,60.0
2016-09-18,59.0
2016-09-25,57.0
2016-10-02,62.0
2016-10-09,60.0
2016-10-16,62.0
2016-10-23,64.0
2016-10-30,58.0
2016-11-06,57.0
2016-11-13,52.0
2016-11-20,54.0
2016-11-27,53.0
2016-12-04,55.0
2016-12-11,57.0
2016-12-18,62.0
2016-12-25,66.0
2017-01-01,76.0
2017-01-08,68.0
2017-01-15,74.0
2017-01-22,63.0
2017-01-29,58.0
2017-02-05,58.0
2017-02-12,60.0
2017-02-19,60.0
2017-02-26,57.0
2017-03-05,60.0
2017-03-12,57.0
2017-03-19,63.0
2017-03-26,72.0
2017-04-02,68.0
2017-04-09,67.0
2017-04-16,63.0
2017-04-23,59.0
2017-04-30,60.0
2017-05-07,60.0
2017-05-14,61.0
2017-05-21,66.0
2017-05-28,63.0
2017-06-04,58.0
2017-06-11,62.0
2017-06-18,68.0
2017-06-25,68.0
2017-07-02,73.0
2017-07-09,76.0
2017-07-16,78.0
2017-07-23,75.0
2017-07-30,74.0
2017-08-06,69.0
2017-08-13,63.0
2017-08-20,65.0
2017-08-27,62.0
2017-09-03,68.0
2017-09-10,69.0
2017-09-17,68.0
2017-09-24,64.0
2017-10-01,69.0
2017-10-08,83.0
2017-10-15,63.0
2017-10-22,69.0
2017-10-29,68.0
2017-11-05,76.0
2017-11-12,79.0
2017-11-19,72.0
2017-11-26,71.0
2017-12-03,74.0
2017-12-10,73.0
2017-12-17,75.0
2017-12-24,82.0
2017-12-31,70.0
2018-01-07,72.0
2018-01-14,75.0
2018-01-21,70.0
2018-01-28,73.0
2018-02-04,80.0
2018-02-11,75.0
2018-02-18,70.0
2018-02-25,63.0
2018-03-04,80.0
2018-03-11,80.0
2018-03-18,73.0
2018-03-25,79.0
2018-04-01,72.0
2018-04-08,71.0
2018-04-15,74.0
2018-04-22,75.0
2018-04-29,77.0
2018-05-06,74.0
2018-05-13,76.0
2018-05-20,77.0
2018-05-27,88.0
2018-06-03,79.0
2018-06-10,77.0
2018-06-17,74.0
2018-06-24,77.0
2018-07-01,79.0
2018-07-08,84.0
2018-07-15,79.0
2018-07-22,79.0
2018-07-29,84.0
2018-08-05,82.0
2018-08-12,80.0
2018-08-19,84.0
2018-08-26,84.0
2018-09-02,100.0
2018-09-09,88.0
2018-09-16,86.0
2018-09-23,83.0
2018-09-30,82.0
2018-10-07,95.0
2018-10-14,89.0
2018-10-21,92.0
2018-10-28,92.0
2018-11-04,72.0
2018-11-11,79.0
2018-11-18,81.0
2018-11-25,82.0
2018-12-02,84.0
2018-12-09,85.0
2018-12-16,87.0
2018-12-23,95.0
2018-12-30,92.0
2019-01-06,85.0
2019-01-13,81.0
2019-01-20,86.0
2019-01-27,86.0
2019-02-03,82.0
2019-02-10,83.0
2019-02-17,89.0
2019-02-24,84.0
2019-03-03,85.0
2019-03-10,84.0
2019-03-17,81.0
2019-03-24,87.0
2019-03-31,89.0
2019-04-07,83.0
2019-04-14,81.0
2019-04-21,79.0
2019-04-28,77.0
2019-05-05,84.0
2019-05-12,86.0
2019-05-19,85.0
2019-05-26,91.0
2019-06-02,87.0
2019-06-09,84.0
2019-06-16,85.0
2019-06-23,83.0
2019-06-30,78.0
2019-07-07,82.0
2019-07-14,87.0
2019-07-21,85.0
2019-07-28,87.0
2019-08-04,77.0
2019-08-11,77.0
2019-08-18,81.0
2019-08-25,78.0
2019-09-01,71.0
2019-09-08,80.0
2019-09-15,80.0
2019-09-22,81.0
2019-09-29,79.0
2019-10-06,78.0
2019-10-13,80.0
2019-10-20,73.0
2019-10-27,68.0
2019-11-03,76.0
2019-11-10,76.0
2019-11-17,80.0
2019-11-24,77.0
2019-12-01,77.0
2019-12-08,74.0
2019-12-15,77.0
2019-12-22,81.0
2019-12-29,84.0
2020-01-05,78.30653556969347
2020-01-12,73.41237709658762
2020-01-19,83.20069404279931
2020-01-26,78.30653556969347
2020-02-02,80.75361480624639
2020-02-09,78.30653556969347
2020-02-16,78.30653556969347
2020-02-23,75.85945633314054
2020-03-01,70.96529786003471
2020-03-08,63.62406015037594
2020-03-15,66.07113938692886
2020-03-22,44.04742625795257
2020-03-29,51.388663967611336
2020-04-05,48.94158473105841
2020-04-12,46.494505494505496
2020-04-19,46.494505494505496
2020-04-26,56.282822440717176
2020-05-03,58.7299016772701
2020-05-10,68.51821862348179
2020-05-17,68.51821862348179
2020-05-24,70.96529786003471
2020-05-31,80.75361480624639
2020-06-07,88.09485251590515
2020-06-14,78.30653556969347
2020-06-21,83.20069404279931
2020-06-28,83.20069404279931
2020-07-05,90.54193175245807
2020-07-12,90.54193175245807
2020-07-19,92.98901098901099
2020-07-26,88.09485251590515
2020-08-02,97.88316946211683
2020-08-09,97.88316946211683
2020-08-16,90.54193175245807
2020-08-23,88.09485251590515
2020-08-30,90.54193175245807
2020-09-06,88.09485251590515
2020-09-13,85.64777327935222
2020-09-20,85.64777327935222
2020-09-27,85.64777327935222
2020-10-04,90.54193175245807
2020-10-11,97.88316946211683
2020-10-18,90.54193175245807
2020-10-25,88.09485251590515
2020-11-01,80.75361480624639
2020-11-08,78.30653556969347
2020-11-15,83.20069404279931
2020-11-22,85.64777327935222
2020-11-29,83.20069404279931
2020-12-06,90.54193175245807
2020-12-13,88.09485251590515
2020-12-20,95.43609022556392
2020-12-27,92.98901098901099
2021-01-03,100.33024869866975
2021-01-10,107.67148640832852
2021-01-17,102.77732793522267
2021-01-24,107.67148640832852
2021-01-31,110.11856564488144
2021-02-07,100.33024869866975
2021-02-14,95.43609022556392
2021-02-21,102.77732793522267
2021-02-28,97.88316946211683
2021-03-07,90.54193175245807
2021-03-14,95.43609022556392
2021-03-21,90.54193175245807
2021-03-28,88.09485251590515
2021-04-04,88.09485251590515
2021-04-11,85.64777327935222
2021-04-18,83.20069404279931
2021-04-25,75.85945633314054
2021-05-02,70.96529786003471
2021-05-09,75.85945633314054
2021-05-16,73.41237709658762
2021-05-23,78.30653556969347
2021-05-30,85.64777327935222
2021-06-06,97.88316946211683
2021-06-13,92.98901098901099
2021-06-20,95.43609022556392
2021-06-27,97.88316946211683
2021-07-04,102.77732793522267
2021-07-11,102.77732793522267
2021-07-18,107.67148640832852
2021-07-25,105.2244071717756
2021-08-01,102.77732793522267
2021-08-08,110.11856564488144
2021-08-15,102.77732793522267
2021-08-22,97.88316946211683
2021-08-29,92.98901098901099
2021-09-05,90.54193175245807
2021-09-12,95.43609022556392
2021-09-19,90.54193175245807
2021-09-26,100.33024869866975
2021-10-03,102.77732793522267
2021-10-10,97.88316946211683
2021-10-17,97.88316946211683
2021-10-24,90.54193175245807
2021-10-31,73.41237709658762
2021-11-07,83.20069404279931
2021-11-14,83.20069404279931
2021-11-21,85.64777327935222
2021-11-28,83.20069404279931
2021-12-05,85.64777327935222
2021-12-12,83.20069404279931
2021-12-19,90.54193175245807
2021-12-26,92.98901098901099
2022-01-02,105.2244071717756
2022-01-09,102.77732793522267
2022-01-16,112.56564488143435
2022-01-23,132.14227877385773
2022-01-30,127.24812030075188
2022-02-06,115.01272411798728
2022-02-13,124.80104106419896
2022-02-20,122.35396182764605
2022-02-27,117.4598033545402
2022-03-06,124.80104106419896
2022-03-13,110.11856564488144
2022-03-20,144.37767495662231
2022-03-27,239.81376518218624
2022-04-03,244.7079236552921
2022-04-10,244.7079236552921
2022-04-17,237.36668594563332
2022-04-24,227.57836899942163
2022-05-01,234.9196067090804
2022-05-08,220.23713128976289
2022-05-15,220.23713128976289
2022-05-22,185.97802197802199
2022-05-29,134.58935801041065
2022-06-05,119.90688259109312
2022-06-12,124.80104106419896
2022-06-19,122.35396182764605
2022-06-26,124.80104106419896
2022-07-03,127.24812030075188
2022-07-10,132.14227877385773
2022-07-17,122.35396182764605
2022-07-24,122.35396182764605
2022-07-31,127.24812030075188
2022-08-07,119.90688259109312
2022-08-14,124.80104106419896
2022-08-21,129.6951995373048
2022-08-28,129.6951995373048
2022-09-04,122.35396182764605
2022-09-11,129.6951995373048
2022-09-18,127.24812030075188
2022-09-25,134.58935801041065
2022-10-02,115.01272411798728
2022-10-09,124.80104106419896
2022-10-16,129.6951995373048
2022-10-23,110.11856564488144
2022-10-30,122.35396182764605
2022-11-06,110.11856564488144
2022-11-13,112.56564488143435
2022-11-20,112.56564488143435
2022-11-27,115.01272411798728
2022-12-04,115.01272411798728
2022-12-11,119.90688259109312
2022-12-18,119.90688259109312
2022-12-25,124.80104106419896
2023-01-01,124.80104106419896
2023-01-08,127.24812030075188
2023-01-15,132.14227877385773
2023-01-22,127.24812030075188
2023-01-29,124.80104106419896
2023-02-05,119.90688259109312
2023-02-12,117.4598033545402
2023-02-19,124.80104106419896
2023-02-26,122.35396182764605
2023-03-05,119.90688259109312
2023-03-12,122.35396182764605
2023-03-19,127.24812030075188
2023-03-26,122.35396182764605
2023-04-02,134.58935801041065
2023-04-09,129.6951995373048
2023-04-16,127.24812030075188
2023-04-23,129.6951995373048
2023-04-30,129.6951995373048
2023-05-07,124.80104106419896
2023-05-14,132.14227877385773
2023-05-21,137.03643724696357
2023-05-28,132.14227877385773
2023-06-04,132.14227877385773
2023-06-11,127.24812030075188
2023-06-18,134.58935801041065
2023-06-25,129.6951995373048
2023-07-02,134.58935801041065
2023-07-09,129.6951995373048
2023-07-16,134.58935801041065
2023-07-23,132.14227877385773
2023-07-30,127.24812030075188
2023-08-06,134.58935801041065
2023-08-13,124.80104106419896
2023-08-20,127.24812030075188
2023-08-27,119.90688259109312
2023-09-03,122.35396182764605
2023-09-10,124.80104106419896
2023-09-17,129.6951995373048
2023-09-24,122.35396182764605
2023-10-01,122.35396182764605
2023-10-08,129.6951995373048
2023-10-15,122.35396182764605
2023-10-22,115.01272411798728
2023-10-29,117.4598033545402
2023-11-05,112.56564488143435
2023-11-12,110.11856564488144
2023-11-19,137.03643724696357
2023-11-26,144.37767495662231
2023-12-03,119.90688259109312
2023-12-10,124.80104106419896
2023-12-17,127.24812030075188
2023-12-24,134.58935801041065
2023-12-31,129.6951995373048
2024-01-07,129.72831578381158
2024-01-14,120.04709818800475
2024-01-21,112.30212411135928
2024-01-28,121.98334170716612
2024-02-04,123.91958522632748
2024-02-11,120.04709818800475
2024-02-18,121.98334170716612
2024-02-25,123.91958522632748
2024-03-03,118.11085466884339
2024-03-10,120.04709818800475
2024-03-17,127.79207226465022
2024-03-24,129.72831578381158
2024-03-31,116.17461114968202
2024-04-07,120.04709818800475
2024-04-14,114.23836763052066
2024-04-21,123.91958522632748
2024-04-28,120.04709818800475
2024-05-05,120.04709818800475
2024-05-12,125.85582874548885
2024-05-19,118.11085466884339
2024-05-26,120.04709818800475
2024-06-02,108.42963707303655
2024-06-09,116.17461114968202
2024-06-16,120.04709818800475
2024-06-23,116.17461114968202
2024-06-30,110.36588059219791
2024-07-07,120.04709818800475
2024-07-14,127.79207226465022
2024-07-21,127.79207226465022
2024-07-28,131.66455930297295
2024-08-04,135.53704634129568
2024-08-11,129.72831578381158
2024-08-18,123.91958522632748
2024-08-25,121.98334170716612
2024-09-01,131.66455930297295
2024-09-08,139.4095333796184
2024-09-15,129.72831578381158
2024-09-22,129.72831578381158
2024-09-29,114.23836763052066
2024-10-06,193.6243519161367
2024-10-13,137.47328986045704
2024-10-20,129.72831578381158
2024-10-27,112.30212411135928
2024-11-03,121.98334170716612
2024-11-10,118.11085466884339
2024-11-17,116.17461114968202
2024-11-24,108.42963707303655
2024-12-01,110.36588059219791
2024-12-08,106.49339355387518
2024-12-15,106.49339355387518
2024-12-22,120.04709818800475
2024-12-29,116.17461114968202
2025-01-05,110.36588059219791
2025-01-12,112.30212411135928
2025-01-19,114.23836763052066
2025-01-26,110.36588059219791
2025-02-02,108.42963707303655
2025-02-09,108.42963707303655
2025-02-16,110.36588059219791
2025-02-23,110.36588059219791
2025-03-02,110.36588059219791
2025-03-09,104.55715003471381
2025-03-16,108.42963707303655
2025-03-23,106.49339355387518
2025-03-30,110.36588059219791
2025-04-06,104.55715003471381
2025-04-13,110.36588059219791
2025-04-20,106.49339355387518
2025-04-27,108.42963707303655
2025-05-04,96.81217595806835
2025-05-11,102.62090651555245
2025-05-18,114.23836763052066
2025-05-25,118.11085466884339
2025-06-01,120.04709818800475
2025-06-08,120.04709818800475
2025-06-15,118.11085466884339
2025-06-22,112.30212411135928
2025-06-29,114.23836763052066
2025-07-06,112.30212411135928
2025-07-13,116.17461114968202
2025-07-20,106.49339355387518
2025-07-27,108.42963707303655
2025-08-03,108.42963707303655
2025-08-10,100.68466299639108
2025-08-17,108.42963707303655
2025-08-24,108.42963707303655
2025-08-31,102.62090651555245
2025-09-07,106.49339355387518
2025-09-14,104.55715003471381
2025-09-21,108.42963707303655
2025-09-28,108.42963707303655
2025-10-05,123.91958522632748
2025-10-12,112.30212411135928
2025-10-19,96.81217595806835
2025-10-26,104.55715003471381
2025-11-02,112.30212411135928
2025-11-09,110.36588059219791
2025-11-16,110.36588059219791
2025-11-23,127.79207226465022
2025-11-30,116.17461114968202
2025-12-07,110.36588059219791
2025-12-14,112.30212411135928
2025-12-21,127.79207226465022
2025-12-28,112.30212411135928
2026-01-04,110.36588059219791
