,Vehicle Brands
2014-12-28,12.0
2015-01-04,11.0
2015-01-11,13.0
2015-01-18,15.0
2015-01-25,20.0
2015-02-01,14.0
2015-02-08,13.0
2015-02-15,13.0
2015-02-22,14.0
2015-03-01,14.0
2015-03-08,13.0
2015-03-15,15.0
2015-03-22,16.0
2015-03-29,13.0
2015-04-05,15.0
2015-04-12,15.0
2015-04-19,16.0
2015-04-26,15.0
2015-05-03,15.0
2015-05-10,15.0
2015-05-17,15.0
2015-05-24,15.0
2015-05-31,14.0
2015-06-07,13.0
2015-06-14,13.0
2015-06-21,14.0
2015-06-28,14.0
2015-07-05,13.0
2015-07-12,17.0
2015-07-19,15.0
2015-07-26,15.0
2015-08-02,15.0
2015-08-09,15.0
2015-08-16,16.0
2015-08-23,13.0
2015-08-30,14.0
2015-09-06,16.0
2015-09-13,14.0
2015-09-20,14.0
2015-09-27,15.0
2015-10-04,13.0
2015-10-11,15.0
2015-10-18,16.0
2015-10-25,18.0
2015-11-01,14.0
2015-11-08,17.0
2015-11-15,15.0
2015-11-22,13.0
2015-11-29,14.0
2015-12-06,13.0
2015-12-13,14.0
2015-12-20,17.0
2015-12-27,17.0
2016-01-03,16.0
2016-01-10,15.0
2016-01-17,18.0
2016-01-24,17.0
2016-01-31,14.0
2016-02-07,15.0
2016-02-14,16.0
2016-02-21,15.0
2016-02-28,16.0
2016-03-06,16.0
2016-03-13,18.0
2016-03-20,15.0
2016-03-27,18.0
2016-04-03,15.0
2016-04-10,15.0
2016-04-17,17.0
2016-04-24,18.0
2016-05-01,17.0
2016-05-08,18.0
2016-05-15,17.0
2016-05-22,16.0
2016-05-29,16.0
2016-06-05,15.0
2016-06-12,17.0
2016-06-19,15.0
2016-06-26,17.0
2016-07-03,16.0
2016-07-10,18.0
2016-07-17,17.0
2016-07-24,18.0
2016-07-31,22.0
2016-08-07,12.0
2016-08-14,16.0
2016-08-21,18.0
2016-08-28,9.0
2016-09-04,14.0
2016-09-11,16.0
2016-09-18,8.0
2016-09-25,6.0
2016-10-02,6.0
2016-10-09,6.0
2016-10-16,5.0
2016-10-23,7.0
2016-10-30,6.0
2016-11-06,5.0
2016-11-13,6.0
2016-11-20,6.0
2016-11-27,6.0
2016-12-04,5.0
2016-12-11,6.0
2016-12-18,6.0
2016-12-25,6.0
2017-01-01,7.0
2017-01-08,6.0
2017-01-15,7.0
2017-01-22,8.0
2017-01-29,9.0
2017-02-05,15.0
2017-02-12,14.0
2017-02-19,18.0
2017-02-26,16.0
2017-03-05,15.0
2017-03-12,17.0
2017-03-19,12.0
2017-03-26,18.0
2017-04-02,15.0
2017-04-09,16.0
2017-04-16,18.0
2017-04-23,18.0
2017-04-30,16.0
2017-05-07,12.0
2017-05-14,13.0
2017-05-21,14.0
2017-05-28,14.0
2017-06-04,12.0
2017-06-11,13.0
2017-06-18,15.0
2017-06-25,12.0
2017-07-02,14.0
2017-07-09,14.0
2017-07-16,17.0
2017-07-23,14.0
2017-07-30,15.0
2017-08-06,14.0
2017-08-13,14.0
2017-08-20,14.0
2017-08-27,12.0
2017-09-03,13.0
2017-09-10,11.0
2017-09-17,14.0
2017-09-24,12.0
2017-10-01,13.0
2017-10-08,13.0
2017-10-15,15.0
2017-10-22,13.0
2017-10-29,16.0
2017-11-05,16.0
2017-11-12,18.0
2017-11-19,13.0
2017-11-26,17.0
2017-12-03,13.0
2017-12-10,12.0
2017-12-17,12.0
2017-12-24,16.0
2017-12-31,16.0
2018-01-07,16.0
2018-01-14,16.0
2018-01-21,17.0
2018-01-28,17.0
2018-02-04,13.0
2018-02-11,18.0
2018-02-18,14.0
2018-02-25,14.0
2018-03-04,15.0
2018-03-11,17.0
2018-03-18,15.0
2018-03-25,18.0
2018-04-01,16.0
2018-04-08,15.0
2018-04-15,16.0
2018-04-22,18.0
2018-04-29,17.0
2018-05-06,16.0
2018-05-13,14.0
2018-05-20,16.0
2018-05-27,15.0
2018-06-03,14.0
2018-06-10,14.0
2018-06-17,13.0
2018-06-24,15.0
2018-07-01,15.0
2018-07-08,15.0
2018-07-15,15.0
2018-07-22,15.0
2018-07-29,15.0
2018-08-05,18.0
2018-08-12,16.0
2018-08-19,15.0
2018-08-26,17.0
2018-09-02,17.0
2018-09-09,19.0
2018-09-16,18.0
2018-09-23,17.0
2018-09-30,22.0
2018-10-07,22.0
2018-10-14,20.0
2018-10-21,23.0
2018-10-28,24.0
2018-11-04,19.0
2018-11-11,17.0
2018-11-18,17.0
2018-11-25,20.0
2018-12-02,18.0
2018-12-09,21.0
2018-12-16,21.0
2018-12-23,24.0
2018-12-30,23.0
2019-01-06,20.0
2019-01-13,19.0
2019-01-20,19.0
2019-01-27,24.0
2019-02-03,19.0
2019-02-10,22.0
