,Vehicle Shopping
2014-12-28,48.0
2015-01-04,44.0
2015-01-11,44.0
2015-01-18,44.0
2015-01-25,43.0
2015-02-01,46.0
2015-02-08,44.0
2015-02-15,44.0
2015-02-22,41.0
2015-03-01,43.0
2015-03-08,47.0
2015-03-15,49.0
2015-03-22,47.0
2015-03-29,49.0
2015-04-05,46.0
2015-04-12,45.0
2015-04-19,45.0
2015-04-26,46.0
2015-05-03,45.0
2015-05-10,46.0
2015-05-17,47.0
2015-05-24,46.0
2015-05-31,49.0
2015-06-07,48.0
2015-06-14,52.0
2015-06-21,55.0
2015-06-28,64.0
2015-07-05,66.0
2015-07-12,62.0
2015-07-19,68.0
2015-07-26,68.0
2015-08-02,67.0
2015-08-09,64.0
2015-08-16,63.0
2015-08-23,57.0
2015-08-30,63.0
2015-09-06,70.0
2015-09-13,66.0
2015-09-20,66.0
2015-09-27,59.0
2015-10-04,62.0
2015-10-11,64.0
2015-10-18,61.0
2015-10-25,73.0
2015-11-01,62.0
2015-11-08,53.0
2015-11-15,50.0
2015-11-22,55.0
2015-11-29,52.0
2015-12-06,54.0
2015-12-13,55.0
2015-12-20,64.0
2015-12-27,59.0
2016-01-03,53.0
2016-01-10,57.0
2016-01-17,60.0
2016-01-24,59.0
2016-01-31,60.0
2016-02-07,56.0
2016-02-14,52.0
2016-02-21,52.0
2016-02-28,50.0
2016-03-06,55.0
2016-03-13,61.0
2016-03-20,51.0
2016-03-27,52.0
2016-04-03,58.0
2016-04-10,53.0
2016-04-17,52.0
2016-04-24,55.0
2016-05-01,54.0
2016-05-08,55.0
2016-05-15,56.0
2016-05-22,59.0
2016-05-29,62.0
2016-06-05,64.0
2016-06-12,64.0
2016-06-19,64.0
2016-06-26,64.0
2016-07-03,65.0
2016-07-10,61.0
2016-07-17,63.0
2016-07-24,64.0
2016-07-31,63.0
2016-08-07,66.0
2016-08-14,63.0
2016-08-21,63.0
2016-08-28,64.0
2016-09-04,60.0
2016-09-11,62.0
2016-09-18,62.0
2016-09-25,58.0
2016-10-02,62.0
2016-10-09,60.0
2016-10-16,63.0
2016-10-23,58.0
2016-10-30,62.0
2016-11-06,52.0
2016-11-13,52.0
2016-11-20,53.0
2016-11-27,53.0
2016-12-04,54.0
2016-12-11,60.0
2016-12-18,62.0
2016-12-25,59.0
2017-01-01,61.0
2017-01-08,58.0
2017-01-15,62.0
2017-01-22,59.0
2017-01-29,56.0
2017-02-05,60.0
2017-02-12,63.0
2017-02-19,62.0
2017-02-26,58.0
2017-03-05,59.0
2017-03-12,57.0
2017-03-19,60.0
2017-03-26,73.0
2017-04-02,61.0
2017-04-09,61.0
2017-04-16,55.0
2017-04-23,57.0
2017-04-30,57.0
2017-05-07,58.0
2017-05-14,60.0
2017-05-21,66.0
2017-05-28,62.0
2017-06-04,64.0
2017-06-11,71.0
2017-06-18,78.0
2017-06-25,73.0
2017-07-02,77.0
2017-07-09,71.0
2017-07-16,74.0
2017-07-23,72.0
2017-07-30,77.0
2017-08-06,70.0
2017-08-13,70.0
2017-08-20,69.0
2017-08-27,67.0
2017-09-03,69.0
2017-09-10,70.0
2017-09-17,70.0
2017-09-24,70.0
2017-10-01,68.0
2017-10-08,68.0
2017-10-15,61.0
2017-10-22,68.0
2017-10-29,63.0
2017-11-05,66.0
2017-11-12,66.0
2017-11-19,63.0
2017-11-26,63.0
2017-12-03,68.0
2017-12-10,74.0
2017-12-17,71.0
2017-12-24,79.0
2017-12-31,68.0
2018-01-07,71.0
2018-01-14,69.0
2018-01-21,72.0
2018-01-28,77.0
2018-02-04,77.0
2018-02-11,75.0
2018-02-18,74.0
2018-02-25,63.0
2018-03-04,71.0
2018-03-11,75.0
2018-03-18,75.0
2018-03-25,76.0
2018-04-01,71.0
2018-04-08,72.0
2018-04-15,72.0
2018-04-22,74.0
2018-04-29,75.0
2018-05-06,74.0
2018-05-13,79.0
2018-05-20,84.0
2018-05-27,82.0
2018-06-03,76.0
2018-06-10,78.0
2018-06-17,76.0
2018-06-24,78.0
2018-07-01,76.0
2018-07-08,81.0
2018-07-15,76.0
2018-07-22,78.0
2018-07-29,78.0
2018-08-05,76.0
2018-08-12,78.0
2018-08-19,79.0
2018-08-26,84.0
2018-09-02,99.0
2018-09-09,93.0
2018-09-16,84.0
2018-09-23,88.0
2018-09-30,88.0
2018-10-07,95.0
2018-10-14,91.0
2018-10-21,100.0
2018-10-28,94.0
2018-11-04,77.0
2018-11-11,88.0
2018-11-18,80.0
2018-11-25,83.0
2018-12-02,81.0
2018-12-09,83.0
2018-12-16,94.0
2018-12-23,96.0
2018-12-30,84.0
2019-01-06,75.0
2019-01-13,76.0
2019-01-20,76.0
2019-01-27,79.0
2019-02-03,74.0
2019-02-10,81.0
2019-02-17,75.0
2019-02-24,72.0
2019-03-03,76.0
2019-03-10,77.0
2019-03-17,74.0
2019-03-24,75.0
2019-03-31,72.0
2019-04-07,71.0
2019-04-14,73.0
2019-04-21,71.0
2019-04-28,69.0
2019-05-05,71.0
2019-05-12,73.0
2019-05-19,74.0
2019-05-26,76.0
2019-06-02,75.0
2019-06-09,75.0
2019-06-16,77.0
2019-06-23,76.0
2019-06-30,73.0
2019-07-07,72.0
2019-07-14,76.0
2019-07-21,74.0
2019-07-28,69.0
2019-08-04,70.0
2019-08-11,70.0
2019-08-18,79.0
2019-08-25,78.0
2019-09-01,72.0
2019-09-08,78.0
2019-09-15,74.0
2019-09-22,77.0
2019-09-29,80.0
2019-10-06,74.0
2019-10-13,72.0
2019-10-20,71.0
2019-10-27,67.0
2019-11-03,64.0
2019-11-10,65.0
2019-11-17,69.0
2019-11-24,67.0
2019-12-01,66.0
2019-12-08,70.0
2019-12-15,65.0
2019-12-22,75.0
2019-12-29,72.0
2020-01-05,68.87319506432134
2020-01-12,65.87870832239433
2020-01-19,72.86584405355735
2020-01-26,68.87319506432134
2020-02-02,71.86768180624836
2020-02-09,78.85481753741139
2020-02-16,70.86951955893934
2020-02-23,69.87135731163035
2020-03-01,69.87135731163035
2020-03-08,65.87870832239433
2020-03-15,63.882383827776316
2020-03-22,37.930165397742186
2020-03-29,36.93200315043318
2020-04-05,35.93384090312418
2020-04-12,33.93751640850617
2020-04-19,36.93200315043318
2020-04-26,35.93384090312418
2020-05-03,45.91546337621423
2020-05-10,52.90259910737726
2020-05-17,51.90443686006826
2020-05-24,55.897085849304275
2020-05-31,61.88605933315831
2020-06-07,68.87319506432134
2020-06-14,74.86216854817538
2020-06-21,89.83460225781045
2020-06-28,84.84379102126542
2020-07-05,80.8511420320294
2020-07-12,79.85297978472039
2020-07-19,79.85297978472039
2020-07-26,84.84379102126542
2020-08-02,83.84562877395642
2020-08-09,90.83276450511944
2020-08-16,97.81990023628248
2020-08-23,91.83092675242845
2020-08-30,87.83827776319244
2020-09-06,86.84011551588343
2020-09-13,86.84011551588343
2020-09-20,86.84011551588343
2020-09-27,86.84011551588343
2020-10-04,83.84562877395642
2020-10-11,90.83276450511944
2020-10-18,83.84562877395642
2020-10-25,82.84746652664741
2020-11-01,77.85665529010238
2020-11-08,72.86584405355735
2020-11-15,78.85481753741139
2020-11-22,78.85481753741139
2020-11-29,77.85665529010238
2020-12-06,86.84011551588343
2020-12-13,89.83460225781045
2020-12-20,88.83644001050143
2020-12-27,87.83827776319244
2021-01-03,83.84562877395642
2021-01-10,81.8493042793384
2021-01-17,83.84562877395642
2021-01-24,83.84562877395642
2021-01-31,85.84195326857443
2021-02-07,75.86033079548437
2021-02-14,88.83644001050143
2021-02-21,82.84746652664741
2021-02-28,81.8493042793384
2021-03-07,75.86033079548437
2021-03-14,76.85849304279338
2021-03-21,74.86216854817538
2021-03-28,69.87135731163035
2021-04-04,67.87503281701234
2021-04-11,62.88422158046731
2021-04-18,61.88605933315831
2021-04-25,57.893410343922284
2021-05-02,57.893410343922284
2021-05-09,59.8897348385403
2021-05-16,63.882383827776316
2021-05-23,65.87870832239433
2021-05-30,72.86584405355735
2021-06-06,78.85481753741139
2021-06-13,81.8493042793384
2021-06-20,81.8493042793384
2021-06-27,84.84379102126542
2021-07-04,81.8493042793384
2021-07-11,86.84011551588343
2021-07-18,86.84011551588343
2021-07-25,87.83827776319244
2021-08-01,77.85665529010238
2021-08-08,88.83644001050143
2021-08-15,83.84562877395642
2021-08-22,78.85481753741139
2021-08-29,80.8511420320294
2021-09-05,72.86584405355735
2021-09-12,74.86216854817538
2021-09-19,71.86768180624836
2021-09-26,67.87503281701234
2021-10-03,68.87319506432134
2021-10-10,68.87319506432134
2021-10-17,74.86216854817538
2021-10-24,68.87319506432134
2021-10-31,83.84562877395642
2021-11-07,70.86951955893934
2021-11-14,69.87135731163035
2021-11-21,66.87687056970333
2021-11-28,64.88054607508532
2021-12-05,67.87503281701234
2021-12-12,66.87687056970333
2021-12-19,68.87319506432134
2021-12-26,70.86951955893934
2022-01-02,74.86216854817538
2022-01-09,70.86951955893934
2022-01-16,66.87687056970333
2022-01-23,74.86216854817538
2022-01-30,77.85665529010238
2022-02-06,75.86033079548437
2022-02-13,85.84195326857443
2022-02-20,80.8511420320294
2022-02-27,81.8493042793384
2022-03-06,91.83092675242845
2022-03-13,78.85481753741139
2022-03-20,89.83460225781045
2022-03-27,83.84562877395642
2022-04-03,81.8493042793384
2022-04-10,85.84195326857443
2022-04-17,77.85665529010238
2022-04-24,78.85481753741139
2022-05-01,81.8493042793384
2022-05-08,81.8493042793384
2022-05-15,86.84011551588343
2022-05-22,99.81622473090049
2022-05-29,87.83827776319244
2022-06-05,89.83460225781045
2022-06-12,84.84379102126542
2022-06-19,86.84011551588343
2022-06-26,93.82725124704646
2022-07-03,93.82725124704646
2022-07-10,96.82173798897348
2022-07-17,92.82908899973746
2022-07-24,85.84195326857443
2022-07-31,90.83276450511944
2022-08-07,89.83460225781045
2022-08-14,92.82908899973746
2022-08-21,90.83276450511944
2022-08-28,85.84195326857443
2022-09-04,82.84746652664741
2022-09-11,87.83827776319244
2022-09-18,83.84562877395642
2022-09-25,83.84562877395642
2022-10-02,81.8493042793384
2022-10-09,79.85297978472039
2022-10-16,84.84379102126542
2022-10-23,72.86584405355735
2022-10-30,77.85665529010238
2022-11-06,78.85481753741139
2022-11-13,80.8511420320294
2022-11-20,76.85849304279338
2022-11-27,80.8511420320294
2022-12-04,81.8493042793384
2022-12-11,82.84746652664741
2022-12-18,85.84195326857443
2022-12-25,87.83827776319244
2023-01-01,87.83827776319244
2023-01-08,86.84011551588343
2023-01-15,92.82908899973746
2023-01-22,87.83827776319244
2023-01-29,89.83460225781045
2023-02-05,79.85297978472039
2023-02-12,83.84562877395642
2023-02-19,86.84011551588343
2023-02-26,84.84379102126542
2023-03-05,77.85665529010238
2023-03-12,81.8493042793384
