,Web Hosting & Domain Registration
2014-12-28,48.0
2015-01-04,44.0
2015-01-11,56.0
2015-01-18,47.0
2015-01-25,100.0
2015-02-01,66.0
2015-02-08,59.0
2015-02-15,45.0
2015-02-22,64.0
2015-03-01,0.0
2015-03-08,45.0
2015-03-15,50.0
2015-03-22,60.0
2015-03-29,58.0
2015-04-05,65.0
2015-04-12,92.0
2015-04-19,49.0
2015-04-26,60.0
2015-05-03,52.0
2015-05-10,0.0
2015-05-17,44.0
2015-05-24,60.0
2015-05-31,41.0
2015-06-07,0.0
2015-06-14,0.0
2015-06-21,0.0
2015-06-28,49.0
2015-07-05,71.0
2015-07-12,61.0
2015-07-19,56.0
2015-07-26,42.0
2015-08-02,69.0
2015-08-09,76.0
2015-08-16,82.0
2015-08-23,88.0
2015-08-30,68.0
2015-09-06,50.0
2015-09-13,48.0
2015-09-20,0.0
2015-09-27,49.0
2015-10-04,57.0
2015-10-11,64.0
2015-10-18,37.0
2015-10-25,39.0
2015-11-01,48.0
2015-11-08,50.0
2015-11-15,64.0
2015-11-22,56.0
2015-11-29,40.0
2015-12-06,43.0
2015-12-13,67.0
2015-12-20,0.0
2015-12-27,62.0
2016-01-03,41.0
2016-01-10,41.0
2016-01-17,90.0
2016-01-24,67.0
2016-01-31,87.0
2016-02-07,62.0
2016-02-14,43.0
2016-02-21,0.0
2016-02-28,64.0
2016-03-06,39.0
2016-03-13,0.0
2016-03-20,0.0
2016-03-27,45.0
2016-04-03,0.0
2016-04-10,42.0
2016-04-17,43.0
2016-04-24,67.0
2016-05-01,64.0
2016-05-08,75.0
2016-05-15,74.0
2016-05-22,88.0
2016-05-29,42.0
2016-06-05,46.0
2016-06-12,41.0
2016-06-19,51.0
2016-06-26,63.0
2016-07-03,61.0
2016-07-10,70.0
2016-07-17,0.0
2016-07-24,0.0
2016-07-31,55.0
2016-08-07,0.0
2016-08-14,0.0
2016-08-21,0.0
2016-08-28,46.0
2016-09-04,52.0
2016-09-11,48.0
2016-09-18,0.0
2016-09-25,0.0
2016-10-02,0.0
2016-10-09,0.0
2016-10-16,51.0
2016-10-23,0.0
2016-10-30,0.0
2016-11-06,0.0
2016-11-13,0.0
2016-11-20,0.0
2016-11-27,0.0
2016-12-04,41.0
2016-12-11,0.0
2016-12-18,0.0
2016-12-25,0.0
2017-01-01,0.0
2017-01-08,0.0
2017-01-15,0.0
2017-01-22,0.0
2017-01-29,0.0
2017-02-05,39.0
2017-02-12,63.0
2017-02-19,49.0
2017-02-26,0.0
2017-03-05,45.0
2017-03-12,0.0
2017-03-19,60.0
2017-03-26,49.0
2017-04-02,63.0
2017-04-09,64.0
2017-04-16,40.0
2017-04-23,59.0
2017-04-30,45.0
2017-05-07,0.0
2017-05-14,43.0
2017-05-21,51.0
2017-05-28,45.0
2017-06-04,0.0
2017-06-11,0.0
2017-06-18,0.0
2017-06-25,42.0
2017-07-02,0.0
2017-07-09,40.0
2017-07-16,49.0
2017-07-23,0.0
2017-07-30,0.0
2017-08-06,0.0
2017-08-13,64.0
2017-08-20,0.0
2017-08-27,44.0
2017-09-03,47.0
2017-09-10,67.0
2017-09-17,52.0
2017-09-24,50.0
2017-10-01,40.0
2017-10-08,37.0
2017-10-15,52.0
2017-10-22,39.0
2017-10-29,0.0
2017-11-05,56.0
2017-11-12,49.0
2017-11-19,57.0
2017-11-26,0.0
2017-12-03,47.0
2017-12-10,65.0
2017-12-17,58.0
2017-12-24,47.0
2017-12-31,45.0
2018-01-07,41.0
2018-01-14,0.0
2018-01-21,37.0
2018-01-28,52.0
2018-02-04,39.0
2018-02-11,78.0
2018-02-18,38.0
2018-02-25,37.0
2018-03-04,58.0
2018-03-11,43.0
2018-03-18,0.0
2018-03-25,45.0
2018-04-01,47.0
2018-04-08,57.0
2018-04-15,0.0
2018-04-22,42.0
2018-04-29,65.0
2018-05-06,53.0
2018-05-13,0.0
2018-05-20,0.0
2018-05-27,54.0
2018-06-03,35.0
2018-06-10,0.0
2018-06-17,0.0
2018-06-24,50.0
2018-07-01,65.0
2018-07-08,0.0
2018-07-15,60.0
2018-07-22,0.0
2018-07-29,42.0
2018-08-05,0.0
2018-08-12,43.0
2018-08-19,0.0
2018-08-26,52.0
2018-09-02,57.0
2018-09-09,0.0
2018-09-16,49.0
2018-09-23,0.0
2018-09-30,48.0
2018-10-07,48.0
2018-10-14,52.0
2018-10-21,55.0
2018-10-28,64.0
2018-11-04,42.0
2018-11-11,0.0
2018-11-18,0.0
2018-11-25,0.0
2018-12-02,0.0
2018-12-09,36.0
2018-12-16,0.0
2018-12-23,0.0
2018-12-30,60.0
2019-01-06,62.0
2019-01-13,0.0
2019-01-20,46.0
2019-01-27,0.0
2019-02-03,62.0
2019-02-10,62.0
2019-02-17,45.0
2019-02-24,34.0
2019-03-03,43.0
2019-03-10,37.0
2019-03-17,69.0
2019-03-24,0.0
2019-03-31,40.0
2019-04-07,43.0
2019-04-14,0.0
2019-04-21,40.0
2019-04-28,90.0
2019-05-05,0.0
2019-05-12,0.0
2019-05-19,39.0
2019-05-26,57.0
2019-06-02,38.0
2019-06-09,48.0
2019-06-16,46.0
2019-06-23,0.0
2019-06-30,54.0
2019-07-07,47.0
2019-07-14,41.0
2019-07-21,0.0
2019-07-28,56.0
2019-08-04,49.0
2019-08-11,43.0
2019-08-18,53.0
2019-08-25,78.0
2019-09-01,42.0
2019-09-08,34.0
2019-09-15,40.0
2019-09-22,0.0
2019-09-29,38.0
2019-10-06,42.0
2019-10-13,0.0
2019-10-20,35.0
2019-10-27,0.0
2019-11-03,42.0
2019-11-10,42.0
2019-11-17,46.0
2019-11-24,45.0
2019-12-01,41.0
2019-12-08,0.0
2019-12-15,35.0
2019-12-22,43.0
2019-12-29,54.0
2020-01-05,48.53617021276596
2020-01-12,30.559810874704496
2020-01-19,0.0
2020-01-26,51.23262411347518
2020-02-02,76.39952718676123
2020-02-09,0.0
2020-02-16,0.0
2020-02-23,0.0
2020-03-01,44.94089834515367
2020-03-08,53.9290780141844
2020-03-15,29.660992907801422
2020-03-22,58.42316784869977
2020-03-29,56.62553191489362
2020-04-05,0.0
2020-04-12,0.0
2020-04-19,27.863356973995273
2020-04-26,35.952718676122934
2020-05-03,0.0
2020-05-10,0.0
2020-05-17,38.64917257683216
2020-05-24,33.25626477541371
2020-05-31,29.660992907801422
2020-06-07,44.94089834515367
2020-06-14,0.0
2020-06-21,31.458628841607567
2020-06-28,0.0
2020-07-05,34.155082742316786
2020-07-12,0.0
2020-07-19,0.0
2020-07-26,33.25626477541371
2020-08-02,53.03026004728133
2020-08-09,36.85153664302601
2020-08-16,0.0
2020-08-23,43.14326241134752
2020-08-30,0.0
2020-09-06,0.0
2020-09-13,37.75035460992908
2020-09-20,44.042080378250596
2020-09-27,41.34562647754137
2020-10-04,38.64917257683216
2020-10-11,55.72671394799055
2020-10-18,35.05390070921986
2020-10-25,54.82789598108747
2020-11-01,34.155082742316786
2020-11-08,36.85153664302601
2020-11-15,50.33380614657211
2020-11-22,0.0
2020-11-29,0.0
2020-12-06,41.34562647754137
2020-12-13,32.357446808510645
2020-12-20,0.0
2020-12-27,44.94089834515367
2021-01-03,44.94089834515367
2021-01-10,41.34562647754137
2021-01-17,49.434988179669034
2021-01-24,40.4468085106383
2021-01-31,61.11962174940899
2021-02-07,57.524349881796695
2021-02-14,38.64917257683216
2021-02-21,53.9290780141844
2021-02-28,47.637352245862886
2021-03-07,62.01843971631206
2021-03-14,43.14326241134752
2021-03-21,38.64917257683216
2021-03-28,63.81607565011821
2021-04-04,0.0
2021-04-11,0.0
2021-04-18,45.839716312056744
2021-04-25,0.0
2021-05-02,34.155082742316786
2021-05-09,31.458628841607567
2021-05-16,44.042080378250596
2021-05-23,30.559810874704496
2021-05-30,65.61371158392436
2021-06-06,0.0
2021-06-13,35.952718676122934
2021-06-20,59.321985815602844
2021-06-27,0.0
2021-07-04,31.458628841607567
2021-07-11,0.0
2021-07-18,47.637352245862886
2021-07-25,0.0
2021-08-01,0.0
2021-08-08,42.24444444444445
2021-08-15,48.53617021276596
2021-08-22,52.13144208037826
2021-08-29,47.637352245862886
2021-09-05,40.4468085106383
2021-09-12,62.917257683215134
2021-09-19,36.85153664302601
2021-09-26,34.155082742316786
2021-10-03,55.72671394799055
2021-10-10,49.434988179669034
2021-10-17,45.839716312056744
2021-10-24,0.0
2021-10-31,41.34562647754137
2021-11-07,39.547990543735224
2021-11-14,53.03026004728133
2021-11-21,63.81607565011821
2021-11-28,52.13144208037826
2021-12-05,0.0
2021-12-12,36.85153664302601
2021-12-19,59.321985815602844
2021-12-26,38.64917257683216
2022-01-02,0.0
2022-01-09,55.72671394799055
2022-01-16,46.73853427895982
2022-01-23,45.839716312056744
2022-01-30,0.0
2022-02-06,50.33380614657211
2022-02-13,61.11962174940899
2022-02-20,42.24444444444445
2022-02-27,52.13144208037826
2022-03-06,40.4468085106383
2022-03-13,35.952718676122934
2022-03-20,44.042080378250596
2022-03-27,40.4468085106383
2022-04-03,50.33380614657211
2022-04-10,31.458628841607567
2022-04-17,49.434988179669034
2022-04-24,53.03026004728133
2022-05-01,49.434988179669034
2022-05-08,51.23262411347518
2022-05-15,62.01843971631206
2022-05-22,70.10780141843972
2022-05-29,51.23262411347518
2022-06-05,47.637352245862886
2022-06-12,44.94089834515367
2022-06-19,68.31016548463357
2022-06-26,39.547990543735224
2022-07-03,51.23262411347518
2022-07-10,44.042080378250596
2022-07-17,31.458628841607567
2022-07-24,61.11962174940899
2022-07-31,42.24444444444445
2022-08-07,44.042080378250596
2022-08-14,51.23262411347518
2022-08-21,50.33380614657211
2022-08-28,32.357446808510645
2022-09-04,55.72671394799055
2022-09-11,40.4468085106383
2022-09-18,44.042080378250596
2022-09-25,54.82789598108747
2022-10-02,48.53617021276596
2022-10-09,0.0
2022-10-16,57.524349881796695
2022-10-23,0.0
2022-10-30,44.042080378250596
2022-11-06,63.81607565011821
2022-11-13,53.9290780141844
2022-11-20,52.13144208037826
2022-11-27,60.22080378250592
2022-12-04,54.82789598108747
2022-12-11,52.13144208037826
2022-12-18,60.22080378250592
2022-12-25,62.917257683215134
2023-01-01,53.03026004728133
2023-01-08,48.53617021276596
2023-01-15,48.53617021276596
2023-01-22,53.03026004728133
2023-01-29,76.39952718676123
2023-02-05,32.357446808510645
2023-02-12,47.637352245862886
2023-02-19,61.11962174940899
2023-02-26,53.9290780141844
2023-03-05,39.547990543735224
2023-03-12,40.4468085106383
2023-03-19,62.01843971631206
2023-03-26,62.917257683215134
2023-04-02,50.33380614657211
2023-04-09,35.952718676122934
2023-04-16,52.13144208037826
2023-04-23,53.9290780141844
2023-04-30,67.4113475177305
2023-05-07,67.4113475177305
