,Weddings
2014-12-28,43.0
2015-01-04,40.0
2015-01-11,38.0
2015-01-18,42.0
2015-01-25,47.0
2015-02-01,45.0
2015-02-08,43.0
2015-02-15,43.0
2015-02-22,41.0
2015-03-01,39.0
2015-03-08,37.0
2015-03-15,40.0
2015-03-22,41.0
2015-03-29,43.0
2015-04-05,43.0
2015-04-12,43.0
2015-04-19,42.0
2015-04-26,42.0
2015-05-03,42.0
2015-05-10,42.0
2015-05-17,42.0
2015-05-24,41.0
2015-05-31,41.0
2015-06-07,40.0
2015-06-14,39.0
2015-06-21,41.0
2015-06-28,43.0
2015-07-05,52.0
2015-07-12,48.0
2015-07-19,47.0
2015-07-26,46.0
2015-08-02,47.0
2015-08-09,46.0
2015-08-16,48.0
2015-08-23,43.0
2015-08-30,44.0
2015-09-06,46.0
2015-09-13,45.0
2015-09-20,49.0
2015-09-27,43.0
2015-10-04,45.0
2015-10-11,45.0
2015-10-18,43.0
2015-10-25,47.0
2015-11-01,43.0
2015-11-08,40.0
2015-11-15,48.0
2015-11-22,51.0
2015-11-29,47.0
2015-12-06,49.0
2015-12-13,51.0
2015-12-20,49.0
2015-12-27,47.0
2016-01-03,46.0
2016-01-10,42.0
2016-01-17,46.0
2016-01-24,46.0
2016-01-31,44.0
2016-02-07,43.0
2016-02-14,46.0
2016-02-21,44.0
2016-02-28,45.0
2016-03-06,42.0
2016-03-13,45.0
2016-03-20,45.0
2016-03-27,44.0
2016-04-03,43.0
2016-04-10,44.0
2016-04-17,47.0
2016-04-24,47.0
2016-05-01,49.0
2016-05-08,45.0
2016-05-15,45.0
2016-05-22,44.0
2016-05-29,42.0
2016-06-05,45.0
2016-06-12,43.0
2016-06-19,44.0
2016-06-26,45.0
2016-07-03,50.0
2016-07-10,51.0
2016-07-17,54.0
2016-07-24,52.0
2016-07-31,49.0
2016-08-07,49.0
2016-08-14,49.0
2016-08-21,49.0
2016-08-28,51.0
2016-09-04,47.0
2016-09-11,49.0
2016-09-18,50.0
2016-09-25,48.0
2016-10-02,48.0
2016-10-09,50.0
2016-10-16,50.0
2016-10-23,44.0
2016-10-30,49.0
2016-11-06,48.0
2016-11-13,51.0
2016-11-20,58.0
2016-11-27,62.0
2016-12-04,61.0
2016-12-11,56.0
2016-12-18,58.0
2016-12-25,62.0
2017-01-01,54.0
2017-01-08,49.0
2017-01-15,54.0
2017-01-22,56.0
2017-01-29,56.0
2017-02-05,57.0
2017-02-12,56.0
2017-02-19,58.0
2017-02-26,58.0
2017-03-05,54.0
2017-03-12,56.0
2017-03-19,62.0
2017-03-26,56.0
2017-04-02,54.0
2017-04-09,56.0
2017-04-16,58.0
2017-04-23,59.0
2017-04-30,60.0
2017-05-07,61.0
2017-05-14,54.0
2017-05-21,57.0
2017-05-28,57.0
2017-06-04,55.0
2017-06-11,55.0
2017-06-18,55.0
2017-06-25,60.0
2017-07-02,63.0
2017-07-09,57.0
2017-07-16,65.0
2017-07-23,57.0
2017-07-30,58.0
2017-08-06,56.0
2017-08-13,58.0
2017-08-20,56.0
2017-08-27,51.0
2017-09-03,54.0
2017-09-10,54.0
2017-09-17,62.0
2017-09-24,55.0
2017-10-01,56.0
2017-10-08,53.0
2017-10-15,46.0
2017-10-22,60.0
2017-10-29,62.0
2017-11-05,59.0
2017-11-12,59.0
2017-11-19,65.0
2017-11-26,63.0
2017-12-03,62.0
2017-12-10,68.0
2017-12-17,60.0
2017-12-24,63.0
2017-12-31,56.0
2018-01-07,55.0
2018-01-14,56.0
2018-01-21,57.0
2018-01-28,60.0
2018-02-04,64.0
2018-02-11,72.0
2018-02-18,73.0
2018-02-25,57.0
2018-03-04,63.0
2018-03-11,61.0
2018-03-18,61.0
2018-03-25,61.0
2018-04-01,63.0
2018-04-08,67.0
2018-04-15,70.0
2018-04-22,70.0
2018-04-29,69.0
2018-05-06,74.0
2018-05-13,66.0
2018-05-20,68.0
2018-05-27,66.0
2018-06-03,67.0
2018-06-10,61.0
2018-06-17,66.0
2018-06-24,70.0
2018-07-01,71.0
2018-07-08,70.0
2018-07-15,64.0
2018-07-22,72.0
2018-07-29,65.0
2018-08-05,69.0
2018-08-12,63.0
2018-08-19,63.0
2018-08-26,65.0
2018-09-02,69.0
2018-09-09,73.0
2018-09-16,69.0
2018-09-23,70.0
2018-09-30,67.0
2018-10-07,71.0
2018-10-14,72.0
