,Accounting & Auditing
2023-01-01,64
2023-01-08,46
2023-01-15,37
2023-01-22,68
2023-01-29,55
2023-02-05,52
2023-02-12,55
2023-02-19,58
2023-02-26,56
2023-03-05,56
2023-03-12,59
2023-03-19,56
2023-03-26,56
2023-04-02,63
2023-04-09,53
2023-04-16,39
2023-04-23,48
2023-04-30,61
2023-05-07,52
2023-05-14,64
2023-05-21,64
2023-05-28,62
2023-06-04,74
2023-06-11,55
2023-06-18,44
2023-06-25,31
2023-07-02,36
2023-07-09,53
2023-07-16,43
2023-07-23,46
2023-07-30,52
2023-08-06,53
2023-08-13,58
2023-08-20,54
2023-08-27,71
2023-09-03,53
2023-09-10,51
2023-09-17,47
2023-09-24,50
2023-10-01,52
2023-10-08,65
2023-10-15,60
2023-10-22,71
2023-10-29,68
2023-11-05,67
2023-11-12,66
2023-11-19,71
2023-11-26,72
2023-12-03,78
2023-12-10,58
2023-12-17,57
2023-12-24,47
2023-12-31,50
2024-01-07,74
2024-01-14,66
2024-01-21,66
2024-01-28,77
2024-02-04,72
2024-02-11,67
2024-02-18,75
2024-02-25,72
2024-03-03,87
2024-03-10,42
2024-03-17,61
2024-03-24,65
2024-03-31,61
2024-04-07,37
2024-04-14,88
2024-04-21,57
2024-04-28,64
2024-05-05,60
2024-05-12,62
2024-05-19,74
2024-05-26,100
2024-06-02,69
2024-06-09,52
2024-06-16,37
2024-06-23,70
2024-06-30,63
2024-07-07,64
2024-07-14,72
2024-07-21,75
2024-07-28,67
2024-08-04,79
2024-08-11,89
2024-08-18,78
2024-08-25,81
2024-09-01,65
2024-09-08,79
2024-09-15,65
2024-09-22,51
2024-09-29,53
2024-10-06,49
2024-10-13,60
2024-10-20,67
2024-10-27,54
2024-11-03,58
2024-11-10,72
2024-11-17,92
2024-11-24,78
2024-12-01,66
2024-12-08,76
2024-12-15,71
2024-12-22,62
2024-12-29,54
2025-01-05,60
2025-01-12,83
2025-01-19,83
2025-01-26,89
2025-02-02,70
2025-02-09,69
2025-02-16,79
2025-02-23,47
2025-03-02,66
2025-03-09,46
2025-03-16,62
2025-03-23,45
2025-03-30,54
2025-04-06,77
2025-04-13,74
2025-04-20,76
2025-04-27,58
2025-05-04,74
2025-05-11,73
2025-05-18,77
2025-05-25,70
2025-06-01,63
2025-06-08,59
2025-06-15,73
2025-06-22,75
2025-06-29,88
2025-07-06,61
2025-07-13,73
2025-07-20,67
2025-07-27,41
2025-08-03,43
2025-08-10,54
2025-08-17,80
2025-08-24,65
2025-08-31,50
2025-09-07,51
2025-09-14,55
2025-09-21,66
2025-09-28,76
2025-10-05,64
2025-10-12,96
2025-10-19,65
2025-10-26,66
2025-11-02,69
2025-11-09,68
2025-11-16,73
2025-11-23,56
2025-11-30,68
2025-12-07,62
2025-12-14,69
2025-12-21,65
2025-12-28,68
2026-01-04,56
