,Alcoholic Beverages
2023-01-01,61
2023-01-08,58
2023-01-15,57
2023-01-22,57
2023-01-29,58
2023-02-05,48
2023-02-12,54
2023-02-19,63
2023-02-26,59
2023-03-05,57
2023-03-12,54
2023-03-19,45
2023-03-26,55
2023-04-02,54
2023-04-09,60
2023-04-16,53
2023-04-23,51
2023-04-30,57
2023-05-07,55
2023-05-14,53
2023-05-21,53
2023-05-28,55
2023-06-04,50
2023-06-11,55
2023-06-18,50
2023-06-25,50
2023-07-02,51
2023-07-09,57
2023-07-16,48
2023-07-23,53
2023-07-30,47
2023-08-06,61
2023-08-13,63
2023-08-20,57
2023-08-27,60
2023-09-03,62
2023-09-10,60
2023-09-17,67
2023-09-24,64
2023-10-01,67
2023-10-08,66
2023-10-15,67
2023-10-22,60
2023-10-29,70
2023-11-05,72
2023-11-12,76
2023-11-19,73
2023-11-26,66
2023-12-03,73
2023-12-10,85
2023-12-17,83
2023-12-24,83
2023-12-31,75
2024-01-07,71
2024-01-14,72
2024-01-21,70
2024-01-28,78
2024-02-04,71
2024-02-11,69
2024-02-18,76
2024-02-25,78
2024-03-03,71
2024-03-10,63
2024-03-17,69
2024-03-24,74
2024-03-31,66
2024-04-07,74
2024-04-14,77
2024-04-21,61
2024-04-28,74
2024-05-05,70
2024-05-12,65
2024-05-19,51
2024-05-26,62
2024-06-02,65
2024-06-09,64
2024-06-16,60
2024-06-23,63
2024-06-30,69
2024-07-07,63
2024-07-14,76
2024-07-21,67
2024-07-28,73
2024-08-04,71
2024-08-11,68
2024-08-18,75
2024-08-25,67
2024-09-01,65
2024-09-08,63
2024-09-15,61
2024-09-22,63
2024-09-29,66
2024-10-06,62
2024-10-13,67
2024-10-20,71
2024-10-27,78
2024-11-03,64
2024-11-10,77
2024-11-17,75
2024-11-24,77
2024-12-01,84
2024-12-08,76
2024-12-15,80
2024-12-22,100
2024-12-29,94
2025-01-05,80
2025-01-12,83
2025-01-19,69
2025-01-26,75
2025-02-02,76
2025-02-09,78
2025-02-16,67
2025-02-23,63
2025-03-02,60
2025-03-09,66
2025-03-16,79
2025-03-23,68
2025-03-30,66
2025-04-06,69
2025-04-13,63
2025-04-20,66
2025-04-27,70
2025-05-04,56
2025-05-11,62
2025-05-18,58
2025-05-25,56
2025-06-01,66
2025-06-08,56
2025-06-15,70
2025-06-22,59
2025-06-29,63
2025-07-06,68
2025-07-13,66
2025-07-20,64
2025-07-27,60
2025-08-03,53
2025-08-10,62
2025-08-17,55
2025-08-24,69
2025-08-31,56
2025-09-07,61
2025-09-14,59
2025-09-21,50
2025-09-28,64
2025-10-05,64
2025-10-12,66
2025-10-19,67
2025-10-26,70
2025-11-02,66
2025-11-09,74
2025-11-16,70
2025-11-23,64
2025-11-30,66
2025-12-07,78
2025-12-14,76
2025-12-21,75
2025-12-28,86
2026-01-04,73
