,Architecture
2014-12-28,0
2015-01-04,0
2015-01-11,58
2015-01-18,68
2015-01-25,0
2015-02-01,0
2015-02-08,0
2015-02-15,0
2015-02-22,0
2015-03-01,0
2015-03-08,0
2015-03-15,0
2015-03-22,0
2015-03-29,67
2015-04-05,54
2015-04-12,81
2015-04-19,0
2015-04-26,0
2015-05-03,0
2015-05-10,0
2015-05-17,63
2015-05-24,63
2015-05-31,0
2015-06-07,0
2015-06-14,0
2015-06-21,53
2015-06-28,0
2015-07-05,0
2015-07-12,0
2015-07-19,0
2015-07-26,0
2015-08-02,67
2015-08-09,74
2015-08-16,0
2015-08-23,55
2015-08-30,0
2015-09-06,52
2015-09-13,0
2015-09-20,64
2015-09-27,0
2015-10-04,0
2015-10-11,0
2015-10-18,56
2015-10-25,0
2015-11-01,61
2015-11-08,75
2015-11-15,54
2015-11-22,0
2015-11-29,0
2015-12-06,0
2015-12-13,0
2015-12-20,56
2015-12-27,0
2016-01-03,67
2016-01-10,59
2016-01-17,0
2016-01-24,0
2016-01-31,0
2016-02-07,0
2016-02-14,50
2016-02-21,0
2016-02-28,0
2016-03-06,0
2016-03-13,0
2016-03-20,50
2016-03-27,0
2016-04-03,0
2016-04-10,0
2016-04-17,55
2016-04-24,0
2016-05-01,66
2016-05-08,0
2016-05-15,62
2016-05-22,0
2016-05-29,0
2016-06-05,0
2016-06-12,0
2016-06-19,0
2016-06-26,0
2016-07-03,0
2016-07-10,55
2016-07-17,58
2016-07-24,0
2016-07-31,91
2016-08-07,0
2016-08-14,0
2016-08-21,0
2016-08-28,0
2016-09-04,0
2016-09-11,54
2016-09-18,0
2016-09-25,0
2016-10-02,0
2016-10-09,0
2016-10-16,0
2016-10-23,0
2016-10-30,55
2016-11-06,0
2016-11-13,0
2016-11-20,63
2016-11-27,0
2016-12-04,0
2016-12-11,0
2016-12-18,0
2016-12-25,0
2017-01-01,0
2017-01-08,0
2017-01-15,0
2017-01-22,0
2017-01-29,0
2017-02-05,0
2017-02-12,50
2017-02-19,74
2017-02-26,0
2017-03-05,57
2017-03-12,45
2017-03-19,0
2017-03-26,0
2017-04-02,0
2017-04-09,0
2017-04-16,0
2017-04-23,63
2017-04-30,59
2017-05-07,50
2017-05-14,0
2017-05-21,0
2017-05-28,0
2017-06-04,58
2017-06-11,0
2017-06-18,0
2017-06-25,0
2017-07-02,0
2017-07-09,0
2017-07-16,55
2017-07-23,0
2017-07-30,81
2017-08-06,80
2017-08-13,0
2017-08-20,0
2017-08-27,52
2017-09-03,0
2017-09-10,55
2017-09-17,0
2017-09-24,58
2017-10-01,0
2017-10-08,68
2017-10-15,49
2017-10-22,48
2017-10-29,55
2017-11-05,0
2017-11-12,57
2017-11-19,51
2017-11-26,46
2017-12-03,0
2017-12-10,66
2017-12-17,0
2017-12-24,82
2017-12-31,0
2018-01-07,0
2018-01-14,0
2018-01-21,52
2018-01-28,91
2018-02-04,0
2018-02-11,45
2018-02-18,65
2018-02-25,100
2018-03-04,45
2018-03-11,60
2018-03-18,65
2018-03-25,0
2018-04-01,58
2018-04-08,0
2018-04-15,52
2018-04-22,62
2018-04-29,0
2018-05-06,0
2018-05-13,0
2018-05-20,57
2018-05-27,0
2018-06-03,0
2018-06-10,59
2018-06-17,76
2018-06-24,0
2018-07-01,0
2018-07-08,0
2018-07-15,48
2018-07-22,0
2018-07-29,0
2018-08-05,0
2018-08-12,0
2018-08-19,44
2018-08-26,47
2018-09-02,56
2018-09-09,0
2018-09-16,45
2018-09-23,61
2018-09-30,0
2018-10-07,47
2018-10-14,57
2018-10-21,0
2018-10-28,44
2018-11-04,62
2018-11-11,45
2018-11-18,60
2018-11-25,0
2018-12-02,44
2018-12-09,65
2018-12-16,0
2018-12-23,60
2018-12-30,53
2019-01-06,0
2019-01-13,0
2019-01-20,56
2019-01-27,95
2019-02-03,78
2019-02-10,0
2019-02-17,50
2019-02-24,46
2019-03-03,76
2019-03-10,73
2019-03-17,95
2019-03-24,84
2019-03-31,49
2019-04-07,0
2019-04-14,71
2019-04-21,45
2019-04-28,70
2019-05-05,0
2019-05-12,54
2019-05-19,0
2019-05-26,0
2019-06-02,48
2019-06-09,68
2019-06-16,0
2019-06-23,43
2019-06-30,47
2019-07-07,52
2019-07-14,78
2019-07-21,0
2019-07-28,0
2019-08-04,0
2019-08-11,0
2019-08-18,60
2019-08-25,59
2019-09-01,0
2019-09-08,43
2019-09-15,63
2019-09-22,44
2019-09-29,77
2019-10-06,61
2019-10-13,57
2019-10-20,0
2019-10-27,55
2019-11-03,56
2019-11-10,0
2019-11-17,64
2019-11-24,43
2019-12-01,42
2019-12-08,65
2019-12-15,0
2019-12-22,48
2019-12-29,88
2020-01-05,59
