,Arts & Entertainment
2023-01-01,88
2023-01-08,85
2023-01-15,91
2023-01-22,92
2023-01-29,90
2023-02-05,86
2023-02-12,91
2023-02-19,86
2023-02-26,85
2023-03-05,85
2023-03-12,83
2023-03-19,83
2023-03-26,80
2023-04-02,84
2023-04-09,84
2023-04-16,82
2023-04-23,85
2023-04-30,86
2023-05-07,83
2023-05-14,84
2023-05-21,85
2023-05-28,86
2023-06-04,85
2023-06-11,89
2023-06-18,91
2023-06-25,92
2023-07-02,84
2023-07-09,94
2023-07-16,94
2023-07-23,85
2023-07-30,92
2023-08-06,94
2023-08-13,97
2023-08-20,88
2023-08-27,88
2023-09-03,84
2023-09-10,89
2023-09-17,87
2023-09-24,88
2023-10-01,86
2023-10-08,87
2023-10-15,95
2023-10-22,90
2023-10-29,86
2023-11-05,90
2023-11-12,89
2023-11-19,87
2023-11-26,87
2023-12-03,88
2023-12-10,88
2023-12-17,93
2023-12-24,94
2023-12-31,94
2024-01-07,89
2024-01-14,85
2024-01-21,86
2024-01-28,91
2024-02-04,89
2024-02-11,87
2024-02-18,86
2024-02-25,87
2024-03-03,89
2024-03-10,86
2024-03-17,87
2024-03-24,84
2024-03-31,85
2024-04-07,80
2024-04-14,85
2024-04-21,86
2024-04-28,89
2024-05-05,87
2024-05-12,90
2024-05-19,84
2024-05-26,91
2024-06-02,88
2024-06-09,90
2024-06-16,89
2024-06-23,90
2024-06-30,94
2024-07-07,95
2024-07-14,97
2024-07-21,91
2024-07-28,90
2024-08-04,90
2024-08-11,91
2024-08-18,90
2024-08-25,86
2024-09-01,89
2024-09-08,88
2024-09-15,89
2024-09-22,86
2024-09-29,81
2024-10-06,89
2024-10-13,90
2024-10-20,85
2024-10-27,89
2024-11-03,85
2024-11-10,89
2024-11-17,83
2024-11-24,90
2024-12-01,86
2024-12-08,88
2024-12-15,92
2024-12-22,100
2024-12-29,93
2025-01-05,86
2025-01-12,91
2025-01-19,81
2025-01-26,83
2025-02-02,90
2025-02-09,89
2025-02-16,86
2025-02-23,86
2025-03-02,86
2025-03-09,88
2025-03-16,86
2025-03-23,88
2025-03-30,87
2025-04-06,84
2025-04-13,83
2025-04-20,86
2025-04-27,86
2025-05-04,83
2025-05-11,82
2025-05-18,85
2025-05-25,87
2025-06-01,84
2025-06-08,85
2025-06-15,89
2025-06-22,91
2025-06-29,90
2025-07-06,92
2025-07-13,91
2025-07-20,94
2025-07-27,88
2025-08-03,92
2025-08-10,91
2025-08-17,90
2025-08-24,87
2025-08-31,89
2025-09-07,84
2025-09-14,86
2025-09-21,92
2025-09-28,86
2025-10-05,85
2025-10-12,85
2025-10-19,88
2025-10-26,82
2025-11-02,81
2025-11-09,85
2025-11-16,92
2025-11-23,85
2025-11-30,81
2025-12-07,86
2025-12-14,91
2025-12-21,100
2025-12-28,97
2026-01-04,88
