,Auto Financing
2014-12-28,36
2015-01-04,38
2015-01-11,42
2015-01-18,43
2015-01-25,48
2015-02-01,52
2015-02-08,56
2015-02-15,61
2015-02-22,54
2015-03-01,54
2015-03-08,55
2015-03-15,52
2015-03-22,60
2015-03-29,57
2015-04-05,48
2015-04-12,36
2015-04-19,69
2015-04-26,41
2015-05-03,42
2015-05-10,62
2015-05-17,65
2015-05-24,48
2015-05-31,56
2015-06-07,72
2015-06-14,55
2015-06-21,66
2015-06-28,56
2015-07-05,60
2015-07-12,49
2015-07-19,47
2015-07-26,55
2015-08-02,49
2015-08-09,64
2015-08-16,47
2015-08-23,52
2015-08-30,49
2015-09-06,63
2015-09-13,63
2015-09-20,39
2015-09-27,50
2015-10-04,70
2015-10-11,39
2015-10-18,47
2015-10-25,66
2015-11-01,56
2015-11-08,58
2015-11-15,53
2015-11-22,58
2015-11-29,43
2015-12-06,46
2015-12-13,44
2015-12-20,38
2015-12-27,54
2016-01-03,57
2016-01-10,42
2016-01-17,46
2016-01-24,56
2016-01-31,55
2016-02-07,59
2016-02-14,50
2016-02-21,64
2016-02-28,51
2016-03-06,48
2016-03-13,55
2016-03-20,55
2016-03-27,46
2016-04-03,53
2016-04-10,36
2016-04-17,62
2016-04-24,66
2016-05-01,62
2016-05-08,52
2016-05-15,56
2016-05-22,54
2016-05-29,62
2016-06-05,57
2016-06-12,58
2016-06-19,48
2016-06-26,63
2016-07-03,68
2016-07-10,49
2016-07-17,59
2016-07-24,85
2016-07-31,54
2016-08-07,37
2016-08-14,60
2016-08-21,51
2016-08-28,42
2016-09-04,61
2016-09-11,43
2016-09-18,55
2016-09-25,71
2016-10-02,54
2016-10-09,47
2016-10-16,71
2016-10-23,52
2016-10-30,62
2016-11-06,50
2016-11-13,57
2016-11-20,66
2016-11-27,43
2016-12-04,53
2016-12-11,50
2016-12-18,71
2016-12-25,43
2017-01-01,59
2017-01-08,40
2017-01-15,49
2017-01-22,61
2017-01-29,42
2017-02-05,58
2017-02-12,59
2017-02-19,58
2017-02-26,61
2017-03-05,56
2017-03-12,54
2017-03-19,59
2017-03-26,63
2017-04-02,57
2017-04-09,39
2017-04-16,45
2017-04-23,52
2017-04-30,52
2017-05-07,51
2017-05-14,48
2017-05-21,68
2017-05-28,62
2017-06-04,62
2017-06-11,67
2017-06-18,64
2017-06-25,62
2017-07-02,74
2017-07-09,55
2017-07-16,61
2017-07-23,67
2017-07-30,67
2017-08-06,55
2017-08-13,57
2017-08-20,60
2017-08-27,50
2017-09-03,47
2017-09-10,52
2017-09-17,63
2017-09-24,73
2017-10-01,61
2017-10-08,70
2017-10-15,71
2017-10-22,63
2017-10-29,55
2017-11-05,71
2017-11-12,72
2017-11-19,66
2017-11-26,62
2017-12-03,61
2017-12-10,60
2017-12-17,80
2017-12-24,54
2017-12-31,60
2018-01-07,69
2018-01-14,66
2018-01-21,48
2018-01-28,58
2018-02-04,57
2018-02-11,57
2018-02-18,72
2018-02-25,62
2018-03-04,73
2018-03-11,78
2018-03-18,82
2018-03-25,61
2018-04-01,70
2018-04-08,54
2018-04-15,66
2018-04-22,57
2018-04-29,69
2018-05-06,77
2018-05-13,80
2018-05-20,75
2018-05-27,68
2018-06-03,99
2018-06-10,86
2018-06-17,67
2018-06-24,55
2018-07-01,80
2018-07-08,74
2018-07-15,73
2018-07-22,78
2018-07-29,94
2018-08-05,96
2018-08-12,85
2018-08-19,87
2018-08-26,69
2018-09-02,68
2018-09-09,75
2018-09-16,68
2018-09-23,61
2018-09-30,57
2018-10-07,87
2018-10-14,70
2018-10-21,73
2018-10-28,66
2018-11-04,76
2018-11-11,62
2018-11-18,63
2018-11-25,81
2018-12-02,68
2018-12-09,76
2018-12-16,75
2018-12-23,71
2018-12-30,74
2019-01-06,81
2019-01-13,74
2019-01-20,94
2019-01-27,77
2019-02-03,73
2019-02-10,87
2019-02-17,64
2019-02-24,72
2019-03-03,80
2019-03-10,83
2019-03-17,83
2019-03-24,94
2019-03-31,72
2019-04-07,63
2019-04-14,41
2019-04-21,44
2019-04-28,75
2019-05-05,80
2019-05-12,57
2019-05-19,72
2019-05-26,81
2019-06-02,69
2019-06-09,69
2019-06-16,83
2019-06-23,81
2019-06-30,89
2019-07-07,91
2019-07-14,81
2019-07-21,98
2019-07-28,95
2019-08-04,100
2019-08-11,77
2019-08-18,98
2019-08-25,88
2019-09-01,86
2019-09-08,85
2019-09-15,80
2019-09-22,81
2019-09-29,85
2019-10-06,79
2019-10-13,81
2019-10-20,75
2019-10-27,98
2019-11-03,70
2019-11-10,72
2019-11-17,81
2019-11-24,88
2019-12-01,73
2019-12-08,79
2019-12-15,86
2019-12-22,80
2019-12-29,82
2020-01-05,92
