,Business Operations
2014-12-28,46
2015-01-04,37
2015-01-11,51
2015-01-18,47
2015-01-25,63
2015-02-01,63
2015-02-08,66
2015-02-15,84
2015-02-22,64
2015-03-01,69
2015-03-08,82
2015-03-15,68
2015-03-22,53
2015-03-29,68
2015-04-05,67
2015-04-12,66
2015-04-19,70
2015-04-26,68
2015-05-03,62
2015-05-10,61
2015-05-17,62
2015-05-24,57
2015-05-31,62
2015-06-07,55
2015-06-14,46
2015-06-21,56
2015-06-28,52
2015-07-05,60
2015-07-12,46
2015-07-19,47
2015-07-26,41
2015-08-02,64
2015-08-09,73
2015-08-16,74
2015-08-23,55
2015-08-30,50
2015-09-06,61
2015-09-13,56
2015-09-20,33
2015-09-27,61
2015-10-04,67
2015-10-11,66
2015-10-18,76
2015-10-25,78
2015-11-01,64
2015-11-08,66
2015-11-15,68
2015-11-22,58
2015-11-29,69
2015-12-06,51
2015-12-13,57
2015-12-20,53
2015-12-27,49
2016-01-03,40
2016-01-10,46
2016-01-17,65
2016-01-24,74
2016-01-31,67
2016-02-07,75
2016-02-14,88
2016-02-21,84
2016-02-28,76
2016-03-06,84
2016-03-13,87
2016-03-20,64
2016-03-27,73
2016-04-03,68
2016-04-10,77
2016-04-17,70
2016-04-24,87
2016-05-01,70
2016-05-08,73
2016-05-15,86
2016-05-22,67
2016-05-29,63
2016-06-05,43
2016-06-12,69
2016-06-19,70
2016-06-26,69
2016-07-03,55
2016-07-10,77
2016-07-17,88
2016-07-24,79
2016-07-31,79
2016-08-07,63
2016-08-14,100
2016-08-21,82
2016-08-28,56
2016-09-04,65
2016-09-11,49
2016-09-18,43
2016-09-25,33
2016-10-02,29
2016-10-09,27
2016-10-16,31
2016-10-23,34
2016-10-30,28
2016-11-06,26
2016-11-13,30
2016-11-20,31
2016-11-27,28
2016-12-04,26
2016-12-11,24
2016-12-18,28
2016-12-25,26
2017-01-01,29
2017-01-08,30
2017-01-15,28
2017-01-22,41
2017-01-29,41
2017-02-05,86
2017-02-12,89
2017-02-19,81
2017-02-26,82
2017-03-05,75
2017-03-12,71
2017-03-19,76
2017-03-26,78
2017-04-02,83
2017-04-09,93
2017-04-16,92
2017-04-23,74
2017-04-30,68
2017-05-07,63
2017-05-14,64
2017-05-21,52
2017-05-28,51
2017-06-04,46
2017-06-11,60
2017-06-18,71
2017-06-25,33
2017-07-02,62
2017-07-09,59
2017-07-16,72
2017-07-23,64
2017-07-30,72
2017-08-06,65
2017-08-13,59
2017-08-20,55
2017-08-27,46
2017-09-03,57
2017-09-10,62
2017-09-17,61
2017-09-24,73
2017-10-01,67
2017-10-08,76
2017-10-15,69
2017-10-22,76
2017-10-29,68
2017-11-05,65
2017-11-12,58
2017-11-19,59
2017-11-26,59
2017-12-03,64
2017-12-10,57
2017-12-17,44
2017-12-24,43
2017-12-31,39
2018-01-07,52
2018-01-14,57
2018-01-21,63
2018-01-28,63
2018-02-04,58
2018-02-11,64
2018-02-18,81
2018-02-25,74
2018-03-04,69
2018-03-11,72
2018-03-18,81
2018-03-25,80
2018-04-01,58
2018-04-08,96
2018-04-15,77
2018-04-22,83
2018-04-29,72
2018-05-06,79
2018-05-13,56
2018-05-20,42
2018-05-27,62
2018-06-03,54
2018-06-10,38
2018-06-17,58
2018-06-24,81
2018-07-01,70
2018-07-08,69
2018-07-15,71
2018-07-22,68
2018-07-29,67
2018-08-05,73
2018-08-12,55
2018-08-19,40
2018-08-26,54
2018-09-02,63
2018-09-09,58
2018-09-16,56
2018-09-23,62
2018-09-30,69
2018-10-07,72
2018-10-14,77
2018-10-21,77
2018-10-28,82
2018-11-04,67
2018-11-11,66
2018-11-18,49
2018-11-25,54
2018-12-02,72
2018-12-09,58
2018-12-16,44
2018-12-23,52
2018-12-30,47
2019-01-06,45
2019-01-13,62
2019-01-20,55
2019-01-27,54
2019-02-03,68
2019-02-10,68
2019-02-17,72
2019-02-24,75
2019-03-03,78
2019-03-10,63
2019-03-17,82
2019-03-24,72
2019-03-31,67
2019-04-07,62
2019-04-14,74
2019-04-21,74
2019-04-28,63
2019-05-05,49
2019-05-12,59
2019-05-19,58
2019-05-26,54
2019-06-02,42
2019-06-09,72
2019-06-16,70
2019-06-23,68
2019-06-30,66
2019-07-07,65
2019-07-14,70
2019-07-21,82
2019-07-28,69
2019-08-04,65
2019-08-11,43
2019-08-18,62
2019-08-25,69
2019-09-01,56
2019-09-08,76
2019-09-15,68
2019-09-22,75
2019-09-29,67
2019-10-06,69
2019-10-13,83
2019-10-20,84
2019-10-27,64
2019-11-03,72
2019-11-10,59
2019-11-17,81
2019-11-24,67
2019-12-01,64
2019-12-08,61
2019-12-15,53
2019-12-22,61
2019-12-29,53
2020-01-05,59
