,Business & Industrial
2023-01-01,78
2023-01-08,82
2023-01-15,81
2023-01-22,82
2023-01-29,79
2023-02-05,83
2023-02-12,85
2023-02-19,84
2023-02-26,79
2023-03-05,75
2023-03-12,78
2023-03-19,76
2023-03-26,77
2023-04-02,69
2023-04-09,59
2023-04-16,71
2023-04-23,75
2023-04-30,69
2023-05-07,76
2023-05-14,78
2023-05-21,79
2023-05-28,77
2023-06-04,77
2023-06-11,80
2023-06-18,87
2023-06-25,84
2023-07-02,86
2023-07-09,85
2023-07-16,87
2023-07-23,81
2023-07-30,81
2023-08-06,85
2023-08-13,83
2023-08-20,84
2023-08-27,79
2023-09-03,81
2023-09-10,78
2023-09-17,81
2023-09-24,77
2023-10-01,80
2023-10-08,76
2023-10-15,80
2023-10-22,79
2023-10-29,77
2023-11-05,79
2023-11-12,78
2023-11-19,83
2023-11-26,82
2023-12-03,81
2023-12-10,80
2023-12-17,83
2023-12-24,73
2023-12-31,92
2024-01-07,100
2024-01-14,92
2024-01-21,79
2024-01-28,85
2024-02-04,85
2024-02-11,88
2024-02-18,83
2024-02-25,87
2024-03-03,85
2024-03-10,84
2024-03-17,86
2024-03-24,86
2024-03-31,79
2024-04-07,68
2024-04-14,72
2024-04-21,79
2024-04-28,86
2024-05-05,85
2024-05-12,85
2024-05-19,72
2024-05-26,84
2024-06-02,86
2024-06-09,85
2024-06-16,79
2024-06-23,82
2024-06-30,87
2024-07-07,87
2024-07-14,89
2024-07-21,91
2024-07-28,87
2024-08-04,83
2024-08-11,93
2024-08-18,85
2024-08-25,87
2024-09-01,91
2024-09-08,84
2024-09-15,75
2024-09-22,78
2024-09-29,81
2024-10-06,85
2024-10-13,83
2024-10-20,87
2024-10-27,88
2024-11-03,80
2024-11-10,78
2024-11-17,84
2024-11-24,92
2024-12-01,91
2024-12-08,89
2024-12-15,87
2024-12-22,84
2024-12-29,82
2025-01-05,85
2025-01-12,86
2025-01-19,89
2025-01-26,81
2025-02-02,84
2025-02-09,87
2025-02-16,89
2025-02-23,87
2025-03-02,91
2025-03-09,86
2025-03-16,91
2025-03-23,86
2025-03-30,85
2025-04-06,79
2025-04-13,64
2025-04-20,86
2025-04-27,80
2025-05-04,83
2025-05-11,77
2025-05-18,91
2025-05-25,83
2025-06-01,92
2025-06-08,84
2025-06-15,90
2025-06-22,94
2025-06-29,91
2025-07-06,85
2025-07-13,86
2025-07-20,90
2025-07-27,91
2025-08-03,86
2025-08-10,90
2025-08-17,84
2025-08-24,91
2025-08-31,93
2025-09-07,86
2025-09-14,85
2025-09-21,86
2025-09-28,84
2025-10-05,85
2025-10-12,86
2025-10-19,84
2025-10-26,83
2025-11-02,81
2025-11-09,84
2025-11-16,91
2025-11-23,88
2025-11-30,75
2025-12-07,82
2025-12-14,87
2025-12-21,83
2025-12-28,85
