,Chemicals Industry
2018-12-30,56
2019-01-06,56
2019-01-13,53
2019-01-20,53
2019-01-27,57
2019-02-03,55
2019-02-10,56
2019-02-17,56
2019-02-24,52
2019-03-03,56
2019-03-10,59
2019-03-17,49
2019-03-24,52
2019-03-31,51
2019-04-07,51
2019-04-14,49
2019-04-21,51
2019-04-28,50
2019-05-05,49
2019-05-12,52
2019-05-19,50
2019-05-26,51
2019-06-02,49
2019-06-09,50
2019-06-16,48
2019-06-23,55
2019-06-30,51
2019-07-07,52
2019-07-14,56
2019-07-21,56
2019-07-28,58
2019-08-04,53
2019-08-11,52
2019-08-18,58
2019-08-25,61
2019-09-01,52
2019-09-08,61
2019-09-15,58
2019-09-22,61
2019-09-29,61
2019-10-06,50
2019-10-13,57
2019-10-20,50
2019-10-27,43
2019-11-03,56
2019-11-10,57
2019-11-17,58
2019-11-24,54
2019-12-01,55
2019-12-08,53
2019-12-15,53
2019-12-22,55
2019-12-29,51
2020-01-05,53
2020-01-12,50
2020-01-19,56
2020-01-26,54
2020-02-02,55
2020-02-09,55
2020-02-16,55
2020-02-23,55
2020-03-01,65
2020-03-08,49
2020-03-15,53
2020-03-22,39
2020-03-29,38
2020-04-05,42
2020-04-12,40
2020-04-19,43
2020-04-26,46
2020-05-03,63
2020-05-10,50
2020-05-17,51
2020-05-24,51
2020-05-31,55
2020-06-07,59
2020-06-14,55
2020-06-21,59
2020-06-28,61
2020-07-05,62
2020-07-12,65
2020-07-19,67
2020-07-26,65
2020-08-02,67
2020-08-09,66
2020-08-16,70
2020-08-23,69
2020-08-30,69
2020-09-06,68
2020-09-13,70
2020-09-20,72
2020-09-27,66
2020-10-04,67
2020-10-11,68
2020-10-18,62
2020-10-25,59
2020-11-01,58
2020-11-08,51
2020-11-15,53
2020-11-22,58
2020-11-29,61
2020-12-06,69
2020-12-13,69
2020-12-20,67
2020-12-27,61
2021-01-03,67
2021-01-10,59
2021-01-17,67
2021-01-24,62
2021-01-31,64
2021-02-07,70
2021-02-14,68
2021-02-21,71
2021-02-28,71
2021-03-07,66
2021-03-14,73
2021-03-21,67
2021-03-28,61
2021-04-04,63
2021-04-11,58
2021-04-18,57
2021-04-25,55
2021-05-02,57
2021-05-09,57
2021-05-16,59
2021-05-23,57
2021-05-30,62
2021-06-06,66
2021-06-13,66
2021-06-20,67
2021-06-27,65
2021-07-04,69
2021-07-11,69
2021-07-18,71
2021-07-25,78
2021-08-01,88
2021-08-08,81
2021-08-15,73
2021-08-22,73
2021-08-29,74
2021-09-05,73
2021-09-12,65
2021-09-19,65
2021-09-26,64
2021-10-03,60
2021-10-10,51
2021-10-17,61
2021-10-24,61
2021-10-31,47
2021-11-07,56
2021-11-14,58
2021-11-21,60
2021-11-28,61
2021-12-05,60
2021-12-12,64
2021-12-19,62
2021-12-26,62
2022-01-02,70
2022-01-09,64
2022-01-16,64
2022-01-23,71
2022-01-30,73
2022-02-06,69
2022-02-13,84
2022-02-20,85
2022-02-27,84
2022-03-06,87
2022-03-13,77
2022-03-20,83
2022-03-27,79
2022-04-03,83
2022-04-10,78
2022-04-17,82
2022-04-24,80
2022-05-01,84
2022-05-08,81
2022-05-15,71
2022-05-22,73
2022-05-29,73
2022-06-05,77
2022-06-12,81
2022-06-19,82
2022-06-26,85
2022-07-03,87
2022-07-10,87
2022-07-17,85
2022-07-24,80
2022-07-31,79
2022-08-07,74
2022-08-14,73
2022-08-21,83
2022-08-28,75
2022-09-04,75
2022-09-11,82
2022-09-18,84
2022-09-25,73
2022-10-02,66
2022-10-09,79
2022-10-16,74
2022-10-23,59
2022-10-30,74
2022-11-06,78
2022-11-13,78
2022-11-20,76
2022-11-27,78
2022-12-04,77
2022-12-11,82
2022-12-18,84
2022-12-25,83
2023-01-01,78
2023-01-08,81
2023-01-15,80
2023-01-22,75
2023-01-29,82
2023-02-05,88
2023-02-12,84
2023-02-19,89
2023-02-26,100
2023-03-05,64
2023-03-12,76
2023-03-19,70
2023-03-26,73
2023-04-02,72
2023-04-09,74
2023-04-16,73
2023-04-23,71
2023-04-30,72
2023-05-07,67
2023-05-14,71
2023-05-21,71
2023-05-28,71
2023-06-04,71
2023-06-11,77
2023-06-18,73
2023-06-25,75
2023-07-02,80
2023-07-09,79
2023-07-16,78
2023-07-23,78
2023-07-30,82
2023-08-06,80
2023-08-13,76
2023-08-20,76
2023-08-27,73
2023-09-03,74
2023-09-10,79
2023-09-17,76
2023-09-24,78
2023-10-01,80
2023-10-08,81
2023-10-15,71
2023-10-22,61
2023-10-29,79
2023-11-05,69
2023-11-12,59
2023-11-19,75
2023-11-26,77
2023-12-03,77
2023-12-10,84
2023-12-17,85
2023-12-24,81
2023-12-31,83
2024-01-07,83
