,Civil Engineering
2014-12-28,32
2015-01-04,35
2015-01-11,30
2015-01-18,32
2015-01-25,30
2015-02-01,33
2015-02-08,32
2015-02-15,33
2015-02-22,38
2015-03-01,30
2015-03-08,34
2015-03-15,34
2015-03-22,35
2015-03-29,37
2015-04-05,37
2015-04-12,33
2015-04-19,35
2015-04-26,33
2015-05-03,35
2015-05-10,34
2015-05-17,33
2015-05-24,32
2015-05-31,32
2015-06-07,30
2015-06-14,31
2015-06-21,33
2015-06-28,44
2015-07-05,40
2015-07-12,40
2015-07-19,40
2015-07-26,41
2015-08-02,43
2015-08-09,41
2015-08-16,42
2015-08-23,40
2015-08-30,39
2015-09-06,47
2015-09-13,45
2015-09-20,43
2015-09-27,43
2015-10-04,51
2015-10-11,53
2015-10-18,44
2015-10-25,51
2015-11-01,48
2015-11-08,36
2015-11-15,43
2015-11-22,42
2015-11-29,42
2015-12-06,43
2015-12-13,41
2015-12-20,40
2015-12-27,38
2016-01-03,39
2016-01-10,39
2016-01-17,44
2016-01-24,39
2016-01-31,41
2016-02-07,43
2016-02-14,42
2016-02-21,41
2016-02-28,40
2016-03-06,40
2016-03-13,39
2016-03-20,34
2016-03-27,49
2016-04-03,41
2016-04-10,40
2016-04-17,41
2016-04-24,46
2016-05-01,40
2016-05-08,40
2016-05-15,40
2016-05-22,40
2016-05-29,39
2016-06-05,39
2016-06-12,39
2016-06-19,40
2016-06-26,39
2016-07-03,37
2016-07-10,39
2016-07-17,43
2016-07-24,44
2016-07-31,46
2016-08-07,44
2016-08-14,40
2016-08-21,46
2016-08-28,43
2016-09-04,41
2016-09-11,41
2016-09-18,53
2016-09-25,47
2016-10-02,44
2016-10-09,40
2016-10-16,47
2016-10-23,42
2016-10-30,44
2016-11-06,45
2016-11-13,45
2016-11-20,47
2016-11-27,51
2016-12-04,44
2016-12-11,43
2016-12-18,46
2016-12-25,43
2017-01-01,43
2017-01-08,37
2017-01-15,41
2017-01-22,36
2017-01-29,43
2017-02-05,41
2017-02-12,46
2017-02-19,43
2017-02-26,44
2017-03-05,47
2017-03-12,37
2017-03-19,48
2017-03-26,44
2017-04-02,47
2017-04-09,48
2017-04-16,50
2017-04-23,47
2017-04-30,46
2017-05-07,46
2017-05-14,47
2017-05-21,64
2017-05-28,49
2017-06-04,45
2017-06-11,45
2017-06-18,44
2017-06-25,43
2017-07-02,47
2017-07-09,49
2017-07-16,51
2017-07-23,46
2017-07-30,53
2017-08-06,45
2017-08-13,46
2017-08-20,49
2017-08-27,49
2017-09-03,42
2017-09-10,53
2017-09-17,52
2017-09-24,41
2017-10-01,45
2017-10-08,54
2017-10-15,39
2017-10-22,58
2017-10-29,60
2017-11-05,62
2017-11-12,63
2017-11-19,63
2017-11-26,68
2017-12-03,63
2017-12-10,58
2017-12-17,55
2017-12-24,48
2017-12-31,50
2018-01-07,46
2018-01-14,50
2018-01-21,48
2018-01-28,53
2018-02-04,56
2018-02-11,52
2018-02-18,54
2018-02-25,49
2018-03-04,49
2018-03-11,51
2018-03-18,59
2018-03-25,55
2018-04-01,59
2018-04-08,58
2018-04-15,60
2018-04-22,58
2018-04-29,56
2018-05-06,62
2018-05-13,61
2018-05-20,55
2018-05-27,52
2018-06-03,48
2018-06-10,46
2018-06-17,48
2018-06-24,51
2018-07-01,50
2018-07-08,56
2018-07-15,54
2018-07-22,57
2018-07-29,63
2018-08-05,63
2018-08-12,58
2018-08-19,60
2018-08-26,66
2018-09-02,100
2018-09-09,65
2018-09-16,70
2018-09-23,70
2018-09-30,70
2018-10-07,71
2018-10-14,56
2018-10-21,75
2018-10-28,76
2018-11-04,52
2018-11-11,76
2018-11-18,73
2018-11-25,76
2018-12-02,76
2018-12-09,73
2018-12-16,74
2018-12-23,100
2018-12-30,68
2019-01-06,71
2019-01-13,54
2019-01-20,60
2019-01-27,69
2019-02-03,62
2019-02-10,67
2019-02-17,64
2019-02-24,60
2019-03-03,64
2019-03-10,77
2019-03-17,54
2019-03-24,62
2019-03-31,61
2019-04-07,58
2019-04-14,55
2019-04-21,61
2019-04-28,61
2019-05-05,61
2019-05-12,62
2019-05-19,57
2019-05-26,60
2019-06-02,54
2019-06-09,60
2019-06-16,63
2019-06-23,59
2019-06-30,54
2019-07-07,57
2019-07-14,64
2019-07-21,66
2019-07-28,65
2019-08-04,73
2019-08-11,60
2019-08-18,72
2019-08-25,71
2019-09-01,64
2019-09-08,76
2019-09-15,69
2019-09-22,71
2019-09-29,60
2019-10-06,53
2019-10-13,67
2019-10-20,56
2019-10-27,50
2019-11-03,69
2019-11-10,71
2019-11-17,76
2019-11-24,74
2019-12-01,69
2019-12-08,64
2019-12-15,63
2019-12-22,56
2019-12-29,55
2020-01-05,61
