,Cleaning Supplies & Services
2023-01-01,68
2023-01-08,63
2023-01-15,67
2023-01-22,65
2023-01-29,71
2023-02-05,67
2023-02-12,60
2023-02-19,63
2023-02-26,71
2023-03-05,66
2023-03-12,75
2023-03-19,71
2023-03-26,74
2023-04-02,65
2023-04-09,52
2023-04-16,70
2023-04-23,70
2023-04-30,59
2023-05-07,80
2023-05-14,69
2023-05-21,64
2023-05-28,61
2023-06-04,79
2023-06-11,73
2023-06-18,67
2023-06-25,68
2023-07-02,57
2023-07-09,66
2023-07-16,71
2023-07-23,61
2023-07-30,73
2023-08-06,62
2023-08-13,60
2023-08-20,63
2023-08-27,64
2023-09-03,66
2023-09-10,66
2023-09-17,73
2023-09-24,69
2023-10-01,71
2023-10-08,65
2023-10-15,58
2023-10-22,66
2023-10-29,62
2023-11-05,70
2023-11-12,66
2023-11-19,65
2023-11-26,73
2023-12-03,61
2023-12-10,70
2023-12-17,63
2023-12-24,57
2023-12-31,74
2024-01-07,77
2024-01-14,71
2024-01-21,68
2024-01-28,67
2024-02-04,74
2024-02-11,72
2024-02-18,82
2024-02-25,78
2024-03-03,76
2024-03-10,78
2024-03-17,77
2024-03-24,72
2024-03-31,72
2024-04-07,68
2024-04-14,58
2024-04-21,73
2024-04-28,64
2024-05-05,66
2024-05-12,69
2024-05-19,57
2024-05-26,70
2024-06-02,77
2024-06-09,75
2024-06-16,81
2024-06-23,81
2024-06-30,78
2024-07-07,74
2024-07-14,68
2024-07-21,71
2024-07-28,81
2024-08-04,66
2024-08-11,84
2024-08-18,71
2024-08-25,74
2024-09-01,70
2024-09-08,70
2024-09-15,63
2024-09-22,72
2024-09-29,70
2024-10-06,64
2024-10-13,70
2024-10-20,75
2024-10-27,60
2024-11-03,70
2024-11-10,77
2024-11-17,64
2024-11-24,78
2024-12-01,76
2024-12-08,78
2024-12-15,79
2024-12-22,87
2024-12-29,93
2025-01-05,93
2025-01-12,77
2025-01-19,76
2025-01-26,91
2025-02-02,92
2025-02-09,85
2025-02-16,79
2025-02-23,83
2025-03-02,65
2025-03-09,68
2025-03-16,80
2025-03-23,77
2025-03-30,65
2025-04-06,71
2025-04-13,57
2025-04-20,82
2025-04-27,75
2025-05-04,68
2025-05-11,67
2025-05-18,74
2025-05-25,80
2025-06-01,80
2025-06-08,67
2025-06-15,80
2025-06-22,84
2025-06-29,79
2025-07-06,71
2025-07-13,77
2025-07-20,78
2025-07-27,74
2025-08-03,74
2025-08-10,71
2025-08-17,75
2025-08-24,71
2025-08-31,68
2025-09-07,67
2025-09-14,83
2025-09-21,85
2025-09-28,68
2025-10-05,72
2025-10-12,73
2025-10-19,68
2025-10-26,70
2025-11-02,63
2025-11-09,76
2025-11-16,77
2025-11-23,71
2025-11-30,93
2025-12-07,81
2025-12-14,84
2025-12-21,82
2025-12-28,74
2026-01-04,100
