,Coatings & Adhesives
2023-01-01,58
2023-01-08,59
2023-01-15,48
2023-01-22,52
2023-01-29,68
2023-02-05,54
2023-02-12,59
2023-02-19,59
2023-02-26,57
2023-03-05,51
2023-03-12,55
2023-03-19,52
2023-03-26,49
2023-04-02,53
2023-04-09,37
2023-04-16,45
2023-04-23,48
2023-04-30,42
2023-05-07,43
2023-05-14,53
2023-05-21,51
2023-05-28,51
2023-06-04,62
2023-06-11,58
2023-06-18,61
2023-06-25,58
2023-07-02,65
2023-07-09,57
2023-07-16,70
2023-07-23,62
2023-07-30,62
2023-08-06,63
2023-08-13,64
2023-08-20,63
2023-08-27,60
2023-09-03,61
2023-09-10,54
2023-09-17,66
2023-09-24,60
2023-10-01,71
2023-10-08,59
2023-10-15,60
2023-10-22,59
2023-10-29,59
2023-11-05,70
2023-11-12,67
2023-11-19,63
2023-11-26,62
2023-12-03,62
2023-12-10,63
2023-12-17,64
2023-12-24,49
2023-12-31,56
2024-01-07,71
2024-01-14,60
2024-01-21,58
2024-01-28,64
2024-02-04,70
2024-02-11,66
2024-02-18,55
2024-02-25,62
2024-03-03,62
2024-03-10,64
2024-03-17,69
2024-03-24,72
2024-03-31,53
2024-04-07,49
2024-04-14,43
2024-04-21,51
2024-04-28,59
2024-05-05,66
2024-05-12,57
2024-05-19,53
2024-05-26,66
2024-06-02,58
2024-06-09,72
2024-06-16,51
2024-06-23,60
2024-06-30,63
2024-07-07,64
2024-07-14,64
2024-07-21,75
2024-07-28,93
2024-08-04,100
2024-08-11,77
2024-08-18,57
2024-08-25,58
2024-09-01,55
2024-09-08,66
2024-09-15,49
2024-09-22,50
2024-09-29,68
2024-10-06,62
2024-10-13,64
2024-10-20,68
2024-10-27,67
2024-11-03,62
2024-11-10,53
2024-11-17,62
2024-11-24,62
2024-12-01,58
2024-12-08,69
2024-12-15,64
2024-12-22,57
2024-12-29,65
2025-01-05,67
2025-01-12,70
2025-01-19,62
2025-01-26,61
2025-02-02,50
2025-02-09,54
2025-02-16,72
2025-02-23,63
2025-03-02,67
2025-03-09,65
2025-03-16,61
2025-03-23,69
2025-03-30,60
2025-04-06,56
2025-04-13,34
2025-04-20,56
2025-04-27,63
2025-05-04,61
2025-05-11,50
2025-05-18,66
2025-05-25,60
2025-06-01,57
2025-06-08,56
2025-06-15,66
2025-06-22,59
2025-06-29,54
2025-07-06,63
2025-07-13,62
2025-07-20,60
2025-07-27,78
2025-08-03,56
2025-08-10,60
2025-08-17,63
2025-08-24,56
2025-08-31,56
2025-09-07,55
2025-09-14,64
2025-09-21,63
2025-09-28,59
2025-10-05,52
2025-10-12,70
2025-10-19,63
2025-10-26,54
2025-11-02,55
2025-11-09,45
2025-11-16,76
2025-11-23,52
2025-11-30,54
2025-12-07,56
2025-12-14,69
2025-12-21,64
2025-12-28,61
