,Computers & Electronics
2014-12-28,84
2015-01-04,78
2015-01-11,83
2015-01-18,84
2015-01-25,89
2015-02-01,90
2015-02-08,87
2015-02-15,91
2015-02-22,86
2015-03-01,88
2015-03-08,90
2015-03-15,83
2015-03-22,87
2015-03-29,93
2015-04-05,90
2015-04-12,87
2015-04-19,84
2015-04-26,87
2015-05-03,83
2015-05-10,84
2015-05-17,86
2015-05-24,80
2015-05-31,82
2015-06-07,76
2015-06-14,70
2015-06-21,77
2015-06-28,84
2015-07-05,88
2015-07-12,86
2015-07-19,86
2015-07-26,82
2015-08-02,98
2015-08-09,95
2015-08-16,98
2015-08-23,88
2015-08-30,85
2015-09-06,95
2015-09-13,87
2015-09-20,72
2015-09-27,89
2015-10-04,93
2015-10-11,100
2015-10-18,89
2015-10-25,87
2015-11-01,89
2015-11-08,87
2015-11-15,86
2015-11-22,83
2015-11-29,83
2015-12-06,77
2015-12-13,81
2015-12-20,86
2015-12-27,86
2016-01-03,81
2016-01-10,76
2016-01-17,82
2016-01-24,77
2016-01-31,83
2016-02-07,83
2016-02-14,84
2016-02-21,78
2016-02-28,84
2016-03-06,84
2016-03-13,85
2016-03-20,87
2016-03-27,85
2016-04-03,85
2016-04-10,87
2016-04-17,87
2016-04-24,90
2016-05-01,87
2016-05-08,88
2016-05-15,90
2016-05-22,87
2016-05-29,87
2016-06-05,75
2016-06-12,85
2016-06-19,86
2016-06-26,84
2016-07-03,84
2016-07-10,93
2016-07-17,92
2016-07-24,86
2016-07-31,100
2016-08-07,73
2016-08-14,92
2016-08-21,94
2016-08-28,61
2016-09-04,91
2016-09-11,76
2016-09-18,50
2016-09-25,32
2016-10-02,33
2016-10-09,34
2016-10-16,37
2016-10-23,32
2016-10-30,34
2016-11-06,33
2016-11-13,34
2016-11-20,33
2016-11-27,31
2016-12-04,32
2016-12-11,32
2016-12-18,35
2016-12-25,37
2017-01-01,36
2017-01-08,36
2017-01-15,34
2017-01-22,36
2017-01-29,48
2017-02-05,82
2017-02-12,81
2017-02-19,89
2017-02-26,80
2017-03-05,76
2017-03-12,86
2017-03-19,82
2017-03-26,89
2017-04-02,87
2017-04-09,90
2017-04-16,88
2017-04-23,96
2017-04-30,91
2017-05-07,82
2017-05-14,78
2017-05-21,73
2017-05-28,68
2017-06-04,71
2017-06-11,68
2017-06-18,64
2017-06-25,57
2017-07-02,74
2017-07-09,73
2017-07-16,80
2017-07-23,71
2017-07-30,76
2017-08-06,80
2017-08-13,80
2017-08-20,78
2017-08-27,67
2017-09-03,66
2017-09-10,78
2017-09-17,75
2017-09-24,75
2017-10-01,74
2017-10-08,77
2017-10-15,79
2017-10-22,75
2017-10-29,79
2017-11-05,79
2017-11-12,78
2017-11-19,77
2017-11-26,73
2017-12-03,75
2017-12-10,73
2017-12-17,76
2017-12-24,79
2017-12-31,73
2018-01-07,75
2018-01-14,76
2018-01-21,77
2018-01-28,79
2018-02-04,85
2018-02-11,90
2018-02-18,81
2018-02-25,80
2018-03-04,79
2018-03-11,79
2018-03-18,81
2018-03-25,80
2018-04-01,82
2018-04-08,79
2018-04-15,81
2018-04-22,78
2018-04-29,81
2018-05-06,77
2018-05-13,69
2018-05-20,75
2018-05-27,74
2018-06-03,72
2018-06-10,70
2018-06-17,69
2018-06-24,74
2018-07-01,78
2018-07-08,75
2018-07-15,78
2018-07-22,78
2018-07-29,77
2018-08-05,78
2018-08-12,75
2018-08-19,62
2018-08-26,76
2018-09-02,78
2018-09-09,73
2018-09-16,72
2018-09-23,71
2018-09-30,78
2018-10-07,91
2018-10-14,81
2018-10-21,81
2018-10-28,78
2018-11-04,72
2018-11-11,70
2018-11-18,69
2018-11-25,62
2018-12-02,68
2018-12-09,70
2018-12-16,68
2018-12-23,78
2018-12-30,72
2019-01-06,74
2019-01-13,71
2019-01-20,74
2019-01-27,79
2019-02-03,78
2019-02-10,79
2019-02-17,78
2019-02-24,82
2019-03-03,87
2019-03-10,73
2019-03-17,78
2019-03-24,78
2019-03-31,78
2019-04-07,74
2019-04-14,82
2019-04-21,75
2019-04-28,74
2019-05-05,64
2019-05-12,69
2019-05-19,69
2019-05-26,69
2019-06-02,65
2019-06-09,76
2019-06-16,85
2019-06-23,81
2019-06-30,78
2019-07-07,77
2019-07-14,90
2019-07-21,76
2019-07-28,75
2019-08-04,73
2019-08-11,62
2019-08-18,79
2019-08-25,79
2019-09-01,81
2019-09-08,77
2019-09-15,78
2019-09-22,74
2019-09-29,75
2019-10-06,75
2019-10-13,76
2019-10-20,75
2019-10-27,80
2019-11-03,72
2019-11-10,79
2019-11-17,73
2019-11-24,74
2019-12-01,74
2019-12-08,82
2019-12-15,79
2019-12-22,87
2019-12-29,77
2020-01-05,79
