,Consulting
2014-12-28,32
2015-01-04,43
2015-01-11,55
2015-01-18,59
2015-01-25,29
2015-02-01,38
2015-02-08,48
2015-02-15,45
2015-02-22,56
2015-03-01,43
2015-03-08,40
2015-03-15,50
2015-03-22,54
2015-03-29,45
2015-04-05,31
2015-04-12,42
2015-04-19,53
2015-04-26,42
2015-05-03,39
2015-05-10,42
2015-05-17,46
2015-05-24,51
2015-05-31,55
2015-06-07,51
2015-06-14,44
2015-06-21,49
2015-06-28,55
2015-07-05,58
2015-07-12,50
2015-07-19,63
2015-07-26,51
2015-08-02,65
2015-08-09,52
2015-08-16,42
2015-08-23,62
2015-08-30,47
2015-09-06,58
2015-09-13,53
2015-09-20,53
2015-09-27,55
2015-10-04,64
2015-10-11,56
2015-10-18,57
2015-10-25,48
2015-11-01,59
2015-11-08,52
2015-11-15,37
2015-11-22,42
2015-11-29,47
2015-12-06,54
2015-12-13,46
2015-12-20,41
2015-12-27,45
2016-01-03,65
2016-01-10,48
2016-01-17,56
2016-01-24,56
2016-01-31,45
2016-02-07,67
2016-02-14,61
2016-02-21,45
2016-02-28,52
2016-03-06,61
2016-03-13,47
2016-03-20,49
2016-03-27,46
2016-04-03,41
2016-04-10,32
2016-04-17,45
2016-04-24,61
2016-05-01,64
2016-05-08,65
2016-05-15,51
2016-05-22,50
2016-05-29,71
2016-06-05,72
2016-06-12,66
2016-06-19,67
2016-06-26,61
2016-07-03,52
2016-07-10,69
2016-07-17,57
2016-07-24,61
2016-07-31,46
2016-08-07,65
2016-08-14,57
2016-08-21,65
2016-08-28,66
2016-09-04,80
2016-09-11,55
2016-09-18,76
2016-09-25,72
2016-10-02,75
2016-10-09,65
2016-10-16,64
2016-10-23,61
2016-10-30,63
2016-11-06,77
2016-11-13,69
2016-11-20,57
2016-11-27,46
2016-12-04,65
2016-12-11,45
2016-12-18,54
2016-12-25,44
2017-01-01,61
2017-01-08,59
2017-01-15,67
2017-01-22,76
2017-01-29,60
2017-02-05,64
2017-02-12,69
2017-02-19,75
2017-02-26,81
2017-03-05,52
2017-03-12,82
2017-03-19,65
2017-03-26,69
2017-04-02,73
2017-04-09,42
2017-04-16,68
2017-04-23,65
2017-04-30,84
2017-05-07,53
2017-05-14,72
2017-05-21,69
2017-05-28,71
2017-06-04,65
2017-06-11,59
2017-06-18,68
2017-06-25,67
2017-07-02,85
2017-07-09,88
2017-07-16,70
2017-07-23,68
2017-07-30,62
2017-08-06,68
2017-08-13,66
2017-08-20,83
2017-08-27,63
2017-09-03,67
2017-09-10,89
2017-09-17,72
2017-09-24,65
2017-10-01,62
2017-10-08,65
2017-10-15,74
2017-10-22,72
2017-10-29,68
2017-11-05,74
2017-11-12,71
2017-11-19,55
2017-11-26,56
2017-12-03,57
2017-12-10,65
2017-12-17,58
2017-12-24,46
2017-12-31,63
2018-01-07,49
2018-01-14,77
2018-01-21,59
2018-01-28,55
2018-02-04,72
2018-02-11,79
2018-02-18,82
2018-02-25,66
2018-03-04,61
2018-03-11,72
2018-03-18,57
2018-03-25,75
2018-04-01,67
2018-04-08,42
2018-04-15,47
2018-04-22,70
2018-04-29,68
2018-05-06,71
2018-05-13,72
2018-05-20,78
2018-05-27,66
2018-06-03,81
2018-06-10,61
2018-06-17,65
2018-06-24,77
2018-07-01,76
2018-07-08,96
2018-07-15,68
2018-07-22,75
2018-07-29,80
2018-08-05,67
2018-08-12,62
2018-08-19,69
2018-08-26,64
2018-09-02,81
2018-09-09,72
2018-09-16,81
2018-09-23,71
2018-09-30,71
2018-10-07,88
2018-10-14,80
2018-10-21,75
2018-10-28,95
2018-11-04,61
2018-11-11,77
2018-11-18,51
2018-11-25,61
2018-12-02,65
2018-12-09,60
2018-12-16,86
2018-12-23,57
2018-12-30,77
2019-01-06,85
2019-01-13,79
2019-01-20,75
2019-01-27,80
2019-02-03,79
2019-02-10,79
2019-02-17,84
2019-02-24,79
2019-03-03,75
2019-03-10,83
2019-03-17,84
2019-03-24,70
2019-03-31,60
2019-04-07,48
2019-04-14,50
2019-04-21,48
2019-04-28,60
2019-05-05,68
2019-05-12,71
2019-05-19,75
2019-05-26,86
2019-06-02,89
2019-06-09,88
2019-06-16,100
2019-06-23,90
2019-06-30,95
2019-07-07,95
2019-07-14,81
2019-07-21,94
2019-07-28,72
2019-08-04,75
2019-08-11,73
2019-08-18,76
2019-08-25,76
2019-09-01,90
2019-09-08,73
2019-09-15,87
2019-09-22,84
2019-09-29,65
2019-10-06,80
2019-10-13,84
2019-10-20,93
2019-10-27,74
2019-11-03,76
2019-11-10,58
2019-11-17,71
2019-11-24,73
2019-12-01,55
2019-12-08,59
2019-12-15,67
2019-12-22,56
2019-12-29,67
2020-01-05,68
