,Consumer Electronics
2014-12-28,82
2015-01-04,72
2015-01-11,73
2015-01-18,74
2015-01-25,80
2015-02-01,81
2015-02-08,70
2015-02-15,84
2015-02-22,67
2015-03-01,82
2015-03-08,82
2015-03-15,77
2015-03-22,72
2015-03-29,83
2015-04-05,78
2015-04-12,70
2015-04-19,72
2015-04-26,70
2015-05-03,72
2015-05-10,78
2015-05-17,75
2015-05-24,76
2015-05-31,72
2015-06-07,69
2015-06-14,67
2015-06-21,77
2015-06-28,82
2015-07-05,86
2015-07-12,76
2015-07-19,83
2015-07-26,77
2015-08-02,82
2015-08-09,87
2015-08-16,85
2015-08-23,84
2015-08-30,77
2015-09-06,100
2015-09-13,78
2015-09-20,71
2015-09-27,85
2015-10-04,79
2015-10-11,82
2015-10-18,86
2015-10-25,81
2015-11-01,72
2015-11-08,79
2015-11-15,80
2015-11-22,83
2015-11-29,74
2015-12-06,82
2015-12-13,83
2015-12-20,79
2015-12-27,87
2016-01-03,91
2016-01-10,72
2016-01-17,78
2016-01-24,73
2016-01-31,78
2016-02-07,76
2016-02-14,76
2016-02-21,61
2016-02-28,73
2016-03-06,72
2016-03-13,74
2016-03-20,79
2016-03-27,72
2016-04-03,71
2016-04-10,82
2016-04-17,83
2016-04-24,74
2016-05-01,65
2016-05-08,94
2016-05-15,77
2016-05-22,75
2016-05-29,83
2016-06-05,70
2016-06-12,80
2016-06-19,87
2016-06-26,73
2016-07-03,79
2016-07-10,92
2016-07-17,88
2016-07-24,88
2016-07-31,88
2016-08-07,71
2016-08-14,81
2016-08-21,91
2016-08-28,56
2016-09-04,81
2016-09-11,78
2016-09-18,47
2016-09-25,31
2016-10-02,32
2016-10-09,33
2016-10-16,29
2016-10-23,35
2016-10-30,32
2016-11-06,27
2016-11-13,33
2016-11-20,34
2016-11-27,30
2016-12-04,35
2016-12-11,36
2016-12-18,32
2016-12-25,38
2017-01-01,31
2017-01-08,26
2017-01-15,30
2017-01-22,35
2017-01-29,43
2017-02-05,78
2017-02-12,80
2017-02-19,79
2017-02-26,79
2017-03-05,71
2017-03-12,80
2017-03-19,85
2017-03-26,84
2017-04-02,74
2017-04-09,85
2017-04-16,82
2017-04-23,77
2017-04-30,81
2017-05-07,77
2017-05-14,67
2017-05-21,65
2017-05-28,71
2017-06-04,69
2017-06-11,73
2017-06-18,66
2017-06-25,62
2017-07-02,64
2017-07-09,68
2017-07-16,75
2017-07-23,69
2017-07-30,75
2017-08-06,77
2017-08-13,80
2017-08-20,71
2017-08-27,59
2017-09-03,62
2017-09-10,67
2017-09-17,66
2017-09-24,68
2017-10-01,75
2017-10-08,70
2017-10-15,70
2017-10-22,68
2017-10-29,80
2017-11-05,83
2017-11-12,82
2017-11-19,87
2017-11-26,78
2017-12-03,83
2017-12-10,77
2017-12-17,88
2017-12-24,83
2017-12-31,73
2018-01-07,77
2018-01-14,74
2018-01-21,75
2018-01-28,83
2018-02-04,70
2018-02-11,82
2018-02-18,84
2018-02-25,76
2018-03-04,74
2018-03-11,73
2018-03-18,75
2018-03-25,82
2018-04-01,80
2018-04-08,71
2018-04-15,84
2018-04-22,79
2018-04-29,85
2018-05-06,77
2018-05-13,65
2018-05-20,81
2018-05-27,71
2018-06-03,67
2018-06-10,73
2018-06-17,77
2018-06-24,75
2018-07-01,87
2018-07-08,79
2018-07-15,77
2018-07-22,85
2018-07-29,81
2018-08-05,77
2018-08-12,79
2018-08-19,75
2018-08-26,77
2018-09-02,82
2018-09-09,79
2018-09-16,76
2018-09-23,76
2018-09-30,77
2018-10-07,85
2018-10-14,88
2018-10-21,92
2018-10-28,88
2018-11-04,79
2018-11-11,83
2018-11-18,85
2018-11-25,76
2018-12-02,82
2018-12-09,79
2018-12-16,82
2018-12-23,95
2018-12-30,83
2019-01-06,78
2019-01-13,77
2019-01-20,80
2019-01-27,84
2019-02-03,90
2019-02-10,88
2019-02-17,79
2019-02-24,95
2019-03-03,78
2019-03-10,77
2019-03-17,88
2019-03-24,84
2019-03-31,80
2019-04-07,74
2019-04-14,88
2019-04-21,77
2019-04-28,80
2019-05-05,69
2019-05-12,75
2019-05-19,76
2019-05-26,69
2019-06-02,73
2019-06-09,84
2019-06-16,85
2019-06-23,72
2019-06-30,81
2019-07-07,89
2019-07-14,86
2019-07-21,84
2019-07-28,85
2019-08-04,72
2019-08-11,71
2019-08-18,75
2019-08-25,76
2019-09-01,78
2019-09-08,78
2019-09-15,66
2019-09-22,75
2019-09-29,84
2019-10-06,82
2019-10-13,81
2019-10-20,80
2019-10-27,75
2019-11-03,79
2019-11-10,74
2019-11-17,80
2019-11-24,84
2019-12-01,78
2019-12-08,81
2019-12-15,96
2019-12-22,95
2019-12-29,85
2020-01-05,84
