,Dyes & Pigments
2023-01-01,91
2023-01-08,100
2023-01-15,78
2023-01-22,64
2023-01-29,82
2023-02-05,76
2023-02-12,83
2023-02-19,92
2023-02-26,70
2023-03-05,66
2023-03-12,82
2023-03-19,68
2023-03-26,81
2023-04-02,77
2023-04-09,51
2023-04-16,59
2023-04-23,60
2023-04-30,68
2023-05-07,69
2023-05-14,68
2023-05-21,84
2023-05-28,93
2023-06-04,81
2023-06-11,77
2023-06-18,78
2023-06-25,79
2023-07-02,67
2023-07-09,80
2023-07-16,94
2023-07-23,80
2023-07-30,79
2023-08-06,72
2023-08-13,82
2023-08-20,85
2023-08-27,82
2023-09-03,75
2023-09-10,87
2023-09-17,86
2023-09-24,79
2023-10-01,76
2023-10-08,77
2023-10-15,85
2023-10-22,86
2023-10-29,77
2023-11-05,79
2023-11-12,78
2023-11-19,74
2023-11-26,67
2023-12-03,84
2023-12-10,75
2023-12-17,82
2023-12-24,75
2023-12-31,70
2024-01-07,71
2024-01-14,82
2024-01-21,79
2024-01-28,76
2024-02-04,71
2024-02-11,92
2024-02-18,86
2024-02-25,63
2024-03-03,88
2024-03-10,80
2024-03-17,68
2024-03-24,86
2024-03-31,77
2024-04-07,60
2024-04-14,75
2024-04-21,63
2024-04-28,66
2024-05-05,77
2024-05-12,93
2024-05-19,71
2024-05-26,56
2024-06-02,67
2024-06-09,86
2024-06-16,72
2024-06-23,67
2024-06-30,74
2024-07-07,73
2024-07-14,71
2024-07-21,86
2024-07-28,85
2024-08-04,81
2024-08-11,77
2024-08-18,78
2024-08-25,94
2024-09-01,64
2024-09-08,82
2024-09-15,68
2024-09-22,70
2024-09-29,62
2024-10-06,83
2024-10-13,75
2024-10-20,73
2024-10-27,69
2024-11-03,78
2024-11-10,82
2024-11-17,86
2024-11-24,64
2024-12-01,75
2024-12-08,80
2024-12-15,92
2024-12-22,79
2024-12-29,88
2025-01-05,87
2025-01-12,82
2025-01-19,73
2025-01-26,68
2025-02-02,79
2025-02-09,77
2025-02-16,81
2025-02-23,95
2025-03-02,79
2025-03-09,78
2025-03-16,84
2025-03-23,65
2025-03-30,89
2025-04-06,69
2025-04-13,67
2025-04-20,73
2025-04-27,56
2025-05-04,62
2025-05-11,83
2025-05-18,85
2025-05-25,79
2025-06-01,84
2025-06-08,70
2025-06-15,79
2025-06-22,95
2025-06-29,70
2025-07-06,70
2025-07-13,85
2025-07-20,73
2025-07-27,77
2025-08-03,100
2025-08-10,77
2025-08-17,70
2025-08-24,85
2025-08-31,73
2025-09-07,92
2025-09-14,69
2025-09-21,71
2025-09-28,81
2025-10-05,85
2025-10-12,96
2025-10-19,67
2025-10-26,82
2025-11-02,63
2025-11-09,62
2025-11-16,62
2025-11-23,58
2025-11-30,56
2025-12-07,66
2025-12-14,79
2025-12-21,64
2025-12-28,72
