,Economy News
2018-12-30,21
2019-01-06,20
2019-01-13,15
2019-01-20,22
2019-01-27,16
2019-02-03,18
2019-02-10,18
2019-02-17,19
2019-02-24,16
2019-03-03,16
2019-03-10,15
2019-03-17,21
2019-03-24,19
2019-03-31,17
2019-04-07,14
2019-04-14,13
2019-04-21,100
2019-04-28,27
2019-05-05,23
2019-05-12,34
2019-05-19,16
2019-05-26,24
2019-06-02,13
2019-06-09,17
2019-06-16,22
2019-06-23,21
2019-06-30,17
2019-07-07,18
2019-07-14,19
2019-07-21,22
2019-07-28,16
2019-08-04,23
2019-08-11,23
2019-08-18,20
2019-08-25,20
2019-09-01,16
2019-09-08,19
2019-09-15,18
2019-09-22,24
2019-09-29,20
2019-10-06,13
2019-10-13,15
2019-10-20,13
2019-10-27,20
2019-11-03,14
2019-11-10,19
2019-11-17,14
2019-11-24,11
2019-12-01,16
2019-12-08,18
2019-12-15,20
2019-12-22,18
2019-12-29,23
2020-01-05,25
2020-01-12,15
2020-01-19,17
2020-01-26,24
2020-02-02,21
2020-02-09,25
2020-02-16,25
2020-02-23,23
2020-03-01,22
2020-03-08,47
2020-03-15,60
2020-03-22,50
2020-03-29,44
2020-04-05,41
2020-04-12,33
2020-04-19,33
2020-04-26,29
2020-05-03,33
2020-05-10,18
2020-05-17,26
2020-05-24,19
2020-05-31,34
2020-06-07,18
2020-06-14,18
2020-06-21,22
2020-06-28,18
2020-07-05,24
2020-07-12,22
2020-07-19,16
2020-07-26,17
2020-08-02,17
2020-08-09,21
2020-08-16,21
2020-08-23,25
2020-08-30,19
2020-09-06,21
2020-09-13,21
2020-09-20,21
2020-09-27,20
2020-10-04,21
2020-10-11,17
2020-10-18,19
2020-10-25,17
2020-11-01,20
2020-11-08,21
2020-11-15,18
2020-11-22,17
2020-11-29,23
2020-12-06,14
2020-12-13,21
2020-12-20,15
2020-12-27,15
2021-01-03,15
2021-01-10,26
2021-01-17,16
2021-01-24,17
2021-01-31,19
2021-02-07,17
2021-02-14,14
2021-02-21,17
2021-02-28,15
2021-03-07,14
2021-03-14,19
2021-03-21,18
2021-03-28,15
2021-04-04,16
2021-04-11,12
2021-04-18,17
2021-04-25,23
2021-05-02,21
2021-05-09,27
2021-05-16,21
2021-05-23,21
2021-05-30,18
2021-06-06,18
2021-06-13,24
2021-06-20,17
2021-06-27,26
2021-07-04,22
2021-07-11,21
2021-07-18,19
2021-07-25,24
2021-08-01,18
2021-08-08,21
2021-08-15,25
2021-08-22,20
2021-08-29,24
2021-09-05,18
2021-09-12,19
2021-09-19,16
2021-09-26,22
2021-10-03,16
2021-10-10,21
2021-10-17,20
2021-10-24,15
2021-10-31,17
2021-11-07,17
2021-11-14,18
2021-11-21,15
2021-11-28,15
2021-12-05,14
2021-12-12,18
2021-12-19,25
2021-12-26,18
2022-01-02,35
2022-01-09,28
2022-01-16,33
2022-01-23,32
2022-01-30,34
2022-02-06,36
2022-02-13,32
2022-02-20,37
2022-02-27,45
2022-03-06,48
2022-03-13,49
2022-03-20,51
2022-03-27,62
2022-04-03,64
2022-04-10,40
2022-04-17,68
2022-04-24,58
2022-05-01,56
2022-05-08,59
2022-05-15,58
2022-05-22,61
2022-05-29,43
2022-06-05,51
2022-06-12,49
2022-06-19,52
2022-06-26,56
2022-07-03,55
2022-07-10,63
2022-07-17,49
2022-07-24,54
2022-07-31,49
2022-08-07,38
2022-08-14,38
2022-08-21,38
2022-08-28,45
2022-09-04,42
2022-09-11,44
2022-09-18,43
2022-09-25,49
2022-10-02,34
2022-10-09,51
2022-10-16,37
2022-10-23,34
2022-10-30,40
2022-11-06,34
2022-11-13,41
2022-11-20,39
2022-11-27,35
2022-12-04,35
2022-12-11,28
2022-12-18,31
2022-12-25,36
2023-01-01,29
2023-01-08,29
2023-01-15,38
2023-01-22,35
2023-01-29,35
2023-02-05,37
2023-02-12,32
2023-02-19,34
2023-02-26,44
2023-03-05,38
2023-03-12,33
2023-03-19,31
2023-03-26,30
2023-04-02,22
2023-04-09,25
2023-04-16,25
2023-04-23,29
2023-04-30,29
2023-05-07,29
2023-05-14,33
2023-05-21,38
2023-05-28,56
2023-06-04,34
2023-06-11,30
2023-06-18,31
2023-06-25,32
2023-07-02,24
2023-07-09,31
2023-07-16,27
2023-07-23,33
2023-07-30,26
2023-08-06,32
2023-08-13,33
2023-08-20,22
2023-08-27,29
2023-09-03,22
2023-09-10,24
2023-09-17,35
2023-09-24,25
2023-10-01,24
2023-10-08,28
2023-10-15,26
2023-10-22,28
2023-10-29,23
2023-11-05,25
2023-11-12,29
2023-11-19,22
2023-11-26,27
2023-12-03,23
2023-12-10,23
2023-12-17,30
2023-12-24,25
2023-12-31,31
2024-01-07,38
