,Education
2014-12-28,47
2015-01-04,57
2015-01-11,75
2015-01-18,83
2015-01-25,72
2015-02-01,70
2015-02-08,74
2015-02-15,72
2015-02-22,75
2015-03-01,75
2015-03-08,72
2015-03-15,70
2015-03-22,66
2015-03-29,81
2015-04-05,84
2015-04-12,83
2015-04-19,76
2015-04-26,78
2015-05-03,78
2015-05-10,85
2015-05-17,86
2015-05-24,65
2015-05-31,60
2015-06-07,54
2015-06-14,50
2015-06-21,57
2015-06-28,58
2015-07-05,63
2015-07-12,57
2015-07-19,63
2015-07-26,57
2015-08-02,78
2015-08-09,87
2015-08-16,87
2015-08-23,74
2015-08-30,66
2015-09-06,81
2015-09-13,72
2015-09-20,46
2015-09-27,69
2015-10-04,79
2015-10-11,72
2015-10-18,80
2015-10-25,87
2015-11-01,80
2015-11-08,70
2015-11-15,56
2015-11-22,50
2015-11-29,48
2015-12-06,44
2015-12-13,48
2015-12-20,46
2015-12-27,50
2016-01-03,59
2016-01-10,75
2016-01-17,83
2016-01-24,78
2016-01-31,85
2016-02-07,84
2016-02-14,82
2016-02-21,78
2016-02-28,84
2016-03-06,75
2016-03-13,77
2016-03-20,72
2016-03-27,90
2016-04-03,90
2016-04-10,85
2016-04-17,91
2016-04-24,88
2016-05-01,86
2016-05-08,90
2016-05-15,92
2016-05-22,90
2016-05-29,68
2016-06-05,61
2016-06-12,63
2016-06-19,69
2016-06-26,64
2016-07-03,57
2016-07-10,75
2016-07-17,91
2016-07-24,71
2016-07-31,84
2016-08-07,72
2016-08-14,96
2016-08-21,93
2016-08-28,53
2016-09-04,75
2016-09-11,49
2016-09-18,47
2016-09-25,29
2016-10-02,30
2016-10-09,34
2016-10-16,34
2016-10-23,31
2016-10-30,30
2016-11-06,32
2016-11-13,24
2016-11-20,24
2016-11-27,24
2016-12-04,21
2016-12-11,23
2016-12-18,22
2016-12-25,25
2017-01-01,27
2017-01-08,37
2017-01-15,37
2017-01-22,36
2017-01-29,43
2017-02-05,79
2017-02-12,76
2017-02-19,81
2017-02-26,83
2017-03-05,79
2017-03-12,81
2017-03-19,64
2017-03-26,83
2017-04-02,80
2017-04-09,89
2017-04-16,89
2017-04-23,77
2017-04-30,77
2017-05-07,74
2017-05-14,76
2017-05-21,59
2017-05-28,52
2017-06-04,51
2017-06-11,48
2017-06-18,49
2017-06-25,38
2017-07-02,71
2017-07-09,76
2017-07-16,72
2017-07-23,61
2017-07-30,74
2017-08-06,73
2017-08-13,77
2017-08-20,75
2017-08-27,59
2017-09-03,47
2017-09-10,71
2017-09-17,69
2017-09-24,74
2017-10-01,70
2017-10-08,86
2017-10-15,76
2017-10-22,78
2017-10-29,77
2017-11-05,67
2017-11-12,69
2017-11-19,59
2017-11-26,46
2017-12-03,47
2017-12-10,45
2017-12-17,50
2017-12-24,55
2017-12-31,48
2018-01-07,63
2018-01-14,81
2018-01-21,73
2018-01-28,73
2018-02-04,74
2018-02-11,81
2018-02-18,76
2018-02-25,83
2018-03-04,77
2018-03-11,78
2018-03-18,74
2018-03-25,72
2018-04-01,78
2018-04-08,81
2018-04-15,76
2018-04-22,81
2018-04-29,77
2018-05-06,69
2018-05-13,61
2018-05-20,64
2018-05-27,58
2018-06-03,49
2018-06-10,47
2018-06-17,60
2018-06-24,74
2018-07-01,68
2018-07-08,65
2018-07-15,79
2018-07-22,69
2018-07-29,71
2018-08-05,76
2018-08-12,76
2018-08-19,43
2018-08-26,74
2018-09-02,74
2018-09-09,66
2018-09-16,63
2018-09-23,65
2018-09-30,81
2018-10-07,73
2018-10-14,79
2018-10-21,83
2018-10-28,75
2018-11-04,72
2018-11-11,59
2018-11-18,51
2018-11-25,53
2018-12-02,50
2018-12-09,45
2018-12-16,44
2018-12-23,50
2018-12-30,50
2019-01-06,64
2019-01-13,82
2019-01-20,82
2019-01-27,100
2019-02-03,81
2019-02-10,88
2019-02-17,91
2019-02-24,79
2019-03-03,74
2019-03-10,67
2019-03-17,93
2019-03-24,79
2019-03-31,75
2019-04-07,78
2019-04-14,95
2019-04-21,75
2019-04-28,68
2019-05-05,59
2019-05-12,58
2019-05-19,53
2019-05-26,51
2019-06-02,51
2019-06-09,74
2019-06-16,80
2019-06-23,80
2019-06-30,75
2019-07-07,74
2019-07-14,77
2019-07-21,77
2019-07-28,70
2019-08-04,74
2019-08-11,47
2019-08-18,76
2019-08-25,77
2019-09-01,66
2019-09-08,76
2019-09-15,85
2019-09-22,77
2019-09-29,75
2019-10-06,78
2019-10-13,76
2019-10-20,90
2019-10-27,74
2019-11-03,73
2019-11-10,61
2019-11-17,68
2019-11-24,58
2019-12-01,61
2019-12-08,55
2019-12-15,57
2019-12-22,65
2019-12-29,51
2020-01-05,68
