,Enterprise Technology
2014-12-28,74
2015-01-04,60
2015-01-11,69
2015-01-18,77
2015-01-25,73
2015-02-01,63
2015-02-08,80
2015-02-15,83
2015-02-22,83
2015-03-01,75
2015-03-08,76
2015-03-15,92
2015-03-22,88
2015-03-29,75
2015-04-05,75
2015-04-12,55
2015-04-19,81
2015-04-26,77
2015-05-03,75
2015-05-10,94
2015-05-17,82
2015-05-24,79
2015-05-31,79
2015-06-07,89
2015-06-14,97
2015-06-21,94
2015-06-28,90
2015-07-05,95
2015-07-12,90
2015-07-19,95
2015-07-26,78
2015-08-02,91
2015-08-09,94
2015-08-16,73
2015-08-23,86
2015-08-30,88
2015-09-06,93
2015-09-13,92
2015-09-20,84
2015-09-27,81
2015-10-04,83
2015-10-11,95
2015-10-18,84
2015-10-25,71
2015-11-01,88
2015-11-08,90
2015-11-15,87
2015-11-22,83
2015-11-29,90
2015-12-06,90
2015-12-13,83
2015-12-20,68
2015-12-27,81
2016-01-03,89
2016-01-10,78
2016-01-17,78
2016-01-24,77
2016-01-31,85
2016-02-07,90
2016-02-14,92
2016-02-21,79
2016-02-28,93
2016-03-06,89
2016-03-13,73
2016-03-20,73
2016-03-27,86
2016-04-03,84
2016-04-10,51
2016-04-17,70
2016-04-24,86
2016-05-01,90
2016-05-08,88
2016-05-15,77
2016-05-22,78
2016-05-29,90
2016-06-05,86
2016-06-12,90
2016-06-19,89
2016-06-26,95
2016-07-03,92
2016-07-10,84
2016-07-17,86
2016-07-24,99
2016-07-31,100
2016-08-07,95
2016-08-14,91
2016-08-21,83
2016-08-28,82
2016-09-04,80
2016-09-11,78
2016-09-18,87
2016-09-25,93
2016-10-02,89
2016-10-09,87
2016-10-16,80
2016-10-23,79
2016-10-30,82
2016-11-06,85
2016-11-13,87
2016-11-20,90
2016-11-27,90
2016-12-04,85
2016-12-11,73
2016-12-18,77
2016-12-25,75
2017-01-01,92
2017-01-08,80
2017-01-15,86
2017-01-22,87
2017-01-29,84
2017-02-05,79
2017-02-12,82
2017-02-19,86
2017-02-26,97
2017-03-05,89
2017-03-12,89
2017-03-19,94
2017-03-26,94
2017-04-02,87
2017-04-09,54
2017-04-16,88
2017-04-23,91
2017-04-30,89
2017-05-07,71
2017-05-14,87
2017-05-21,87
2017-05-28,76
2017-06-04,71
2017-06-11,79
2017-06-18,77
2017-06-25,79
2017-07-02,80
2017-07-09,80
2017-07-16,90
2017-07-23,94
2017-07-30,93
2017-08-06,83
2017-08-13,87
2017-08-20,85
2017-08-27,90
2017-09-03,82
2017-09-10,93
2017-09-17,92
2017-09-24,93
2017-10-01,79
2017-10-08,93
2017-10-15,90
2017-10-22,92
2017-10-29,84
2017-11-05,90
2017-11-12,94
2017-11-19,92
2017-11-26,84
2017-12-03,86
2017-12-10,92
2017-12-17,88
2017-12-24,75
2017-12-31,81
2018-01-07,92
2018-01-14,81
2018-01-21,84
2018-01-28,84
2018-02-04,77
2018-02-11,79
2018-02-18,85
2018-02-25,77
2018-03-04,76
2018-03-11,75
2018-03-18,80
2018-03-25,78
2018-04-01,75
2018-04-08,57
2018-04-15,63
2018-04-22,79
2018-04-29,77
2018-05-06,79
2018-05-13,86
2018-05-20,88
2018-05-27,75
2018-06-03,85
2018-06-10,81
2018-06-17,79
2018-06-24,76
2018-07-01,79
2018-07-08,87
2018-07-15,84
2018-07-22,83
2018-07-29,87
2018-08-05,84
2018-08-12,87
2018-08-19,82
2018-08-26,84
2018-09-02,83
2018-09-09,82
2018-09-16,85
2018-09-23,80
2018-09-30,90
2018-10-07,91
2018-10-14,84
2018-10-21,80
2018-10-28,81
2018-11-04,78
2018-11-11,82
2018-11-18,68
2018-11-25,80
2018-12-02,87
2018-12-09,90
2018-12-16,74
2018-12-23,69
2018-12-30,85
2019-01-06,82
2019-01-13,79
2019-01-20,76
2019-01-27,77
2019-02-03,74
2019-02-10,83
2019-02-17,74
2019-02-24,85
2019-03-03,75
2019-03-10,79
2019-03-17,77
2019-03-24,77
2019-03-31,79
2019-04-07,63
2019-04-14,54
2019-04-21,52
2019-04-28,64
2019-05-05,75
2019-05-12,65
2019-05-19,74
2019-05-26,76
2019-06-02,76
2019-06-09,81
2019-06-16,79
2019-06-23,81
2019-06-30,88
2019-07-07,84
2019-07-14,84
2019-07-21,86
2019-07-28,86
2019-08-04,89
2019-08-11,79
2019-08-18,87
2019-08-25,86
2019-09-01,81
2019-09-08,77
2019-09-15,85
2019-09-22,83
2019-09-29,86
2019-10-06,82
2019-10-13,82
2019-10-20,94
2019-10-27,89
2019-11-03,88
2019-11-10,66
2019-11-17,83
2019-11-24,85
2019-12-01,84
2019-12-08,80
2019-12-15,87
2019-12-22,69
2019-12-29,81
2020-01-05,79
