,Exportation
2014-12-28,57
2015-01-04,65
2015-01-11,76
2015-01-18,81
2015-01-25,83
2015-02-01,69
2015-02-08,78
2015-02-15,78
2015-02-22,64
2015-03-01,86
2015-03-08,82
2015-03-15,90
2015-03-22,82
2015-03-29,63
2015-04-05,59
2015-04-12,55
2015-04-19,71
2015-04-26,70
2015-05-03,78
2015-05-10,64
2015-05-17,70
2015-05-24,87
2015-05-31,73
2015-06-07,75
2015-06-14,74
2015-06-21,90
2015-06-28,64
2015-07-05,75
2015-07-12,74
2015-07-19,76
2015-07-26,76
2015-08-02,76
2015-08-09,70
2015-08-16,60
2015-08-23,88
2015-08-30,86
2015-09-06,80
2015-09-13,80
2015-09-20,77
2015-09-27,69
2015-10-04,77
2015-10-11,87
2015-10-18,84
2015-10-25,76
2015-11-01,77
2015-11-08,69
2015-11-15,97
2015-11-22,80
2015-11-29,67
2015-12-06,61
2015-12-13,75
2015-12-20,50
2015-12-27,56
2016-01-03,75
2016-01-10,67
2016-01-17,77
2016-01-24,83
2016-01-31,59
2016-02-07,91
2016-02-14,82
2016-02-21,73
2016-02-28,74
2016-03-06,73
2016-03-13,67
2016-03-20,64
2016-03-27,58
2016-04-03,54
2016-04-10,43
2016-04-17,76
2016-04-24,85
2016-05-01,70
2016-05-08,86
2016-05-15,72
2016-05-22,64
2016-05-29,78
2016-06-05,76
2016-06-12,71
2016-06-19,72
2016-06-26,98
2016-07-03,78
2016-07-10,73
2016-07-17,55
2016-07-24,73
2016-07-31,70
2016-08-07,61
2016-08-14,62
2016-08-21,66
2016-08-28,65
2016-09-04,67
2016-09-11,60
2016-09-18,63
2016-09-25,66
2016-10-02,63
2016-10-09,60
2016-10-16,70
2016-10-23,70
2016-10-30,59
2016-11-06,70
2016-11-13,66
2016-11-20,69
2016-11-27,76
2016-12-04,67
2016-12-11,71
2016-12-18,72
2016-12-25,58
2017-01-01,75
2017-01-08,69
2017-01-15,78
2017-01-22,64
2017-01-29,72
2017-02-05,76
2017-02-12,79
2017-02-19,89
2017-02-26,100
2017-03-05,94
2017-03-12,81
2017-03-19,87
2017-03-26,87
2017-04-02,69
2017-04-09,47
2017-04-16,76
2017-04-23,83
2017-04-30,94
2017-05-07,63
2017-05-14,82
2017-05-21,81
2017-05-28,85
2017-06-04,78
2017-06-11,72
2017-06-18,74
2017-06-25,86
2017-07-02,60
2017-07-09,84
2017-07-16,79
2017-07-23,63
2017-07-30,68
2017-08-06,61
2017-08-13,75
2017-08-20,77
2017-08-27,68
2017-09-03,72
2017-09-10,84
2017-09-17,92
2017-09-24,72
2017-10-01,73
2017-10-08,77
2017-10-15,67
2017-10-22,77
2017-10-29,64
2017-11-05,67
2017-11-12,66
2017-11-19,74
2017-11-26,70
2017-12-03,70
2017-12-10,84
2017-12-17,71
2017-12-24,51
2017-12-31,66
2018-01-07,80
2018-01-14,69
2018-01-21,72
2018-01-28,68
2018-02-04,64
2018-02-11,72
2018-02-18,80
2018-02-25,61
2018-03-04,68
2018-03-11,65
2018-03-18,77
2018-03-25,58
2018-04-01,70
2018-04-08,55
2018-04-15,63
2018-04-22,68
2018-04-29,87
2018-05-06,73
2018-05-13,86
2018-05-20,87
2018-05-27,76
2018-06-03,71
2018-06-10,81
2018-06-17,78
2018-06-24,66
2018-07-01,84
2018-07-08,82
2018-07-15,87
2018-07-22,91
2018-07-29,82
2018-08-05,85
2018-08-12,85
2018-08-19,89
2018-08-26,79
2018-09-02,78
2018-09-09,84
2018-09-16,85
2018-09-23,89
2018-09-30,90
2018-10-07,93
2018-10-14,77
2018-10-21,76
2018-10-28,70
2018-11-04,70
2018-11-11,65
2018-11-18,59
2018-11-25,78
2018-12-02,81
2018-12-09,82
2018-12-16,59
2018-12-23,46
2018-12-30,58
2019-01-06,78
2019-01-13,66
2019-01-20,73
2019-01-27,87
2019-02-03,67
2019-02-10,75
2019-02-17,80
2019-02-24,73
2019-03-03,75
2019-03-10,89
2019-03-17,66
2019-03-24,70
2019-03-31,63
2019-04-07,57
2019-04-14,56
2019-04-21,49
2019-04-28,52
2019-05-05,70
2019-05-12,65
2019-05-19,79
2019-05-26,88
2019-06-02,70
2019-06-09,78
2019-06-16,67
2019-06-23,66
2019-06-30,72
2019-07-07,82
2019-07-14,67
2019-07-21,74
2019-07-28,82
2019-08-04,74
2019-08-11,66
2019-08-18,92
2019-08-25,83
2019-09-01,75
2019-09-08,81
2019-09-15,74
2019-09-22,76
2019-09-29,85
2019-10-06,71
2019-10-13,79
2019-10-20,79
2019-10-27,72
2019-11-03,78
2019-11-10,65
2019-11-17,78
2019-11-24,88
2019-12-01,87
2019-12-08,64
2019-12-15,76
2019-12-22,63
2019-12-29,67
2020-01-05,74
