,Finance
2014-12-28,46
2015-01-04,46
2015-01-11,44
2015-01-18,42
2015-01-25,39
2015-02-01,51
2015-02-08,39
2015-02-15,40
2015-02-22,42
2015-03-01,43
2015-03-08,43
2015-03-15,42
2015-03-22,43
2015-03-29,45
2015-04-05,45
2015-04-12,38
2015-04-19,40
2015-04-26,42
2015-05-03,43
2015-05-10,42
2015-05-17,41
2015-05-24,39
2015-05-31,41
2015-06-07,42
2015-06-14,41
2015-06-21,44
2015-06-28,54
2015-07-05,54
2015-07-12,53
2015-07-19,55
2015-07-26,57
2015-08-02,58
2015-08-09,54
2015-08-16,57
2015-08-23,58
2015-08-30,60
2015-09-06,55
2015-09-13,46
2015-09-20,47
2015-09-27,52
2015-10-04,54
2015-10-11,53
2015-10-18,40
2015-10-25,49
2015-11-01,51
2015-11-08,37
2015-11-15,45
2015-11-22,43
2015-11-29,49
2015-12-06,51
2015-12-13,54
2015-12-20,45
2015-12-27,52
2016-01-03,49
2016-01-10,44
2016-01-17,44
2016-01-24,41
2016-01-31,47
2016-02-07,50
2016-02-14,47
2016-02-21,43
2016-02-28,51
2016-03-06,47
2016-03-13,48
2016-03-20,38
2016-03-27,50
2016-04-03,48
2016-04-10,43
2016-04-17,44
2016-04-24,44
2016-05-01,50
2016-05-08,47
2016-05-15,43
2016-05-22,45
2016-05-29,51
2016-06-05,50
2016-06-12,49
2016-06-19,51
2016-06-26,56
2016-07-03,56
2016-07-10,56
2016-07-17,57
2016-07-24,62
2016-07-31,66
2016-08-07,54
2016-08-14,45
2016-08-21,51
2016-08-28,58
2016-09-04,52
2016-09-11,53
2016-09-18,54
2016-09-25,60
2016-10-02,58
2016-10-09,48
2016-10-16,55
2016-10-23,52
2016-10-30,50
2016-11-06,68
2016-11-13,69
2016-11-20,67
2016-11-27,73
2016-12-04,68
2016-12-11,72
2016-12-18,73
2016-12-25,75
2017-01-01,80
2017-01-08,69
2017-01-15,64
2017-01-22,55
2017-01-29,69
2017-02-05,63
2017-02-12,63
2017-02-19,58
2017-02-26,65
2017-03-05,64
2017-03-12,58
2017-03-19,63
2017-03-26,69
2017-04-02,70
2017-04-09,65
2017-04-16,60
2017-04-23,63
2017-04-30,63
2017-05-07,60
2017-05-14,61
2017-05-21,59
2017-05-28,67
2017-06-04,69
2017-06-11,65
2017-06-18,67
2017-06-25,73
2017-07-02,78
2017-07-09,75
2017-07-16,76
2017-07-23,81
2017-07-30,89
2017-08-06,72
2017-08-13,67
2017-08-20,66
2017-08-27,73
2017-09-03,72
2017-09-10,71
2017-09-17,70
2017-09-24,67
2017-10-01,73
2017-10-08,74
2017-10-15,58
2017-10-22,69
2017-10-29,80
2017-11-05,75
2017-11-12,73
2017-11-19,65
2017-11-26,71
2017-12-03,75
2017-12-10,73
2017-12-17,74
2017-12-24,78
2017-12-31,77
2018-01-07,74
2018-01-14,66
2018-01-21,62
2018-01-28,83
2018-02-04,75
2018-02-11,68
2018-02-18,70
2018-02-25,67
2018-03-04,73
2018-03-11,73
2018-03-18,75
2018-03-25,79
2018-04-01,77
2018-04-08,71
2018-04-15,69
2018-04-22,63
2018-04-29,69
2018-05-06,70
2018-05-13,68
2018-05-20,69
2018-05-27,73
2018-06-03,74
2018-06-10,71
2018-06-17,71
2018-06-24,74
2018-07-01,84
2018-07-08,82
2018-07-15,84
2018-07-22,87
2018-07-29,88
2018-08-05,82
2018-08-12,76
2018-08-19,76
2018-08-26,92
2018-09-02,88
2018-09-09,81
2018-09-16,74
2018-09-23,83
2018-09-30,89
2018-10-07,90
2018-10-14,76
2018-10-21,80
2018-10-28,90
2018-11-04,66
2018-11-11,80
2018-11-18,76
2018-11-25,81
2018-12-02,87
2018-12-09,80
2018-12-16,79
2018-12-23,77
2018-12-30,86
2019-01-06,82
2019-01-13,73
2019-01-20,73
2019-01-27,87
2019-02-03,81
2019-02-10,79
2019-02-17,76
2019-02-24,74
2019-03-03,80
2019-03-10,79
2019-03-17,74
2019-03-24,81
2019-03-31,87
2019-04-07,74
2019-04-14,67
2019-04-21,69
2019-04-28,74
2019-05-05,73
2019-05-12,74
2019-05-19,72
2019-05-26,78
2019-06-02,76
2019-06-09,74
2019-06-16,75
2019-06-23,80
2019-06-30,84
2019-07-07,82
2019-07-14,93
2019-07-21,86
2019-07-28,93
2019-08-04,85
2019-08-11,75
2019-08-18,88
2019-08-25,100
2019-09-01,92
2019-09-08,87
2019-09-15,90
2019-09-22,89
2019-09-29,92
2019-10-06,78
2019-10-13,82
2019-10-20,80
2019-10-27,76
2019-11-03,81
2019-11-10,80
2019-11-17,80
2019-11-24,82
2019-12-01,87
2019-12-08,79
2019-12-15,79
2019-12-22,78
2019-12-29,91
2020-01-05,84
