,Financial Planning
2023-01-01,77
2023-01-08,100
2023-01-15,87
2023-01-22,70
2023-01-29,77
2023-02-05,81
2023-02-12,79
2023-02-19,86
2023-02-26,99
2023-03-05,72
2023-03-12,82
2023-03-19,77
2023-03-26,83
2023-04-02,84
2023-04-09,81
2023-04-16,95
2023-04-23,90
2023-04-30,72
2023-05-07,67
2023-05-14,66
2023-05-21,62
2023-05-28,65
2023-06-04,64
2023-06-11,69
2023-06-18,70
2023-06-25,70
2023-07-02,74
2023-07-09,73
2023-07-16,77
2023-07-23,79
2023-07-30,78
2023-08-06,79
2023-08-13,74
2023-08-20,71
2023-08-27,61
2023-09-03,66
2023-09-10,64
2023-09-17,62
2023-09-24,66
2023-10-01,68
2023-10-08,69
2023-10-15,65
2023-10-22,55
2023-10-29,54
2023-11-05,56
2023-11-12,50
2023-11-19,57
2023-11-26,62
2023-12-03,58
2023-12-10,63
2023-12-17,71
2023-12-24,67
2023-12-31,65
2024-01-07,65
2024-01-14,61
2024-01-21,53
2024-01-28,68
2024-02-04,64
2024-02-11,71
2024-02-18,71
2024-02-25,69
2024-03-03,63
2024-03-10,63
2024-03-17,66
2024-03-24,58
2024-03-31,61
2024-04-07,60
2024-04-14,67
2024-04-21,62
2024-04-28,63
2024-05-05,60
2024-05-12,57
2024-05-19,57
2024-05-26,58
2024-06-02,53
2024-06-09,66
2024-06-16,60
2024-06-23,58
2024-06-30,60
2024-07-07,64
2024-07-14,62
2024-07-21,65
2024-07-28,65
2024-08-04,60
2024-08-11,58
2024-08-18,63
2024-08-25,60
2024-09-01,57
2024-09-08,59
2024-09-15,57
2024-09-22,59
2024-09-29,56
2024-10-06,50
2024-10-13,58
2024-10-20,56
2024-10-27,44
2024-11-03,53
2024-11-10,55
2024-11-17,52
2024-11-24,55
2024-12-01,55
2024-12-08,60
2024-12-15,60
2024-12-22,57
2024-12-29,58
2025-01-05,61
2025-01-12,53
2025-01-19,67
2025-01-26,65
2025-02-02,58
2025-02-09,69
2025-02-16,55
2025-02-23,54
2025-03-02,67
2025-03-09,57
2025-03-16,60
2025-03-23,64
2025-03-30,60
2025-04-06,60
2025-04-13,63
2025-04-20,62
2025-04-27,50
2025-05-04,50
2025-05-11,56
2025-05-18,57
2025-05-25,60
2025-06-01,56
2025-06-08,58
2025-06-15,62
2025-06-22,62
2025-06-29,70
2025-07-06,62
2025-07-13,66
2025-07-20,60
2025-07-27,57
2025-08-03,54
2025-08-10,53
2025-08-17,58
2025-08-24,57
2025-08-31,51
2025-09-07,57
2025-09-14,54
2025-09-21,59
2025-09-28,48
2025-10-05,54
2025-10-12,63
2025-10-19,42
2025-10-26,50
2025-11-02,51
2025-11-09,54
2025-11-16,50
2025-11-23,52
2025-11-30,52
2025-12-07,51
2025-12-14,57
2025-12-21,54
2025-12-28,48
2026-01-04,52
