,Financial crisis
2018-12-30,0
2019-01-06,0
2019-01-13,0
2019-01-20,0
2019-01-27,0
2019-02-03,0
2019-02-10,0
2019-02-17,0
2019-02-24,0
2019-03-03,0
2019-03-10,0
2019-03-17,0
2019-03-24,0
2019-03-31,0
2019-04-07,0
2019-04-14,0
2019-04-21,0
2019-04-28,0
2019-05-05,0
2019-05-12,0
2019-05-19,0
2019-05-26,0
2019-06-02,0
2019-06-09,0
2019-06-16,0
2019-06-23,0
2019-06-30,0
2019-07-07,0
2019-07-14,0
2019-07-21,0
2019-07-28,0
2019-08-04,0
2019-08-11,0
2019-08-18,0
2019-08-25,0
2019-09-01,0
2019-09-08,13
2019-09-15,0
2019-09-22,14
2019-09-29,0
2019-10-06,0
2019-10-13,0
2019-10-20,0
2019-10-27,0
2019-11-03,0
2019-11-10,0
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,0
2020-04-19,0
2020-04-26,0
2020-05-03,0
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,11
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,0
2020-08-02,14
2020-08-09,0
2020-08-16,0
2020-08-23,0
2020-08-30,12
2020-09-06,0
2020-09-13,16
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,13
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,11
2021-02-21,0
2021-02-28,0
2021-03-07,0
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,0
2021-04-11,0
2021-04-18,0
2021-04-25,0
2021-05-02,0
2021-05-09,0
2021-05-16,0
2021-05-23,0
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,0
2021-07-04,10
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,0
2021-12-05,0
2021-12-12,0
2021-12-19,15
2021-12-26,0
2022-01-02,21
2022-01-09,23
2022-01-16,15
2022-01-23,11
2022-01-30,16
2022-02-06,11
2022-02-13,11
2022-02-20,17
2022-02-27,15
2022-03-06,44
2022-03-13,67
2022-03-20,75
2022-03-27,97
2022-04-03,100
2022-04-10,59
2022-04-17,78
2022-04-24,72
2022-05-01,70
2022-05-08,49
2022-05-15,64
2022-05-22,64
2022-05-29,59
2022-06-05,64
2022-06-12,60
2022-06-19,67
2022-06-26,80
2022-07-03,86
2022-07-10,77
2022-07-17,55
2022-07-24,81
2022-07-31,68
2022-08-07,55
2022-08-14,58
2022-08-21,51
2022-08-28,54
2022-09-04,38
2022-09-11,60
2022-09-18,55
2022-09-25,61
2022-10-02,49
2022-10-09,49
2022-10-16,48
2022-10-23,42
2022-10-30,51
2022-11-06,46
2022-11-13,79
2022-11-20,52
2022-11-27,42
2022-12-04,43
2022-12-11,46
2022-12-18,57
2022-12-25,35
2023-01-01,30
2023-01-08,39
2023-01-15,34
2023-01-22,55
2023-01-29,56
2023-02-05,73
2023-02-12,47
2023-02-19,50
2023-02-26,44
2023-03-05,39
2023-03-12,38
2023-03-19,35
2023-03-26,31
2023-04-02,18
2023-04-09,18
2023-04-16,30
2023-04-23,33
2023-04-30,25
2023-05-07,32
2023-05-14,40
2023-05-21,34
2023-05-28,41
2023-06-04,33
2023-06-11,36
2023-06-18,31
2023-06-25,27
2023-07-02,27
2023-07-09,19
2023-07-16,23
2023-07-23,22
2023-07-30,16
2023-08-06,23
2023-08-13,20
2023-08-20,16
2023-08-27,14
2023-09-03,24
2023-09-10,15
2023-09-17,14
2023-09-24,14
2023-10-01,12
2023-10-08,23
2023-10-15,19
2023-10-22,20
2023-10-29,15
2023-11-05,15
2023-11-12,24
2023-11-19,26
2023-11-26,21
2023-12-03,17
2023-12-10,13
2023-12-17,12
2023-12-24,10
2023-12-31,15
2024-01-07,20
