,Flooring
2014-12-28,26
2015-01-04,23
2015-01-11,21
2015-01-18,20
2015-01-25,21
2015-02-01,21
2015-02-08,21
2015-02-15,21
2015-02-22,20
2015-03-01,19
2015-03-08,21
2015-03-15,21
2015-03-22,21
2015-03-29,25
2015-04-05,24
2015-04-12,25
2015-04-19,22
2015-04-26,27
2015-05-03,30
2015-05-10,29
2015-05-17,33
2015-05-24,33
2015-05-31,25
2015-06-07,23
2015-06-14,21
2015-06-21,24
2015-06-28,26
2015-07-05,30
2015-07-12,30
2015-07-19,30
2015-07-26,29
2015-08-02,31
2015-08-09,35
2015-08-16,38
2015-08-23,29
2015-08-30,28
2015-09-06,30
2015-09-13,29
2015-09-20,28
2015-09-27,28
2015-10-04,30
2015-10-11,32
2015-10-18,30
2015-10-25,39
2015-11-01,32
2015-11-08,32
2015-11-15,28
2015-11-22,25
2015-11-29,27
2015-12-06,31
2015-12-13,32
2015-12-20,32
2015-12-27,34
2016-01-03,25
2016-01-10,26
2016-01-17,24
2016-01-24,26
2016-01-31,27
2016-02-07,24
2016-02-14,26
2016-02-21,27
2016-02-28,24
2016-03-06,25
2016-03-13,25
2016-03-20,23
2016-03-27,26
2016-04-03,25
2016-04-10,28
2016-04-17,25
2016-04-24,30
2016-05-01,47
2016-05-08,39
2016-05-15,40
2016-05-22,41
2016-05-29,51
2016-06-05,30
2016-06-12,26
2016-06-19,28
2016-06-26,29
2016-07-03,28
2016-07-10,31
2016-07-17,33
2016-07-24,33
2016-07-31,32
2016-08-07,32
2016-08-14,31
2016-08-21,33
2016-08-28,34
2016-09-04,31
2016-09-11,34
2016-09-18,38
2016-09-25,36
2016-10-02,38
2016-10-09,35
2016-10-16,39
2016-10-23,38
2016-10-30,39
2016-11-06,40
2016-11-13,47
2016-11-20,43
2016-11-27,46
2016-12-04,47
2016-12-11,53
2016-12-18,42
2016-12-25,46
2017-01-01,38
2017-01-08,35
2017-01-15,33
2017-01-22,32
2017-01-29,33
2017-02-05,34
2017-02-12,30
2017-02-19,33
2017-02-26,32
2017-03-05,29
2017-03-12,30
2017-03-19,32
2017-03-26,31
2017-04-02,32
2017-04-09,33
2017-04-16,32
2017-04-23,33
2017-04-30,37
2017-05-07,37
2017-05-14,44
2017-05-21,50
2017-05-28,36
2017-06-04,36
2017-06-11,35
2017-06-18,35
2017-06-25,30
2017-07-02,37
2017-07-09,38
2017-07-16,38
2017-07-23,37
2017-07-30,34
2017-08-06,34
2017-08-13,38
2017-08-20,41
2017-08-27,40
2017-09-03,35
2017-09-10,38
2017-09-17,38
2017-09-24,35
2017-10-01,37
2017-10-08,39
2017-10-15,32
2017-10-22,42
2017-10-29,45
2017-11-05,45
2017-11-12,50
2017-11-19,37
2017-11-26,39
2017-12-03,41
2017-12-10,40
2017-12-17,41
2017-12-24,48
2017-12-31,36
2018-01-07,36
2018-01-14,37
2018-01-21,33
2018-01-28,35
2018-02-04,34
2018-02-11,34
2018-02-18,36
2018-02-25,31
2018-03-04,35
2018-03-11,37
2018-03-18,38
2018-03-25,38
2018-04-01,38
2018-04-08,39
2018-04-15,43
2018-04-22,44
2018-04-29,47
2018-05-06,44
2018-05-13,50
2018-05-20,47
2018-05-27,43
2018-06-03,41
2018-06-10,37
2018-06-17,37
2018-06-24,40
2018-07-01,40
2018-07-08,43
2018-07-15,43
2018-07-22,46
2018-07-29,48
2018-08-05,56
2018-08-12,61
2018-08-19,56
2018-08-26,62
2018-09-02,65
2018-09-09,65
2018-09-16,61
2018-09-23,70
2018-09-30,66
2018-10-07,74
2018-10-14,72
2018-10-21,78
2018-10-28,91
2018-11-04,61
2018-11-11,67
2018-11-18,69
2018-11-25,70
2018-12-02,64
2018-12-09,68
2018-12-16,69
2018-12-23,72
2018-12-30,64
2019-01-06,64
2019-01-13,59
2019-01-20,58
2019-01-27,54
2019-02-03,51
2019-02-10,59
2019-02-17,58
2019-02-24,54
2019-03-03,51
2019-03-10,55
2019-03-17,59
2019-03-24,62
2019-03-31,55
2019-04-07,47
2019-04-14,47
2019-04-21,45
2019-04-28,51
2019-05-05,55
2019-05-12,63
2019-05-19,60
2019-05-26,59
2019-06-02,52
2019-06-09,48
2019-06-16,53
2019-06-23,59
2019-06-30,48
2019-07-07,49
2019-07-14,56
2019-07-21,60
2019-07-28,60
2019-08-04,66
2019-08-11,56
2019-08-18,68
2019-08-25,68
2019-09-01,64
2019-09-08,63
2019-09-15,60
2019-09-22,62
2019-09-29,100
2019-10-06,61
2019-10-13,69
2019-10-20,56
2019-10-27,48
2019-11-03,56
2019-11-10,55
2019-11-17,56
2019-11-24,60
2019-12-01,50
2019-12-08,48
2019-12-15,52
2019-12-22,56
2019-12-29,55
2020-01-05,47
