,Food Production
2014-12-28,39
2015-01-04,44
2015-01-11,39
2015-01-18,39
2015-01-25,37
2015-02-01,39
2015-02-08,38
2015-02-15,40
2015-02-22,40
2015-03-01,38
2015-03-08,38
2015-03-15,41
2015-03-22,41
2015-03-29,38
2015-04-05,42
2015-04-12,38
2015-04-19,45
2015-04-26,48
2015-05-03,49
2015-05-10,49
2015-05-17,51
2015-05-24,48
2015-05-31,52
2015-06-07,50
2015-06-14,47
2015-06-21,51
2015-06-28,55
2015-07-05,54
2015-07-12,51
2015-07-19,52
2015-07-26,49
2015-08-02,55
2015-08-09,52
2015-08-16,51
2015-08-23,49
2015-08-30,49
2015-09-06,51
2015-09-13,48
2015-09-20,53
2015-09-27,50
2015-10-04,52
2015-10-11,53
2015-10-18,41
2015-10-25,48
2015-11-01,48
2015-11-08,36
2015-11-15,44
2015-11-22,45
2015-11-29,45
2015-12-06,47
2015-12-13,46
2015-12-20,46
2015-12-27,46
2016-01-03,46
2016-01-10,49
2016-01-17,48
2016-01-24,44
2016-01-31,48
2016-02-07,50
2016-02-14,49
2016-02-21,47
2016-02-28,47
2016-03-06,45
2016-03-13,45
2016-03-20,44
2016-03-27,46
2016-04-03,45
2016-04-10,41
2016-04-17,46
2016-04-24,45
2016-05-01,52
2016-05-08,45
2016-05-15,44
2016-05-22,50
2016-05-29,51
2016-06-05,50
2016-06-12,54
2016-06-19,52
2016-06-26,54
2016-07-03,50
2016-07-10,53
2016-07-17,58
2016-07-24,59
2016-07-31,55
2016-08-07,53
2016-08-14,47
2016-08-21,54
2016-08-28,56
2016-09-04,56
2016-09-11,53
2016-09-18,57
2016-09-25,53
2016-10-02,51
2016-10-09,48
2016-10-16,60
2016-10-23,49
2016-10-30,47
2016-11-06,48
2016-11-13,49
2016-11-20,60
2016-11-27,54
2016-12-04,52
2016-12-11,55
2016-12-18,54
2016-12-25,62
2017-01-01,57
2017-01-08,58
2017-01-15,56
2017-01-22,57
2017-01-29,57
2017-02-05,58
2017-02-12,62
2017-02-19,61
2017-02-26,60
2017-03-05,60
2017-03-12,55
2017-03-19,66
2017-03-26,62
2017-04-02,60
2017-04-09,62
2017-04-16,64
2017-04-23,69
2017-04-30,64
2017-05-07,63
2017-05-14,59
2017-05-21,67
2017-05-28,71
2017-06-04,69
2017-06-11,70
2017-06-18,75
2017-06-25,67
2017-07-02,78
2017-07-09,73
2017-07-16,76
2017-07-23,73
2017-07-30,71
2017-08-06,70
2017-08-13,71
2017-08-20,72
2017-08-27,65
2017-09-03,73
2017-09-10,75
2017-09-17,72
2017-09-24,58
2017-10-01,63
2017-10-08,71
2017-10-15,52
2017-10-22,69
2017-10-29,74
2017-11-05,70
2017-11-12,71
2017-11-19,69
2017-11-26,70
2017-12-03,72
2017-12-10,71
2017-12-17,71
2017-12-24,71
2017-12-31,67
2018-01-07,69
2018-01-14,66
2018-01-21,64
2018-01-28,72
2018-02-04,71
2018-02-11,73
2018-02-18,72
2018-02-25,67
2018-03-04,72
2018-03-11,78
2018-03-18,72
2018-03-25,77
2018-04-01,74
2018-04-08,73
2018-04-15,73
2018-04-22,71
2018-04-29,74
2018-05-06,71
2018-05-13,71
2018-05-20,75
2018-05-27,75
2018-06-03,76
2018-06-10,77
2018-06-17,74
2018-06-24,79
2018-07-01,82
2018-07-08,84
2018-07-15,77
2018-07-22,81
2018-07-29,86
2018-08-05,85
2018-08-12,82
2018-08-19,84
2018-08-26,85
2018-09-02,85
2018-09-09,91
2018-09-16,89
2018-09-23,93
2018-09-30,86
2018-10-07,91
2018-10-14,73
2018-10-21,93
2018-10-28,99
2018-11-04,65
2018-11-11,89
2018-11-18,89
2018-11-25,91
2018-12-02,87
2018-12-09,89
2018-12-16,90
2018-12-23,91
2018-12-30,81
2019-01-06,87
2019-01-13,80
2019-01-20,84
2019-01-27,82
2019-02-03,80
2019-02-10,85
2019-02-17,85
2019-02-24,79
2019-03-03,81
2019-03-10,86
2019-03-17,79
2019-03-24,84
2019-03-31,83
2019-04-07,79
2019-04-14,75
2019-04-21,77
2019-04-28,81
2019-05-05,83
2019-05-12,79
2019-05-19,79
2019-05-26,84
2019-06-02,80
2019-06-09,84
2019-06-16,86
2019-06-23,95
2019-06-30,83
2019-07-07,88
2019-07-14,93
2019-07-21,95
2019-07-28,91
2019-08-04,88
2019-08-11,80
2019-08-18,100
2019-08-25,99
2019-09-01,81
2019-09-08,90
2019-09-15,94
2019-09-22,93
2019-09-29,83
2019-10-06,80
2019-10-13,88
2019-10-20,80
2019-10-27,72
2019-11-03,93
2019-11-10,91
2019-11-17,93
2019-11-24,92
2019-12-01,85
2019-12-08,85
2019-12-15,91
2019-12-22,86
2019-12-29,82
2020-01-05,86
