,Freight & Trucking
2018-12-30,0
2019-01-06,0
2019-01-13,52
2019-01-20,0
2019-01-27,50
2019-02-03,0
2019-02-10,95
2019-02-17,54
2019-02-24,51
2019-03-03,0
2019-03-10,51
2019-03-17,55
2019-03-24,49
2019-03-31,0
2019-04-07,59
2019-04-14,44
2019-04-21,69
2019-04-28,0
2019-05-05,44
2019-05-12,0
2019-05-19,46
2019-05-26,52
2019-06-02,41
2019-06-09,52
2019-06-16,0
2019-06-23,54
2019-06-30,42
2019-07-07,47
2019-07-14,73
2019-07-21,41
2019-07-28,61
2019-08-04,0
2019-08-11,0
2019-08-18,67
2019-08-25,0
2019-09-01,44
2019-09-08,41
2019-09-15,47
2019-09-22,63
2019-09-29,0
2019-10-06,44
2019-10-13,73
2019-10-20,45
2019-10-27,58
2019-11-03,0
2019-11-10,44
2019-11-17,57
2019-11-24,75
2019-12-01,77
2019-12-08,59
2019-12-15,47
2019-12-22,62
2019-12-29,52
2020-01-05,46
2020-01-12,48
2020-01-19,52
2020-01-26,49
2020-02-02,46
2020-02-09,50
2020-02-16,66
2020-02-23,37
2020-03-01,33
2020-03-08,32
2020-03-15,53
2020-03-22,42
2020-03-29,0
2020-04-05,0
2020-04-12,0
2020-04-19,31
2020-04-26,0
2020-05-03,0
2020-05-10,0
2020-05-17,0
2020-05-24,35
2020-05-31,0
2020-06-07,39
2020-06-14,38
2020-06-21,39
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,59
2020-08-02,0
2020-08-09,37
2020-08-16,68
2020-08-23,0
2020-08-30,0
2020-09-06,0
2020-09-13,50
2020-09-20,0
2020-09-27,47
2020-10-04,43
2020-10-11,46
2020-10-18,0
2020-10-25,46
2020-11-01,38
2020-11-08,0
2020-11-15,57
2020-11-22,0
2020-11-29,39
2020-12-06,35
2020-12-13,54
2020-12-20,62
2020-12-27,45
2021-01-03,39
2021-01-10,50
2021-01-17,52
2021-01-24,53
2021-01-31,69
2021-02-07,39
2021-02-14,56
2021-02-21,34
2021-02-28,38
2021-03-07,84
2021-03-14,73
2021-03-21,100
2021-03-28,55
2021-04-04,47
2021-04-11,47
2021-04-18,50
2021-04-25,57
2021-05-02,0
2021-05-09,76
2021-05-16,49
2021-05-23,43
2021-05-30,72
2021-06-06,65
2021-06-13,73
2021-06-20,74
2021-06-27,65
2021-07-04,51
2021-07-11,43
2021-07-18,59
2021-07-25,42
2021-08-01,41
2021-08-08,55
2021-08-15,90
2021-08-22,66
2021-08-29,48
2021-09-05,0
2021-09-12,45
2021-09-19,57
2021-09-26,55
2021-10-03,72
2021-10-10,0
2021-10-17,94
2021-10-24,78
2021-10-31,96
2021-11-07,91
2021-11-14,74
2021-11-21,65
2021-11-28,56
2021-12-05,64
2021-12-12,67
2021-12-19,59
2021-12-26,0
2022-01-02,0
2022-01-09,45
2022-01-16,90
2022-01-23,59
2022-01-30,53
2022-02-06,0
2022-02-13,39
2022-02-20,68
2022-02-27,79
2022-03-06,50
2022-03-13,36
2022-03-20,39
2022-03-27,55
2022-04-03,39
2022-04-10,40
2022-04-17,44
2022-04-24,51
2022-05-01,0
2022-05-08,51
2022-05-15,40
2022-05-22,52
2022-05-29,45
2022-06-05,40
2022-06-12,58
2022-06-19,49
2022-06-26,49
2022-07-03,43
2022-07-10,0
2022-07-17,45
2022-07-24,34
2022-07-31,53
2022-08-07,43
2022-08-14,0
2022-08-21,47
2022-08-28,47
2022-09-04,57
2022-09-11,0
2022-09-18,44
2022-09-25,46
2022-10-02,34
2022-10-09,56
2022-10-16,43
2022-10-23,0
2022-10-30,31
2022-11-06,44
2022-11-13,49
2022-11-20,39
2022-11-27,44
2022-12-04,74
2022-12-11,54
2022-12-18,35
2022-12-25,0
2023-01-01,36
2023-01-08,53
2023-01-15,56
2023-01-22,0
2023-01-29,40
2023-02-05,36
2023-02-12,41
2023-02-19,42
2023-02-26,58
2023-03-05,59
2023-03-12,44
2023-03-19,48
2023-03-26,47
2023-04-02,59
2023-04-09,57
2023-04-16,44
2023-04-23,34
2023-04-30,34
2023-05-07,0
2023-05-14,0
2023-05-21,56
2023-05-28,42
2023-06-04,42
2023-06-11,64
2023-06-18,61
2023-06-25,0
2023-07-02,41
2023-07-09,57
2023-07-16,0
2023-07-23,0
2023-07-30,38
2023-08-06,49
2023-08-13,69
2023-08-20,48
2023-08-27,60
2023-09-03,44
2023-09-10,40
2023-09-17,57
2023-09-24,44
2023-10-01,61
2023-10-08,44
2023-10-15,60
2023-10-22,44
2023-10-29,51
2023-11-05,43
2023-11-12,46
2023-11-19,0
2023-11-26,43
2023-12-03,69
2023-12-10,30
2023-12-17,44
2023-12-24,49
2023-12-31,33
2024-01-07,52
