,Gifts & Special Event Items
2023-01-01,62
2023-01-08,56
2023-01-15,54
2023-01-22,61
2023-01-29,58
2023-02-05,52
2023-02-12,61
2023-02-19,55
2023-02-26,51
2023-03-05,58
2023-03-12,60
2023-03-19,55
2023-03-26,53
2023-04-02,49
2023-04-09,92
2023-04-16,51
2023-04-23,54
2023-04-30,65
2023-05-07,63
2023-05-14,70
2023-05-21,58
2023-05-28,53
2023-06-04,56
2023-06-11,55
2023-06-18,63
2023-06-25,51
2023-07-02,61
2023-07-09,53
2023-07-16,53
2023-07-23,50
2023-07-30,53
2023-08-06,56
2023-08-13,56
2023-08-20,54
2023-08-27,52
2023-09-03,57
2023-09-10,49
2023-09-17,55
2023-09-24,54
2023-10-01,100
2023-10-08,51
2023-10-15,60
2023-10-22,52
2023-10-29,50
2023-11-05,51
2023-11-12,57
2023-11-19,53
2023-11-26,57
2023-12-03,60
2023-12-10,58
2023-12-17,58
2023-12-24,59
2023-12-31,63
2024-01-07,51
2024-01-14,57
2024-01-21,49
2024-01-28,55
2024-02-04,55
2024-02-11,76
2024-02-18,51
2024-02-25,49
2024-03-03,54
2024-03-10,49
2024-03-17,52
2024-03-24,52
2024-03-31,54
2024-04-07,75
2024-04-14,50
2024-04-21,50
2024-04-28,52
2024-05-05,59
2024-05-12,65
2024-05-19,55
2024-05-26,53
2024-06-02,53
2024-06-09,56
2024-06-16,55
2024-06-23,49
2024-06-30,50
2024-07-07,52
2024-07-14,52
2024-07-21,60
2024-07-28,51
2024-08-04,49
2024-08-11,51
2024-08-18,49
2024-08-25,50
2024-09-01,51
2024-09-08,49
2024-09-15,45
2024-09-22,48
2024-09-29,59
2024-10-06,66
2024-10-13,50
2024-10-20,50
2024-10-27,58
2024-11-03,50
2024-11-10,49
2024-11-17,51
2024-11-24,52
2024-12-01,53
2024-12-08,55
2024-12-15,54
2024-12-22,60
2024-12-29,65
2025-01-05,53
2025-01-12,56
2025-01-19,53
2025-01-26,54
2025-02-02,53
2025-02-09,66
2025-02-16,49
2025-02-23,49
2025-03-02,51
2025-03-09,48
2025-03-16,47
2025-03-23,50
2025-03-30,50
2025-04-06,48
2025-04-13,72
2025-04-20,45
2025-04-27,48
2025-05-04,59
2025-05-11,59
2025-05-18,47
2025-05-25,49
2025-06-01,49
2025-06-08,53
2025-06-15,54
2025-06-22,47
2025-06-29,47
2025-07-06,46
2025-07-13,47
2025-07-20,46
2025-07-27,47
2025-08-03,49
2025-08-10,45
2025-08-17,46
2025-08-24,50
2025-08-31,47
2025-09-07,46
2025-09-14,44
2025-09-21,51
2025-09-28,56
2025-10-05,64
2025-10-12,50
2025-10-19,52
2025-10-26,48
2025-11-02,46
2025-11-09,44
2025-11-16,46
2025-11-23,41
2025-11-30,40
2025-12-07,48
2025-12-14,53
2025-12-21,55
2025-12-28,58
2026-01-04,48
