,Grocery & Food Retailers
2018-12-30,39
2019-01-06,36
2019-01-13,31
2019-01-20,35
2019-01-27,32
2019-02-03,33
2019-02-10,34
2019-02-17,34
2019-02-24,32
2019-03-03,32
2019-03-10,34
2019-03-17,36
2019-03-24,33
2019-03-31,32
2019-04-07,30
2019-04-14,30
2019-04-21,28
2019-04-28,31
2019-05-05,30
2019-05-12,30
2019-05-19,32
2019-05-26,36
2019-06-02,36
2019-06-09,34
2019-06-16,34
2019-06-23,36
2019-06-30,34
2019-07-07,33
2019-07-14,37
2019-07-21,40
2019-07-28,39
2019-08-04,38
2019-08-11,34
2019-08-18,37
2019-08-25,38
2019-09-01,36
2019-09-08,38
2019-09-15,36
2019-09-22,36
2019-09-29,35
2019-10-06,32
2019-10-13,32
2019-10-20,32
2019-10-27,27
2019-11-03,32
2019-11-10,31
2019-11-17,31
2019-11-24,32
2019-12-01,31
2019-12-08,28
2019-12-15,30
2019-12-22,32
2019-12-29,34
2020-01-05,32
2020-01-12,30
2020-01-19,31
2020-01-26,30
2020-02-02,30
2020-02-09,30
2020-02-16,28
2020-02-23,29
2020-03-01,30
2020-03-08,29
2020-03-15,38
2020-03-22,100
2020-03-29,69
2020-04-05,66
2020-04-12,56
2020-04-19,47
2020-04-26,42
2020-05-03,38
2020-05-10,35
2020-05-17,33
2020-05-24,33
2020-05-31,33
2020-06-07,33
2020-06-14,33
2020-06-21,35
2020-06-28,36
2020-07-05,38
2020-07-12,40
2020-07-19,39
2020-07-26,40
2020-08-02,37
2020-08-09,40
2020-08-16,36
2020-08-23,37
2020-08-30,37
2020-09-06,37
2020-09-13,34
2020-09-20,35
2020-09-27,35
2020-10-04,34
2020-10-11,35
2020-10-18,34
2020-10-25,35
2020-11-01,32
2020-11-08,30
2020-11-15,30
2020-11-22,32
2020-11-29,31
2020-12-06,31
2020-12-13,31
2020-12-20,34
2020-12-27,32
2021-01-03,32
2021-01-10,31
2021-01-17,33
2021-01-24,33
2021-01-31,31
2021-02-07,31
2021-02-14,31
2021-02-21,33
2021-02-28,34
2021-03-07,30
2021-03-14,33
2021-03-21,34
2021-03-28,33
2021-04-04,32
2021-04-11,36
2021-04-18,42
2021-04-25,49
2021-05-02,52
2021-05-09,49
2021-05-16,44
2021-05-23,42
2021-05-30,45
2021-06-06,37
2021-06-13,36
2021-06-20,38
2021-06-27,37
2021-07-04,37
2021-07-11,37
2021-07-18,39
2021-07-25,38
2021-08-01,37
2021-08-08,35
2021-08-15,37
2021-08-22,34
2021-08-29,35
2021-09-05,35
2021-09-12,35
2021-09-19,36
2021-09-26,35
2021-10-03,37
2021-10-10,31
2021-10-17,33
2021-10-24,35
2021-10-31,31
2021-11-07,32
2021-11-14,31
2021-11-21,33
2021-11-28,33
2021-12-05,33
2021-12-12,31
2021-12-19,36
2021-12-26,36
2022-01-02,39
2022-01-09,36
2022-01-16,33
2022-01-23,38
2022-01-30,37
2022-02-06,34
2022-02-13,36
2022-02-20,38
2022-02-27,39
2022-03-06,40
2022-03-13,37
2022-03-20,41
2022-03-27,39
2022-04-03,37
2022-04-10,38
2022-04-17,37
2022-04-24,37
2022-05-01,39
2022-05-08,38
2022-05-15,40
2022-05-22,39
2022-05-29,40
2022-06-05,39
2022-06-12,42
2022-06-19,41
2022-06-26,41
2022-07-03,45
2022-07-10,43
2022-07-17,41
2022-07-24,43
2022-07-31,43
2022-08-07,41
2022-08-14,42
2022-08-21,41
2022-08-28,41
2022-09-04,41
2022-09-11,43
2022-09-18,43
2022-09-25,40
2022-10-02,39
2022-10-09,41
2022-10-16,39
2022-10-23,34
2022-10-30,39
2022-11-06,38
2022-11-13,39
2022-11-20,37
2022-11-27,37
2022-12-04,37
2022-12-11,39
2022-12-18,40
2022-12-25,43
2023-01-01,38
2023-01-08,38
2023-01-15,37
2023-01-22,37
2023-01-29,38
2023-02-05,37
2023-02-12,36
2023-02-19,38
2023-02-26,39
2023-03-05,37
2023-03-12,39
2023-03-19,41
2023-03-26,39
2023-04-02,41
2023-04-09,39
2023-04-16,38
2023-04-23,37
2023-04-30,38
2023-05-07,38
2023-05-14,38
2023-05-21,38
2023-05-28,39
2023-06-04,40
2023-06-11,39
2023-06-18,40
2023-06-25,40
2023-07-02,43
2023-07-09,41
2023-07-16,40
2023-07-23,41
2023-07-30,41
2023-08-06,41
2023-08-13,39
2023-08-20,38
2023-08-27,37
2023-09-03,42
2023-09-10,38
2023-09-17,37
2023-09-24,39
2023-10-01,39
2023-10-08,39
2023-10-15,36
2023-10-22,34
2023-10-29,37
2023-11-05,37
2023-11-12,31
2023-11-19,35
2023-11-26,35
2023-12-03,34
2023-12-10,37
2023-12-17,41
2023-12-24,38
2023-12-31,39
2024-01-07,37
