,Health Insurance
2023-01-01,69
2023-01-08,65
2023-01-15,68
2023-01-22,60
2023-01-29,72
2023-02-05,81
2023-02-12,79
2023-02-19,91
2023-02-26,88
2023-03-05,76
2023-03-12,72
2023-03-19,71
2023-03-26,72
2023-04-02,71
2023-04-09,49
2023-04-16,63
2023-04-23,76
2023-04-30,75
2023-05-07,90
2023-05-14,79
2023-05-21,68
2023-05-28,66
2023-06-04,60
2023-06-11,64
2023-06-18,83
2023-06-25,74
2023-07-02,77
2023-07-09,79
2023-07-16,78
2023-07-23,71
2023-07-30,69
2023-08-06,75
2023-08-13,82
2023-08-20,74
2023-08-27,70
2023-09-03,65
2023-09-10,71
2023-09-17,65
2023-09-24,70
2023-10-01,70
2023-10-08,56
2023-10-15,77
2023-10-22,65
2023-10-29,71
2023-11-05,65
2023-11-12,65
2023-11-19,64
2023-11-26,63
2023-12-03,70
2023-12-10,76
2023-12-17,64
2023-12-24,59
2023-12-31,67
2024-01-07,68
2024-01-14,70
2024-01-21,62
2024-01-28,80
2024-02-04,74
2024-02-11,77
2024-02-18,60
2024-02-25,100
2024-03-03,72
2024-03-10,78
2024-03-17,78
2024-03-24,72
2024-03-31,80
2024-04-07,60
2024-04-14,58
2024-04-21,71
2024-04-28,76
2024-05-05,72
2024-05-12,62
2024-05-19,62
2024-05-26,59
2024-06-02,78
2024-06-09,51
2024-06-16,60
2024-06-23,61
2024-06-30,52
2024-07-07,61
2024-07-14,69
2024-07-21,66
2024-07-28,67
2024-08-04,71
2024-08-11,64
2024-08-18,74
2024-08-25,65
2024-09-01,52
2024-09-08,60
2024-09-15,54
2024-09-22,60
2024-09-29,65
2024-10-06,59
2024-10-13,58
2024-10-20,72
2024-10-27,70
2024-11-03,62
2024-11-10,49
2024-11-17,68
2024-11-24,62
2024-12-01,78
2024-12-08,60
2024-12-15,71
2024-12-22,71
2024-12-29,56
2025-01-05,64
2025-01-12,68
2025-01-19,68
2025-01-26,66
2025-02-02,77
2025-02-09,69
2025-02-16,67
2025-02-23,62
2025-03-02,56
2025-03-09,58
2025-03-16,74
2025-03-23,57
2025-03-30,58
2025-04-06,71
2025-04-13,51
2025-04-20,58
2025-04-27,68
2025-05-04,58
2025-05-11,64
2025-05-18,51
2025-05-25,54
2025-06-01,58
2025-06-08,48
2025-06-15,71
2025-06-22,60
2025-06-29,68
2025-07-06,68
2025-07-13,56
2025-07-20,70
2025-07-27,58
2025-08-03,50
2025-08-10,62
2025-08-17,57
2025-08-24,63
2025-08-31,67
2025-09-07,53
2025-09-14,58
2025-09-21,52
2025-09-28,49
2025-10-05,47
2025-10-12,61
2025-10-19,51
2025-10-26,60
2025-11-02,62
2025-11-09,72
2025-11-16,61
2025-11-23,47
2025-11-30,47
