,Home Financing
2018-12-30,0
2019-01-06,62
2019-01-13,0
2019-01-20,0
2019-01-27,64
2019-02-03,54
2019-02-10,58
2019-02-17,0
2019-02-24,60
2019-03-03,0
2019-03-10,73
2019-03-17,0
2019-03-24,0
2019-03-31,0
2019-04-07,0
2019-04-14,0
2019-04-21,0
2019-04-28,54
2019-05-05,0
2019-05-12,0
2019-05-19,54
2019-05-26,55
2019-06-02,55
2019-06-09,0
2019-06-16,0
2019-06-23,0
2019-06-30,0
2019-07-07,67
2019-07-14,60
2019-07-21,0
2019-07-28,0
2019-08-04,70
2019-08-11,0
2019-08-18,0
2019-08-25,0
2019-09-01,75
2019-09-08,50
2019-09-15,0
2019-09-22,0
2019-09-29,0
2019-10-06,44
2019-10-13,54
2019-10-20,0
2019-10-27,0
2019-11-03,55
2019-11-10,0
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,60
2019-12-15,0
2019-12-22,50
2019-12-29,0
2020-01-05,0
2020-01-12,47
2020-01-19,0
2020-01-26,68
2020-02-02,0
2020-02-09,0
2020-02-16,85
2020-02-23,58
2020-03-01,50
2020-03-08,0
2020-03-15,40
2020-03-22,42
2020-03-29,0
2020-04-05,40
2020-04-12,0
2020-04-19,0
2020-04-26,0
2020-05-03,40
2020-05-10,0
2020-05-17,0
2020-05-24,45
2020-05-31,0
2020-06-07,0
2020-06-14,0
2020-06-21,64
2020-06-28,0
2020-07-05,51
2020-07-12,0
2020-07-19,0
2020-07-26,0
2020-08-02,0
2020-08-09,0
2020-08-16,0
2020-08-23,41
2020-08-30,0
2020-09-06,55
2020-09-13,42
2020-09-20,0
2020-09-27,50
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,57
2020-11-29,48
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,49
2021-01-10,42
2021-01-17,0
2021-01-24,45
2021-01-31,0
2021-02-07,55
2021-02-14,46
2021-02-21,0
2021-02-28,0
2021-03-07,0
2021-03-14,47
2021-03-21,0
2021-03-28,0
2021-04-04,0
2021-04-11,0
2021-04-18,0
2021-04-25,48
2021-05-02,0
2021-05-09,45
2021-05-16,0
2021-05-23,70
2021-05-30,45
2021-06-06,0
2021-06-13,90
2021-06-20,60
2021-06-27,53
2021-07-04,92
2021-07-11,59
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,73
2021-08-15,62
2021-08-22,66
2021-08-29,58
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,51
2021-10-03,61
2021-10-10,0
2021-10-17,0
2021-10-24,57
2021-10-31,65
2021-11-07,52
2021-11-14,68
2021-11-21,0
2021-11-28,0
2021-12-05,59
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,100
2022-01-09,0
2022-01-16,63
2022-01-23,56
2022-01-30,0
2022-02-06,54
2022-02-13,78
2022-02-20,0
2022-02-27,62
2022-03-06,67
2022-03-13,0
2022-03-20,45
2022-03-27,30
2022-04-03,34
2022-04-10,39
2022-04-17,32
2022-04-24,0
2022-05-01,0
2022-05-08,41
2022-05-15,52
2022-05-22,40
2022-05-29,36
2022-06-05,60
2022-06-12,0
2022-06-19,40
2022-06-26,58
2022-07-03,0
2022-07-10,48
2022-07-17,38
2022-07-24,51
2022-07-31,48
2022-08-07,41
2022-08-14,41
2022-08-21,0
2022-08-28,0
2022-09-04,48
2022-09-11,0
2022-09-18,38
2022-09-25,0
2022-10-02,0
2022-10-09,37
2022-10-16,0
2022-10-23,43
2022-10-30,43
2022-11-06,0
2022-11-13,36
2022-11-20,0
2022-11-27,0
2022-12-04,0
2022-12-11,61
2022-12-18,0
2022-12-25,0
2023-01-01,39
2023-01-08,53
2023-01-15,0
2023-01-22,38
2023-01-29,71
2023-02-05,45
2023-02-12,40
2023-02-19,37
2023-02-26,61
2023-03-05,43
2023-03-12,0
2023-03-19,0
2023-03-26,35
2023-04-02,0
2023-04-09,45
2023-04-16,42
2023-04-23,0
2023-04-30,41
2023-05-07,0
2023-05-14,36
2023-05-21,0
2023-05-28,45
2023-06-04,0
2023-06-11,0
2023-06-18,0
2023-06-25,0
2023-07-02,0
2023-07-09,48
2023-07-16,0
2023-07-23,64
2023-07-30,0
2023-08-06,0
2023-08-13,0
2023-08-20,55
2023-08-27,77
2023-09-03,0
2023-09-10,50
2023-09-17,41
2023-09-24,0
2023-10-01,60
2023-10-08,48
2023-10-15,0
2023-10-22,68
2023-10-29,42
2023-11-05,63
2023-11-12,55
2023-11-19,0
2023-11-26,48
2023-12-03,45
2023-12-10,43
2023-12-17,0
2023-12-24,50
2023-12-31,55
2024-01-07,71
