,Home Furnishings
2014-12-28,29
2015-01-04,30
2015-01-11,27
2015-01-18,27
2015-01-25,27
2015-02-01,29
2015-02-08,29
2015-02-15,30
2015-02-22,29
2015-03-01,27
2015-03-08,28
2015-03-15,29
2015-03-22,29
2015-03-29,30
2015-04-05,28
2015-04-12,27
2015-04-19,29
2015-04-26,28
2015-05-03,27
2015-05-10,29
2015-05-17,28
2015-05-24,28
2015-05-31,29
2015-06-07,28
2015-06-14,30
2015-06-21,33
2015-06-28,36
2015-07-05,37
2015-07-12,37
2015-07-19,38
2015-07-26,37
2015-08-02,39
2015-08-09,40
2015-08-16,39
2015-08-23,36
2015-08-30,39
2015-09-06,38
2015-09-13,38
2015-09-20,38
2015-09-27,39
2015-10-04,39
2015-10-11,42
2015-10-18,42
2015-10-25,40
2015-11-01,43
2015-11-08,37
2015-11-15,36
2015-11-22,36
2015-11-29,34
2015-12-06,35
2015-12-13,36
2015-12-20,37
2015-12-27,36
2016-01-03,35
2016-01-10,33
2016-01-17,34
2016-01-24,33
2016-01-31,35
2016-02-07,34
2016-02-14,33
2016-02-21,35
2016-02-28,35
2016-03-06,35
2016-03-13,36
2016-03-20,34
2016-03-27,35
2016-04-03,33
2016-04-10,34
2016-04-17,33
2016-04-24,33
2016-05-01,35
2016-05-08,35
2016-05-15,35
2016-05-22,35
2016-05-29,36
2016-06-05,37
2016-06-12,39
2016-06-19,42
2016-06-26,41
2016-07-03,41
2016-07-10,37
2016-07-17,41
2016-07-24,44
2016-07-31,42
2016-08-07,42
2016-08-14,43
2016-08-21,43
2016-08-28,43
2016-09-04,44
2016-09-11,42
2016-09-18,44
2016-09-25,45
2016-10-02,50
2016-10-09,47
2016-10-16,53
2016-10-23,52
2016-10-30,43
2016-11-06,39
2016-11-13,38
2016-11-20,40
2016-11-27,40
2016-12-04,41
2016-12-11,43
2016-12-18,45
2016-12-25,50
2017-01-01,43
2017-01-08,42
2017-01-15,41
2017-01-22,43
2017-01-29,43
2017-02-05,43
2017-02-12,41
2017-02-19,45
2017-02-26,41
2017-03-05,42
2017-03-12,40
2017-03-19,46
2017-03-26,43
2017-04-02,43
2017-04-09,45
2017-04-16,44
2017-04-23,41
2017-04-30,43
2017-05-07,45
2017-05-14,46
2017-05-21,49
2017-05-28,46
2017-06-04,51
2017-06-11,55
2017-06-18,93
2017-06-25,99
2017-07-02,65
2017-07-09,57
2017-07-16,57
2017-07-23,54
2017-07-30,52
2017-08-06,55
2017-08-13,56
2017-08-20,51
2017-08-27,51
2017-09-03,53
2017-09-10,56
2017-09-17,61
2017-09-24,58
2017-10-01,60
2017-10-08,63
2017-10-15,57
2017-10-22,55
2017-10-29,56
2017-11-05,55
2017-11-12,54
2017-11-19,52
2017-11-26,52
2017-12-03,55
2017-12-10,51
2017-12-17,58
2017-12-24,62
2017-12-31,56
2018-01-07,57
2018-01-14,55
2018-01-21,55
2018-01-28,57
2018-02-04,58
2018-02-11,56
2018-02-18,55
2018-02-25,53
2018-03-04,57
2018-03-11,59
2018-03-18,59
2018-03-25,61
2018-04-01,59
2018-04-08,53
2018-04-15,57
2018-04-22,55
2018-04-29,61
2018-05-06,57
2018-05-13,59
2018-05-20,63
2018-05-27,63
2018-06-03,64
2018-06-10,62
2018-06-17,61
2018-06-24,60
2018-07-01,67
2018-07-08,68
2018-07-15,66
2018-07-22,69
2018-07-29,73
2018-08-05,77
2018-08-12,81
2018-08-19,75
2018-08-26,79
2018-09-02,85
2018-09-09,81
2018-09-16,84
2018-09-23,85
2018-09-30,85
2018-10-07,91
2018-10-14,88
2018-10-21,95
2018-10-28,95
2018-11-04,85
2018-11-11,82
2018-11-18,83
2018-11-25,87
2018-12-02,81
2018-12-09,79
2018-12-16,87
2018-12-23,91
2018-12-30,82
2019-01-06,86
2019-01-13,76
2019-01-20,78
2019-01-27,73
2019-02-03,71
2019-02-10,79
2019-02-17,78
2019-02-24,67
2019-03-03,74
2019-03-10,78
2019-03-17,80
2019-03-24,80
2019-03-31,75
2019-04-07,73
2019-04-14,100
2019-04-21,78
2019-04-28,73
2019-05-05,74
2019-05-12,70
2019-05-19,73
2019-05-26,80
2019-06-02,77
2019-06-09,72
2019-06-16,71
2019-06-23,77
2019-06-30,74
2019-07-07,78
2019-07-14,81
2019-07-21,80
2019-07-28,83
2019-08-04,79
2019-08-11,75
2019-08-18,81
2019-08-25,82
2019-09-01,71
2019-09-08,80
2019-09-15,86
2019-09-22,83
2019-09-29,90
2019-10-06,78
2019-10-13,80
2019-10-20,85
2019-10-27,74
2019-11-03,73
2019-11-10,72
2019-11-17,75
2019-11-24,68
2019-12-01,73
2019-12-08,74
2019-12-15,74
2019-12-22,78
2019-12-29,74
2020-01-05,70
