,Home & Garden
2014-12-28,43
2015-01-04,38
2015-01-11,39
2015-01-18,44
2015-01-25,43
2015-02-01,42
2015-02-08,45
2015-02-15,48
2015-02-22,48
2015-03-01,47
2015-03-08,43
2015-03-15,48
2015-03-22,49
2015-03-29,47
2015-04-05,46
2015-04-12,38
2015-04-19,46
2015-04-26,44
2015-05-03,44
2015-05-10,51
2015-05-17,50
2015-05-24,47
2015-05-31,45
2015-06-07,47
2015-06-14,48
2015-06-21,51
2015-06-28,51
2015-07-05,51
2015-07-12,51
2015-07-19,49
2015-07-26,46
2015-08-02,49
2015-08-09,53
2015-08-16,47
2015-08-23,49
2015-08-30,53
2015-09-06,51
2015-09-13,51
2015-09-20,53
2015-09-27,50
2015-10-04,54
2015-10-11,52
2015-10-18,50
2015-10-25,49
2015-11-01,54
2015-11-08,54
2015-11-15,52
2015-11-22,51
2015-11-29,54
2015-12-06,54
2015-12-13,55
2015-12-20,50
2015-12-27,56
2016-01-03,56
2016-01-10,52
2016-01-17,56
2016-01-24,54
2016-01-31,54
2016-02-07,58
2016-02-14,59
2016-02-21,55
2016-02-28,59
2016-03-06,62
2016-03-13,56
2016-03-20,58
2016-03-27,61
2016-04-03,60
2016-04-10,42
2016-04-17,50
2016-04-24,56
2016-05-01,57
2016-05-08,58
2016-05-15,51
2016-05-22,54
2016-05-29,61
2016-06-05,59
2016-06-12,61
2016-06-19,59
2016-06-26,60
2016-07-03,65
2016-07-10,61
2016-07-17,66
2016-07-24,64
2016-07-31,66
2016-08-07,70
2016-08-14,63
2016-08-21,66
2016-08-28,65
2016-09-04,63
2016-09-11,62
2016-09-18,69
2016-09-25,64
2016-10-02,66
2016-10-09,66
2016-10-16,67
2016-10-23,65
2016-10-30,68
2016-11-06,61
2016-11-13,67
2016-11-20,70
2016-11-27,66
2016-12-04,68
2016-12-11,65
2016-12-18,68
2016-12-25,68
2017-01-01,68
2017-01-08,63
2017-01-15,67
2017-01-22,69
2017-01-29,65
2017-02-05,65
2017-02-12,69
2017-02-19,67
2017-02-26,69
2017-03-05,65
2017-03-12,72
2017-03-19,72
2017-03-26,71
2017-04-02,68
2017-04-09,51
2017-04-16,68
2017-04-23,69
2017-04-30,68
2017-05-07,57
2017-05-14,68
2017-05-21,61
2017-05-28,63
2017-06-04,62
2017-06-11,66
2017-06-18,65
2017-06-25,68
2017-07-02,70
2017-07-09,70
2017-07-16,71
2017-07-23,69
2017-07-30,69
2017-08-06,66
2017-08-13,73
2017-08-20,68
2017-08-27,66
2017-09-03,66
2017-09-10,71
2017-09-17,71
2017-09-24,71
2017-10-01,68
2017-10-08,73
2017-10-15,73
2017-10-22,71
2017-10-29,71
2017-11-05,66
2017-11-12,71
2017-11-19,69
2017-11-26,69
2017-12-03,68
2017-12-10,69
2017-12-17,74
2017-12-24,73
2017-12-31,65
2018-01-07,66
2018-01-14,67
2018-01-21,66
2018-01-28,64
2018-02-04,64
2018-02-11,65
2018-02-18,70
2018-02-25,62
2018-03-04,68
2018-03-11,66
2018-03-18,71
2018-03-25,74
2018-04-01,69
2018-04-08,56
2018-04-15,61
2018-04-22,64
2018-04-29,66
2018-05-06,67
2018-05-13,68
2018-05-20,68
2018-05-27,64
2018-06-03,66
2018-06-10,67
2018-06-17,67
2018-06-24,63
2018-07-01,71
2018-07-08,69
2018-07-15,69
2018-07-22,71
2018-07-29,71
2018-08-05,72
2018-08-12,72
2018-08-19,66
2018-08-26,70
2018-09-02,72
2018-09-09,70
2018-09-16,85
2018-09-23,73
2018-09-30,72
2018-10-07,74
2018-10-14,75
2018-10-21,73
2018-10-28,73
2018-11-04,70
2018-11-11,70
2018-11-18,71
2018-11-25,74
2018-12-02,75
2018-12-09,76
2018-12-16,77
2018-12-23,76
2018-12-30,74
2019-01-06,76
2019-01-13,73
2019-01-20,77
2019-01-27,71
2019-02-03,74
2019-02-10,75
2019-02-17,75
2019-02-24,71
2019-03-03,71
2019-03-10,73
2019-03-17,74
2019-03-24,75
2019-03-31,71
2019-04-07,66
2019-04-14,61
2019-04-21,54
2019-04-28,64
2019-05-05,67
2019-05-12,62
2019-05-19,69
2019-05-26,70
2019-06-02,100
2019-06-09,84
2019-06-16,100
2019-06-23,100
2019-06-30,100
2019-07-07,81
2019-07-14,78
2019-07-21,77
2019-07-28,79
2019-08-04,79
2019-08-11,74
2019-08-18,75
2019-08-25,75
2019-09-01,72
2019-09-08,76
2019-09-15,72
2019-09-22,70
2019-09-29,72
2019-10-06,72
2019-10-13,70
2019-10-20,73
2019-10-27,71
2019-11-03,70
2019-11-10,70
2019-11-17,71
2019-11-24,77
2019-12-01,80
2019-12-08,77
2019-12-15,83
2019-12-22,81
2019-12-29,81
2020-01-05,77
