,Hospitals & Treatment Centers
2014-12-28,32
2015-01-04,0
2015-01-11,0
2015-01-18,0
2015-01-25,39
2015-02-01,29
2015-02-08,33
2015-02-15,0
2015-02-22,32
2015-03-01,0
2015-03-08,36
2015-03-15,25
2015-03-22,0
2015-03-29,40
2015-04-05,35
2015-04-12,32
2015-04-19,24
2015-04-26,0
2015-05-03,30
2015-05-10,26
2015-05-17,30
2015-05-24,32
2015-05-31,0
2015-06-07,0
2015-06-14,29
2015-06-21,0
2015-06-28,29
2015-07-05,0
2015-07-12,0
2015-07-19,0
2015-07-26,26
2015-08-02,33
2015-08-09,38
2015-08-16,50
2015-08-23,39
2015-08-30,38
2015-09-06,35
2015-09-13,41
2015-09-20,27
2015-09-27,54
2015-10-04,0
2015-10-11,0
2015-10-18,42
2015-10-25,28
2015-11-01,0
2015-11-08,43
2015-11-15,32
2015-11-22,35
2015-11-29,27
2015-12-06,26
2015-12-13,37
2015-12-20,50
2015-12-27,58
2016-01-03,30
2016-01-10,27
2016-01-17,35
2016-01-24,34
2016-01-31,47
2016-02-07,34
2016-02-14,39
2016-02-21,31
2016-02-28,30
2016-03-06,43
2016-03-13,38
2016-03-20,35
2016-03-27,34
2016-04-03,58
2016-04-10,38
2016-04-17,36
2016-04-24,25
2016-05-01,0
2016-05-08,42
2016-05-15,41
2016-05-22,30
2016-05-29,0
2016-06-05,30
2016-06-12,38
2016-06-19,31
2016-06-26,0
2016-07-03,0
2016-07-10,35
2016-07-17,46
2016-07-24,37
2016-07-31,44
2016-08-07,32
2016-08-14,34
2016-08-21,50
2016-08-28,32
2016-09-04,48
2016-09-11,34
2016-09-18,0
2016-09-25,0
2016-10-02,31
2016-10-09,27
2016-10-16,0
2016-10-23,0
2016-10-30,0
2016-11-06,31
2016-11-13,40
2016-11-20,0
2016-11-27,0
2016-12-04,34
2016-12-11,0
2016-12-18,0
2016-12-25,0
2017-01-01,0
2017-01-08,0
2017-01-15,0
2017-01-22,23
2017-01-29,46
2017-02-05,52
2017-02-12,34
2017-02-19,75
2017-02-26,41
2017-03-05,32
2017-03-12,44
2017-03-19,30
2017-03-26,31
2017-04-02,50
2017-04-09,53
2017-04-16,51
2017-04-23,49
2017-04-30,34
2017-05-07,42
2017-05-14,35
2017-05-21,35
2017-05-28,38
2017-06-04,36
2017-06-11,30
2017-06-18,30
2017-06-25,28
2017-07-02,41
2017-07-09,43
2017-07-16,44
2017-07-23,48
2017-07-30,59
2017-08-06,48
2017-08-13,68
2017-08-20,58
2017-08-27,52
2017-09-03,45
2017-09-10,36
2017-09-17,43
2017-09-24,26
2017-10-01,35
2017-10-08,51
2017-10-15,48
2017-10-22,64
2017-10-29,40
2017-11-05,54
2017-11-12,59
2017-11-19,30
2017-11-26,48
2017-12-03,51
2017-12-10,35
2017-12-17,33
2017-12-24,36
2017-12-31,47
2018-01-07,58
2018-01-14,48
2018-01-21,53
2018-01-28,50
2018-02-04,40
2018-02-11,43
2018-02-18,59
2018-02-25,69
2018-03-04,68
2018-03-11,53
2018-03-18,56
2018-03-25,59
2018-04-01,61
2018-04-08,57
2018-04-15,60
2018-04-22,62
2018-04-29,34
2018-05-06,20
2018-05-13,49
2018-05-20,38
2018-05-27,34
2018-06-03,47
2018-06-10,60
2018-06-17,41
2018-06-24,62
2018-07-01,58
2018-07-08,56
2018-07-15,60
2018-07-22,48
2018-07-29,46
2018-08-05,53
2018-08-12,39
2018-08-19,23
2018-08-26,51
2018-09-02,54
2018-09-09,51
2018-09-16,52
2018-09-23,52
2018-09-30,65
2018-10-07,51
2018-10-14,57
2018-10-21,72
2018-10-28,66
2018-11-04,66
2018-11-11,55
2018-11-18,61
2018-11-25,69
2018-12-02,66
2018-12-09,51
2018-12-16,72
2018-12-23,66
2018-12-30,61
2019-01-06,35
2019-01-13,62
2019-01-20,74
2019-01-27,59
2019-02-03,59
2019-02-10,67
2019-02-17,73
2019-02-24,66
2019-03-03,52
2019-03-10,66
2019-03-17,59
2019-03-24,78
2019-03-31,59
2019-04-07,66
2019-04-14,65
2019-04-21,51
2019-04-28,68
2019-05-05,35
2019-05-12,40
2019-05-19,57
2019-05-26,52
2019-06-02,34
2019-06-09,62
2019-06-16,62
2019-06-23,80
2019-06-30,77
2019-07-07,100
2019-07-14,83
2019-07-21,69
2019-07-28,89
2019-08-04,84
2019-08-11,37
2019-08-18,72
2019-08-25,70
2019-09-01,52
2019-09-08,85
2019-09-15,44
2019-09-22,69
2019-09-29,65
2019-10-06,83
2019-10-13,64
2019-10-20,58
2019-10-27,66
2019-11-03,64
2019-11-10,84
2019-11-17,62
2019-11-24,80
2019-12-01,74
2019-12-08,85
2019-12-15,95
2019-12-22,78
2019-12-29,84
2020-01-05,82
