,Accounting & Auditing
2018-12-30,21
2019-01-06,22
2019-01-13,21
2019-01-20,22
2019-01-27,31
2019-02-03,26
2019-02-10,24
2019-02-17,25
2019-02-24,22
2019-03-03,22
2019-03-10,25
2019-03-17,19
2019-03-24,27
2019-03-31,25
2019-04-07,22
2019-04-14,20
2019-04-21,22
2019-04-28,22
2019-05-05,21
2019-05-12,22
2019-05-19,20
2019-05-26,22
2019-06-02,23
2019-06-09,25
2019-06-16,27
2019-06-23,29
2019-06-30,33
2019-07-07,36
2019-07-14,48
2019-07-21,50
2019-07-28,38
2019-08-04,30
2019-08-11,28
2019-08-18,42
2019-08-25,61
2019-09-01,27
2019-09-08,27
2019-09-15,30
2019-09-22,38
2019-09-29,25
2019-10-06,21
2019-10-13,25
2019-10-20,22
2019-10-27,22
2019-11-03,23
2019-11-10,24
2019-11-17,22
2019-11-24,22
2019-12-01,22
2019-12-08,24
2019-12-15,24
2019-12-22,22
2019-12-29,24
2020-01-05,25
2020-01-12,21
2020-01-19,25
2020-01-26,31
2020-02-02,30
2020-02-09,24
2020-02-16,24
2020-02-23,23
2020-03-01,24
2020-03-08,21
2020-03-15,23
2020-03-22,12
2020-03-29,13
2020-04-05,12
2020-04-12,14
2020-04-19,14
2020-04-26,15
2020-05-03,15
2020-05-10,17
2020-05-17,16
2020-05-24,16
2020-05-31,20
2020-06-07,21
2020-06-14,22
2020-06-21,25
2020-06-28,26
2020-07-05,23
2020-07-12,23
2020-07-19,24
2020-07-26,28
2020-08-02,24
2020-08-09,24
2020-08-16,26
2020-08-23,27
2020-08-30,27
2020-09-06,29
2020-09-13,29
2020-09-20,30
2020-09-27,31
2020-10-04,28
2020-10-11,27
2020-10-18,28
2020-10-25,24
2020-11-01,24
2020-11-08,21
2020-11-15,23
2020-11-22,27
2020-11-29,30
2020-12-06,31
2020-12-13,35
2020-12-20,42
2020-12-27,56
2021-01-03,37
2021-01-10,31
2021-01-17,29
2021-01-24,25
2021-01-31,30
2021-02-07,27
2021-02-14,26
2021-02-21,26
2021-02-28,27
2021-03-07,26
2021-03-14,27
2021-03-21,28
2021-03-28,46
2021-04-04,25
2021-04-11,21
2021-04-18,19
2021-04-25,17
2021-05-02,19
2021-05-09,18
2021-05-16,17
2021-05-23,19
2021-05-30,21
2021-06-06,28
2021-06-13,26
2021-06-20,29
2021-06-27,29
2021-07-04,28
2021-07-11,28
2021-07-18,29
2021-07-25,34
2021-08-01,29
2021-08-08,30
2021-08-15,29
2021-08-22,29
2021-08-29,30
2021-09-05,31
2021-09-12,29
2021-09-19,28
2021-09-26,29
2021-10-03,26
2021-10-10,21
2021-10-17,24
2021-10-24,26
2021-10-31,18
2021-11-07,24
2021-11-14,26
2021-11-21,26
2021-11-28,29
2021-12-05,33
2021-12-12,36
2021-12-19,40
2021-12-26,62
2022-01-02,36
2022-01-09,33
2022-01-16,26
2022-01-23,27
2022-01-30,33
2022-02-06,31
2022-02-13,34
2022-02-20,35
2022-02-27,32
2022-03-06,34
2022-03-13,30
2022-03-20,32
2022-03-27,43
2022-04-03,30
2022-04-10,26
2022-04-17,29
2022-04-24,30
2022-05-01,27
2022-05-08,27
2022-05-15,27
2022-05-22,27
2022-05-29,28
2022-06-05,29
2022-06-12,33
2022-06-19,35
2022-06-26,41
2022-07-03,46
2022-07-10,55
2022-07-17,72
2022-07-24,100
2022-07-31,63
2022-08-07,37
2022-08-14,34
2022-08-21,38
2022-08-28,34
2022-09-04,33
2022-09-11,34
2022-09-18,35
2022-09-25,36
2022-10-02,24
2022-10-09,30
2022-10-16,28
2022-10-23,21
2022-10-30,28
2022-11-06,28
2022-11-13,28
2022-11-20,26
2022-11-27,26
2022-12-04,29
2022-12-11,31
2022-12-18,31
2022-12-25,38
2023-01-01,32
2023-01-08,30
2023-01-15,30
2023-01-22,28
2023-01-29,46
2023-02-05,35
2023-02-12,31
2023-02-19,33
2023-02-26,35
2023-03-05,33
2023-03-12,44
2023-03-19,64
2023-03-26,93
2023-04-02,44
2023-04-09,39
2023-04-16,35
2023-04-23,36
2023-04-30,32
2023-05-07,31
2023-05-14,34
2023-05-21,34
2023-05-28,37
2023-06-04,43
2023-06-11,45
2023-06-18,53
2023-06-25,65
2023-07-02,64
2023-07-09,75
2023-07-16,85
2023-07-23,97
2023-07-30,78
2023-08-06,47
2023-08-13,40
2023-08-20,40
2023-08-27,38
2023-09-03,38
2023-09-10,40
2023-09-17,37
2023-09-24,37
2023-10-01,33
2023-10-08,33
2023-10-15,31
2023-10-22,25
2023-10-29,31
2023-11-05,27
2023-11-12,22
2023-11-19,28
2023-11-26,28
2023-12-03,30
2023-12-10,35
2023-12-17,33
2023-12-24,38
2023-12-31,35
2024-01-07,34
