,Building Materials & Supplies
2023-01-01,66
2023-01-08,62
2023-01-15,61
2023-01-22,60
2023-01-29,64
2023-02-05,66
2023-02-12,65
2023-02-19,71
2023-02-26,74
2023-03-05,65
2023-03-12,73
2023-03-19,68
2023-03-26,70
2023-04-02,74
2023-04-09,89
2023-04-16,100
2023-04-23,77
2023-04-30,66
2023-05-07,75
2023-05-14,93
2023-05-21,87
2023-05-28,77
2023-06-04,83
2023-06-11,91
2023-06-18,86
2023-06-25,74
2023-07-02,76
2023-07-09,72
2023-07-16,73
2023-07-23,72
2023-07-30,69
2023-08-06,72
2023-08-13,65
2023-08-20,70
2023-08-27,67
2023-09-03,65
2023-09-10,66
2023-09-17,66
2023-09-24,64
2023-10-01,64
2023-10-08,70
2023-10-15,65
2023-10-22,55
2023-10-29,63
2023-11-05,59
2023-11-12,50
2023-11-19,57
2023-11-26,61
2023-12-03,60
2023-12-10,67
2023-12-17,65
2023-12-24,66
2023-12-31,65
2024-01-07,63
2024-01-14,60
2024-01-21,58
2024-01-28,63
2024-02-04,65
2024-02-11,65
2024-02-18,66
2024-02-25,68
2024-03-03,65
2024-03-10,74
2024-03-17,71
2024-03-24,77
2024-03-31,89
2024-04-07,82
2024-04-14,87
2024-04-21,88
2024-04-28,94
2024-05-05,84
2024-05-12,79
2024-05-19,91
2024-05-26,97
2024-06-02,79
2024-06-09,83
2024-06-16,86
2024-06-23,71
2024-06-30,71
2024-07-07,65
2024-07-14,72
2024-07-21,74
2024-07-28,69
2024-08-04,66
2024-08-11,67
2024-08-18,65
2024-08-25,67
2024-09-01,67
2024-09-08,68
2024-09-15,65
2024-09-22,73
2024-09-29,68
2024-10-06,58
2024-10-13,62
2024-10-20,65
2024-10-27,53
2024-11-03,58
2024-11-10,59
2024-11-17,63
2024-11-24,62
2024-12-01,56
2024-12-08,62
2024-12-15,61
2024-12-22,66
2024-12-29,62
2025-01-05,60
2025-01-12,56
2025-01-19,62
2025-01-26,64
2025-02-02,63
2025-02-09,67
2025-02-16,67
2025-02-23,66
2025-03-02,69
2025-03-09,66
2025-03-16,79
2025-03-23,72
2025-03-30,75
2025-04-06,84
2025-04-13,77
2025-04-20,82
2025-04-27,81
2025-05-04,67
2025-05-11,77
2025-05-18,87
2025-05-25,76
2025-06-01,72
2025-06-08,89
2025-06-15,78
2025-06-22,74
2025-06-29,69
2025-07-06,66
2025-07-13,69
2025-07-20,68
2025-07-27,70
2025-08-03,66
2025-08-10,62
2025-08-17,68
2025-08-24,65
2025-08-31,74
2025-09-07,62
2025-09-14,64
2025-09-21,65
2025-09-28,57
2025-10-05,62
2025-10-12,61
2025-10-19,50
2025-10-26,61
2025-11-02,63
2025-11-09,60
2025-11-16,63
2025-11-23,57
2025-11-30,59
2025-12-07,61
2025-12-14,62
2025-12-21,63
2025-12-28,66
2026-01-04,65
