,Car Electronics
2023-01-01,100
2023-01-08,96
2023-01-15,97
2023-01-22,91
2023-01-29,95
2023-02-05,96
2023-02-12,90
2023-02-19,88
2023-02-26,88
2023-03-05,82
2023-03-12,88
2023-03-19,85
2023-03-26,86
2023-04-02,84
2023-04-09,83
2023-04-16,83
2023-04-23,84
2023-04-30,85
2023-05-07,82
2023-05-14,81
2023-05-21,79
2023-05-28,84
2023-06-04,87
2023-06-11,91
2023-06-18,87
2023-06-25,88
2023-07-02,89
2023-07-09,86
2023-07-16,88
2023-07-23,86
2023-07-30,89
2023-08-06,84
2023-08-13,89
2023-08-20,86
2023-08-27,81
2023-09-03,81
2023-09-10,82
2023-09-17,83
2023-09-24,87
2023-10-01,86
2023-10-08,87
2023-10-15,83
2023-10-22,73
2023-10-29,80
2023-11-05,78
2023-11-12,70
2023-11-19,77
2023-11-26,78
2023-12-03,79
2023-12-10,82
2023-12-17,84
2023-12-24,87
2023-12-31,94
2024-01-07,84
2024-01-14,84
2024-01-21,81
2024-01-28,84
2024-02-04,83
2024-02-11,82
2024-02-18,83
2024-02-25,79
2024-03-03,77
2024-03-10,82
2024-03-17,80
2024-03-24,74
2024-03-31,75
2024-04-07,73
2024-04-14,74
2024-04-21,70
2024-04-28,75
2024-05-05,75
2024-05-12,75
2024-05-19,78
2024-05-26,82
2024-06-02,75
2024-06-09,78
2024-06-16,83
2024-06-23,77
2024-06-30,80
2024-07-07,76
2024-07-14,78
2024-07-21,81
2024-07-28,84
2024-08-04,85
2024-08-11,84
2024-08-18,83
2024-08-25,84
2024-09-01,77
2024-09-08,84
2024-09-15,81
2024-09-22,85
2024-09-29,82
2024-10-06,76
2024-10-13,82
2024-10-20,81
2024-10-27,71
2024-11-03,76
2024-11-10,76
2024-11-17,79
2024-11-24,79
2024-12-01,79
2024-12-08,82
2024-12-15,80
2024-12-22,89
2024-12-29,88
2025-01-05,79
2025-01-12,75
2025-01-19,81
2025-01-26,82
2025-02-02,86
2025-02-09,78
2025-02-16,80
2025-02-23,78
2025-03-02,83
2025-03-09,76
2025-03-16,81
2025-03-23,78
2025-03-30,76
2025-04-06,76
2025-04-13,79
2025-04-20,78
2025-04-27,81
2025-05-04,73
2025-05-11,78
2025-05-18,82
2025-05-25,83
2025-06-01,77
2025-06-08,86
2025-06-15,84
2025-06-22,84
2025-06-29,84
2025-07-06,87
2025-07-13,94
2025-07-20,84
2025-07-27,88
2025-08-03,88
2025-08-10,85
2025-08-17,90
2025-08-24,83
2025-08-31,85
2025-09-07,88
2025-09-14,86
2025-09-21,91
2025-09-28,79
2025-10-05,92
2025-10-12,83
2025-10-19,71
2025-10-26,81
2025-11-02,83
2025-11-09,85
2025-11-16,82
2025-11-23,81
2025-11-30,81
2025-12-07,82
2025-12-14,88
2025-12-21,88
2025-12-28,84
2026-01-04,84
