,Car Rental & Taxi Services
2014-12-28,34
2015-01-04,27
2015-01-11,29
2015-01-18,33
2015-01-25,32
2015-02-01,31
2015-02-08,32
2015-02-15,30
2015-02-22,30
2015-03-01,31
2015-03-08,30
2015-03-15,29
2015-03-22,30
2015-03-29,34
2015-04-05,33
2015-04-12,35
2015-04-19,37
2015-04-26,41
2015-05-03,38
2015-05-10,37
2015-05-17,37
2015-05-24,38
2015-05-31,38
2015-06-07,38
2015-06-14,34
2015-06-21,33
2015-06-28,37
2015-07-05,37
2015-07-12,37
2015-07-19,39
2015-07-26,37
2015-08-02,36
2015-08-09,36
2015-08-16,38
2015-08-23,34
2015-08-30,36
2015-09-06,32
2015-09-13,33
2015-09-20,33
2015-09-27,33
2015-10-04,31
2015-10-11,32
2015-10-18,32
2015-10-25,29
2015-11-01,32
2015-11-08,30
2015-11-15,32
2015-11-22,32
2015-11-29,31
2015-12-06,31
2015-12-13,31
2015-12-20,36
2015-12-27,31
2016-01-03,26
2016-01-10,27
2016-01-17,28
2016-01-24,26
2016-01-31,25
2016-02-07,26
2016-02-14,26
2016-02-21,23
2016-02-28,25
2016-03-06,26
2016-03-13,26
2016-03-20,27
2016-03-27,25
2016-04-03,30
2016-04-10,31
2016-04-17,32
2016-04-24,33
2016-05-01,33
2016-05-08,36
2016-05-15,33
2016-05-22,32
2016-05-29,32
2016-06-05,33
2016-06-12,30
2016-06-19,30
2016-06-26,31
2016-07-03,34
2016-07-10,31
2016-07-17,30
2016-07-24,37
2016-07-31,30
2016-08-07,31
2016-08-14,29
2016-08-21,30
2016-08-28,31
2016-09-04,30
2016-09-11,31
2016-09-18,27
2016-09-25,26
2016-10-02,29
2016-10-09,28
2016-10-16,29
2016-10-23,30
2016-10-30,29
2016-11-06,28
2016-11-13,25
2016-11-20,29
2016-11-27,28
2016-12-04,29
2016-12-11,30
2016-12-18,35
2016-12-25,36
2017-01-01,34
2017-01-08,29
2017-01-15,31
2017-01-22,33
2017-01-29,29
2017-02-05,30
2017-02-12,31
2017-02-19,31
2017-02-26,31
2017-03-05,28
2017-03-12,28
2017-03-19,31
2017-03-26,29
2017-04-02,31
2017-04-09,34
2017-04-16,33
2017-04-23,34
2017-04-30,34
2017-05-07,34
2017-05-14,38
2017-05-21,36
2017-05-28,37
2017-06-04,37
2017-06-11,37
2017-06-18,39
2017-06-25,37
2017-07-02,38
2017-07-09,37
2017-07-16,37
2017-07-23,34
2017-07-30,35
2017-08-06,38
2017-08-13,36
2017-08-20,33
2017-08-27,33
2017-09-03,35
2017-09-10,33
2017-09-17,33
2017-09-24,39
2017-10-01,35
2017-10-08,35
2017-10-15,33
2017-10-22,33
2017-10-29,34
2017-11-05,33
2017-11-12,32
2017-11-19,34
2017-11-26,34
2017-12-03,35
2017-12-10,36
2017-12-17,40
2017-12-24,42
2017-12-31,37
2018-01-07,35
2018-01-14,34
2018-01-21,34
2018-01-28,33
2018-02-04,34
2018-02-11,35
2018-02-18,36
2018-02-25,31
2018-03-04,33
2018-03-11,34
2018-03-18,35
2018-03-25,40
2018-04-01,34
2018-04-08,35
2018-04-15,38
2018-04-22,41
2018-04-29,38
2018-05-06,39
2018-05-13,40
2018-05-20,40
2018-05-27,41
2018-06-03,44
2018-06-10,42
2018-06-17,39
2018-06-24,40
2018-07-01,41
2018-07-08,40
2018-07-15,39
2018-07-22,42
2018-07-29,42
2018-08-05,44
2018-08-12,42
2018-08-19,44
2018-08-26,46
2018-09-02,51
2018-09-09,45
2018-09-16,45
2018-09-23,47
2018-09-30,48
2018-10-07,51
2018-10-14,49
2018-10-21,49
2018-10-28,49
2018-11-04,45
2018-11-11,51
2018-11-18,52
2018-11-25,53
2018-12-02,56
2018-12-09,57
2018-12-16,57
2018-12-23,61
2018-12-30,56
2019-01-06,53
2019-01-13,50
2019-01-20,53
2019-01-27,50
2019-02-03,49
2019-02-10,48
2019-02-17,49
2019-02-24,47
2019-03-03,46
2019-03-10,50
2019-03-17,48
2019-03-24,51
2019-03-31,50
2019-04-07,43
2019-04-14,49
2019-04-21,45
2019-04-28,48
2019-05-05,51
2019-05-12,54
2019-05-19,51
2019-05-26,55
2019-06-02,55
2019-06-09,56
2019-06-16,51
2019-06-23,55
2019-06-30,48
2019-07-07,50
2019-07-14,51
2019-07-21,52
2019-07-28,51
2019-08-04,53
2019-08-11,52
2019-08-18,52
2019-08-25,49
2019-09-01,48
2019-09-08,49
2019-09-15,49
2019-09-22,49
2019-09-29,51
2019-10-06,49
2019-10-13,46
2019-10-20,47
2019-10-27,43
2019-11-03,49
2019-11-10,50
2019-11-17,56
2019-11-24,47
2019-12-01,48
2019-12-08,87
2019-12-15,100
2019-12-22,58
2019-12-29,51
2020-01-05,46
