,Coatings & Adhesives
2014-12-28,18
2015-01-04,20
2015-01-11,20
2015-01-18,20
2015-01-25,19
2015-02-01,21
2015-02-08,20
2015-02-15,21
2015-02-22,21
2015-03-01,21
2015-03-08,22
2015-03-15,21
2015-03-22,21
2015-03-29,22
2015-04-05,23
2015-04-12,21
2015-04-19,21
2015-04-26,20
2015-05-03,20
2015-05-10,22
2015-05-17,20
2015-05-24,20
2015-05-31,22
2015-06-07,22
2015-06-14,22
2015-06-21,24
2015-06-28,27
2015-07-05,30
2015-07-12,28
2015-07-19,32
2015-07-26,36
2015-08-02,37
2015-08-09,37
2015-08-16,34
2015-08-23,34
2015-08-30,33
2015-09-06,32
2015-09-13,33
2015-09-20,35
2015-09-27,30
2015-10-04,33
2015-10-11,34
2015-10-18,32
2015-10-25,40
2015-11-01,37
2015-11-08,30
2015-11-15,34
2015-11-22,34
2015-11-29,31
2015-12-06,35
2015-12-13,31
2015-12-20,36
2015-12-27,30
2016-01-03,29
2016-01-10,27
2016-01-17,27
2016-01-24,26
2016-01-31,27
2016-02-07,29
2016-02-14,27
2016-02-21,29
2016-02-28,29
2016-03-06,28
2016-03-13,28
2016-03-20,27
2016-03-27,27
2016-04-03,28
2016-04-10,27
2016-04-17,29
2016-04-24,26
2016-05-01,27
2016-05-08,32
2016-05-15,28
2016-05-22,31
2016-05-29,29
2016-06-05,28
2016-06-12,29
2016-06-19,30
2016-06-26,34
2016-07-03,33
2016-07-10,32
2016-07-17,34
2016-07-24,34
2016-07-31,39
2016-08-07,43
2016-08-14,40
2016-08-21,34
2016-08-28,35
2016-09-04,32
2016-09-11,32
2016-09-18,35
2016-09-25,32
2016-10-02,31
2016-10-09,30
2016-10-16,34
2016-10-23,30
2016-10-30,34
2016-11-06,31
2016-11-13,30
2016-11-20,31
2016-11-27,32
2016-12-04,31
2016-12-11,33
2016-12-18,34
2016-12-25,34
2017-01-01,41
2017-01-08,40
2017-01-15,41
2017-01-22,36
2017-01-29,36
2017-02-05,37
2017-02-12,38
2017-02-19,37
2017-02-26,37
2017-03-05,36
2017-03-12,33
2017-03-19,39
2017-03-26,38
2017-04-02,39
2017-04-09,38
2017-04-16,33
2017-04-23,38
2017-04-30,32
2017-05-07,36
2017-05-14,37
2017-05-21,38
2017-05-28,38
2017-06-04,39
2017-06-11,42
2017-06-18,42
2017-06-25,43
2017-07-02,40
2017-07-09,42
2017-07-16,43
2017-07-23,40
2017-07-30,43
2017-08-06,40
2017-08-13,37
2017-08-20,40
2017-08-27,37
2017-09-03,40
2017-09-10,41
2017-09-17,39
2017-09-24,37
2017-10-01,40
2017-10-08,45
2017-10-15,31
2017-10-22,40
2017-10-29,40
2017-11-05,41
2017-11-12,43
2017-11-19,39
2017-11-26,39
2017-12-03,44
2017-12-10,41
2017-12-17,47
2017-12-24,45
2017-12-31,42
2018-01-07,43
2018-01-14,42
2018-01-21,40
2018-01-28,49
2018-02-04,48
2018-02-11,50
2018-02-18,50
2018-02-25,46
2018-03-04,48
2018-03-11,56
2018-03-18,54
2018-03-25,48
2018-04-01,47
2018-04-08,49
2018-04-15,49
2018-04-22,47
2018-04-29,47
2018-05-06,45
2018-05-13,43
2018-05-20,51
2018-05-27,55
2018-06-03,47
2018-06-10,53
2018-06-17,48
2018-06-24,55
2018-07-01,50
2018-07-08,51
2018-07-15,58
2018-07-22,59
2018-07-29,59
2018-08-05,61
2018-08-12,59
2018-08-19,63
2018-08-26,63
2018-09-02,67
2018-09-09,65
2018-09-16,70
2018-09-23,68
2018-09-30,68
2018-10-07,73
2018-10-14,61
2018-10-21,66
2018-10-28,72
2018-11-04,48
2018-11-11,61
2018-11-18,66
2018-11-25,69
2018-12-02,63
2018-12-09,68
2018-12-16,71
2018-12-23,71
2018-12-30,61
2019-01-06,63
2019-01-13,57
2019-01-20,63
2019-01-27,68
2019-02-03,58
2019-02-10,64
2019-02-17,69
2019-02-24,62
2019-03-03,65
2019-03-10,69
2019-03-17,65
2019-03-24,67
2019-03-31,63
2019-04-07,63
2019-04-14,59
2019-04-21,62
2019-04-28,62
2019-05-05,68
2019-05-12,70
2019-05-19,69
2019-05-26,73
2019-06-02,67
2019-06-09,68
2019-06-16,70
2019-06-23,68
2019-06-30,65
2019-07-07,67
2019-07-14,68
2019-07-21,68
2019-07-28,70
2019-08-04,69
2019-08-11,74
2019-08-18,98
2019-08-25,79
2019-09-01,70
2019-09-08,75
2019-09-15,77
2019-09-22,75
2019-09-29,100
2019-10-06,69
2019-10-13,73
2019-10-20,68
2019-10-27,57
2019-11-03,67
2019-11-10,68
2019-11-17,67
2019-11-24,62
2019-12-01,63
2019-12-08,66
2019-12-15,63
2019-12-22,68
2019-12-29,64
2020-01-05,64
