,College Financing
2014-12-28,27
2015-01-04,28
2015-01-11,25
2015-01-18,26
2015-01-25,25
2015-02-01,27
2015-02-08,27
2015-02-15,28
2015-02-22,26
2015-03-01,25
2015-03-08,26
2015-03-15,29
2015-03-22,30
2015-03-29,30
2015-04-05,32
2015-04-12,28
2015-04-19,26
2015-04-26,27
2015-05-03,29
2015-05-10,31
2015-05-17,33
2015-05-24,39
2015-05-31,41
2015-06-07,40
2015-06-14,39
2015-06-21,47
2015-06-28,59
2015-07-05,58
2015-07-12,59
2015-07-19,70
2015-07-26,83
2015-08-02,67
2015-08-09,67
2015-08-16,75
2015-08-23,81
2015-08-30,79
2015-09-06,91
2015-09-13,80
2015-09-20,77
2015-09-27,86
2015-10-04,76
2015-10-11,77
2015-10-18,45
2015-10-25,63
2015-11-01,45
2015-11-08,30
2015-11-15,35
2015-11-22,37
2015-11-29,37
2015-12-06,32
2015-12-13,33
2015-12-20,31
2015-12-27,33
2016-01-03,32
2016-01-10,30
2016-01-17,30
2016-01-24,29
2016-01-31,31
2016-02-07,32
2016-02-14,33
2016-02-21,31
2016-02-28,32
2016-03-06,31
2016-03-13,33
2016-03-20,27
2016-03-27,33
2016-04-03,32
2016-04-10,30
2016-04-17,31
2016-04-24,34
2016-05-01,32
2016-05-08,35
2016-05-15,36
2016-05-22,40
2016-05-29,43
2016-06-05,41
2016-06-12,44
2016-06-19,46
2016-06-26,49
2016-07-03,46
2016-07-10,51
2016-07-17,58
2016-07-24,66
2016-07-31,69
2016-08-07,76
2016-08-14,67
2016-08-21,90
2016-08-28,93
2016-09-04,71
2016-09-11,67
2016-09-18,85
2016-09-25,100
2016-10-02,57
2016-10-09,38
2016-10-16,48
2016-10-23,43
2016-10-30,38
2016-11-06,33
2016-11-13,30
2016-11-20,36
2016-11-27,39
2016-12-04,32
2016-12-11,34
2016-12-18,35
2016-12-25,34
2017-01-01,33
2017-01-08,37
2017-01-15,33
2017-01-22,31
2017-01-29,34
2017-02-05,33
2017-02-12,32
2017-02-19,32
2017-02-26,35
2017-03-05,31
2017-03-12,28
2017-03-19,37
2017-03-26,38
2017-04-02,43
2017-04-09,36
2017-04-16,36
2017-04-23,41
2017-04-30,38
2017-05-07,42
2017-05-14,48
2017-05-21,45
2017-05-28,47
2017-06-04,50
2017-06-11,55
2017-06-18,53
2017-06-25,53
2017-07-02,56
2017-07-09,62
2017-07-16,67
2017-07-23,71
2017-07-30,73
2017-08-06,64
2017-08-13,64
2017-08-20,75
2017-08-27,80
2017-09-03,61
2017-09-10,63
2017-09-17,70
2017-09-24,62
2017-10-01,53
2017-10-08,58
2017-10-15,40
2017-10-22,57
2017-10-29,55
2017-11-05,45
2017-11-12,43
2017-11-19,40
2017-11-26,37
2017-12-03,36
2017-12-10,34
2017-12-17,35
2017-12-24,35
2017-12-31,33
2018-01-07,38
2018-01-14,34
2018-01-21,35
2018-01-28,41
2018-02-04,39
2018-02-11,39
2018-02-18,40
2018-02-25,39
2018-03-04,38
2018-03-11,42
2018-03-18,45
2018-03-25,45
2018-04-01,41
2018-04-08,38
2018-04-15,36
2018-04-22,34
2018-04-29,39
2018-05-06,38
2018-05-13,42
2018-05-20,43
2018-05-27,48
2018-06-03,50
2018-06-10,54
2018-06-17,50
2018-06-24,52
2018-07-01,56
2018-07-08,56
2018-07-15,58
2018-07-22,65
2018-07-29,65
2018-08-05,66
2018-08-12,62
2018-08-19,66
2018-08-26,87
2018-09-02,72
2018-09-09,74
2018-09-16,70
2018-09-23,86
2018-09-30,68
2018-10-07,67
2018-10-14,54
2018-10-21,57
2018-10-28,63
2018-11-04,35
2018-11-11,48
2018-11-18,46
2018-11-25,49
2018-12-02,47
2018-12-09,45
2018-12-16,45
2018-12-23,49
2018-12-30,46
2019-01-06,45
2019-01-13,43
2019-01-20,44
2019-01-27,48
2019-02-03,47
2019-02-10,45
2019-02-17,50
2019-02-24,49
2019-03-03,54
2019-03-10,49
2019-03-17,43
2019-03-24,47
2019-03-31,42
2019-04-07,38
2019-04-14,37
2019-04-21,38
2019-04-28,42
2019-05-05,48
2019-05-12,48
2019-05-19,47
2019-05-26,56
2019-06-02,56
2019-06-09,55
2019-06-16,53
2019-06-23,60
2019-06-30,60
2019-07-07,69
2019-07-14,73
2019-07-21,69
2019-07-28,70
2019-08-04,63
2019-08-11,57
2019-08-18,70
2019-08-25,79
2019-09-01,62
2019-09-08,65
2019-09-15,69
2019-09-22,65
2019-09-29,64
2019-10-06,56
2019-10-13,60
2019-10-20,54
2019-10-27,53
2019-11-03,53
2019-11-10,57
2019-11-17,53
2019-11-24,53
2019-12-01,48
2019-12-08,47
2019-12-15,49
2019-12-22,49
2019-12-29,46
2020-01-05,45
